id,latency[ns]
7,48396
14,47149
15,50753
16,46523
17,47143
19,46643
20,52429
21,46945
22,47154
24,46518
25,46578
26,46784
28,48106
29,46825
33,36933
37,37185
38,37360
40,36715
42,36624
44,68539
46,38885
48,37748
52,37968
53,39341
55,37594
58,37611
59,36690
61,37242
63,36209
64,38793
66,36998
77,36987
81,37325
90,37518
91,37084
94,37803
96,37018
97,37191
100,36979
101,36555
110,38328
112,39414
113,37155
114,36955
118,37510
120,37557
122,37904
124,37397
126,36435
127,37256
128,37304
132,36712
133,37652
134,36706
137,36798
138,36869
139,36640
140,37468
141,36724
143,37287
148,37084
149,37197
150,36957
151,41821
152,36850
154,37403
155,38034
159,37498
161,37098
162,37138
163,36696
164,37834
167,37160
168,37699
169,36718
170,36937
172,37237
174,37195
176,37072
181,37494
182,41928
185,72373
187,36812
188,37029
190,36615
191,37243
192,37930
193,36789
194,37116
195,36957
196,37017
197,36622
199,37515
200,36986
202,36847
203,38116
205,36570
206,41952
207,37267
208,37137
209,38868
210,37447
211,36931
212,38498
213,45270
214,38400
216,37725
217,36942
218,40537
219,37365
220,36875
221,37463
222,37547
223,37109
224,37064
226,37606
227,37203
228,37031
229,37409
231,36862
232,36813
233,37247
234,37403
236,38286
237,36864
238,36721
240,37892
242,40960
243,38155
245,37548
246,37581
247,37803
248,36664
250,37301
251,36840
252,37078
253,39368
254,36876
255,37556
256,37443
258,37161
259,37324
260,38234
263,37090
265,42081
267,36917
269,37683
271,37228
272,36901
273,36650
275,37167
276,36700
277,36504
278,38438
280,37531
281,36852
282,37522
283,37753
284,37615
285,53181
286,37450
287,37531
288,36713
289,36930
290,37194
291,38358
292,36913
293,37228
295,37491
297,37335
298,37777
300,37651
301,37715
302,37131
303,37353
304,36833
305,37359
306,41806
308,37098
309,37421
310,38460
311,36721
312,36665
313,36596
314,36960
315,36689
316,53876
317,36932
319,38707
320,37250
321,37236
322,37904
323,37202
324,36948
325,37134
326,36709
328,36858
329,37076
330,64212
331,38417
333,36990
335,36895
336,36751
337,38448
338,36912
340,37829
341,37359
343,36910
344,37394
345,36620
346,37133
348,38221
349,38595
350,37933
351,39317
352,37180
353,36906
354,37453
356,36740
357,38185
358,37914
359,36757
360,37213
361,37030
362,37042
363,37415
364,37367
365,36738
366,37216
368,36658
369,37669
370,37266
372,36712
373,39870
374,37668
375,38243
376,37812
377,37391
378,37685
380,37829
381,38742
382,38279
383,37052
384,37862
385,37786
386,37831
387,37619
388,36916
389,36891
390,36945
392,37199
393,37549
394,37202
395,37347
396,38359
397,49601
398,37470
399,37576
400,37704
401,37358
402,36685
403,37759
404,40332
406,37402
407,37698
409,37529
410,37528
411,37277
412,37410
413,37587
414,36788
415,36937
416,41914
417,37062
418,36805
419,46022
420,37233
422,37423
423,37556
424,37646
425,37161
426,37288
427,37495
428,38389
429,37354
430,37501
431,36873
433,37752
434,37529
435,36682
436,37010
437,37804
438,37224
439,37365
440,37945
442,37285
443,37650
444,37641
445,37306
446,37335
447,36829
449,37021
450,36902
451,37091
453,37221
454,37300
457,36995
458,36788
459,37809
460,38559
461,37696
462,53556
463,36773
464,36595
466,39012
467,37722
468,37006
469,37271
470,10644
471,37805
472,39281
474,37176
475,38815
476,37465
477,37241
478,37197
479,36549
480,46280
481,37825
482,37333
484,45077
485,37932
486,37920
487,37325
489,37177
490,37144
491,37334
492,37494
493,37301
494,38025
495,37318
496,37272
497,37922
498,36961
499,38821
500,41006
501,36612
502,12312
503,37098
504,37897
505,56994
506,36961
507,37288
508,37237
509,37230
511,36429
512,36456
513,36968
514,36994
515,36627
517,38150
518,36387
520,36534
522,38505
523,37664
524,37065
525,38332
526,37116
527,36767
528,38629
529,37648
530,38018
531,37062
533,36543
534,37069
536,37488
537,37265
538,37529
539,37454
542,39137
545,37461
546,37277
547,36732
548,37256
550,37489
551,42534
552,37641
553,37167
554,37421
555,37311
557,36889
558,41542
559,37770
561,36754
562,37585
563,37128
565,37744
566,37131
568,37295
569,37427
570,37013
571,43336
572,36579
574,37470
577,37622
578,36848
579,37378
580,36351
581,37887
582,37205
584,37854
585,37633
587,37707
588,37509
589,37512
590,16383
591,37145
