id,latency[ns]
-1,1611691741716902750
20,29344
-1,112757
23,6187
-1,192693
24,10812
-1,105428
25,28376
-1,91395
26,30610
-1,111980
27,30965
-1,84626
28,8114
-1,90589
29,33843
-1,103688
30,7431
-1,88990
31,17086
-1,33091
32,32218
-1,47582
33,10939
-1,28196
34,6185
-1,47284
35,28346
-1,44029
37,4580
-1,39002
40,9398
-1,25522
41,8571
-1,42376
42,7849
-1,23969
43,9180
-1,27485
44,13942
-1,29184
45,13107
-1,29944
46,6494
-1,22373
48,8471
-1,70522
49,15276
-1,91624
50,7467
-1,84341
52,3985
-1,121351
56,33735
-1,134486
57,4576
-1,39498
59,34486
-1,95786
60,15330
-1,32151
61,6211
-1,22940
62,10018
-1,44130
63,5168
-1,43323
65,7834
-1,72969
66,9385
-1,82019
67,6775
-1,46572
68,4576
-1,39371
69,6382
-1,40252
70,30724
-1,50091
71,8872
-1,43593
72,6541
-1,39897
73,4004
-1,43359
74,32759
-1,47901
75,30078
-1,49505
76,30848
-1,46785
77,31867
-1,47576
78,34199
-1,64729
79,5526
-1,39294
80,6828
-1,40317
81,35023
-1,77414
82,5283
-1,39510
83,33073
-1,49837
84,4948
-1,44396
85,5801
-1,39661
86,31349
-1,114128
87,32122
-1,166571
88,6389
-1,42931
89,10339
-1,30034
90,11266
-1,58006
91,4799
-1,39123
92,5243
-1,21544
93,5270
-1,39018
94,4825
-1,21559
96,11072
-1,38890
97,52376
-1,113544
98,34861
-1,59677
99,25649
-1,41529
100,7204
-1,23735
101,10915
-1,27596
102,10187
-1,27017
103,19637
-1,38063
104,7057
-1,41056
105,6516
-1,22714
106,5559
-1,21782
107,13820
-1,29720
108,28760
-1,44981
109,9701
-1,26954
110,6954
-1,44347
111,33992
-1,49292
112,4080
-1,39044
113,14875
-1,38953
114,6759
-1,40683
115,4613
-1,38928
116,7272
-1,51337
117,4593
-1,39363
118,9491
-1,53638
119,9936
-1,56558
121,7068
-1,50477
122,9553
-1,55978
123,5757
-1,49124
124,7709
-1,34114
125,9419
-1,43416
127,10271
-1,44128
128,15650
-1,37321
130,32577
-1,51911
131,10933
-1,53533
133,5773
-1,39353
134,7127
-1,47283
135,5566
-1,39675
136,10344
-1,50828
137,9864
-1,45294
138,32260
-1,53127
139,8168
-1,59070
140,30993
-1,46988
141,8561
-1,26762
142,7331
-1,53489
143,29779
-1,45797
144,7762
-1,52506
145,32801
-1,48331
146,7637
-1,42117
147,10163
-1,44182
148,33777
-1,49248
149,31443
-1,46711
150,35077
-1,52103
151,6931
-1,41087
152,10045
-1,44093
153,5017
-1,39406
154,5498
-1,43443
155,29554
-1,52603
156,4805
-1,21415
157,12599
-1,60434
158,28850
-1,44564
159,33666
-1,48511
160,12844
-1,28203
161,7609
-1,42313
162,11243
-1,45054
163,7837
-1,41973
164,5930
-1,40693
165,8233
-1,44287
166,9923
-1,44727
167,5991
-1,40270
168,4585
-1,39689
169,8816
-1,54393
170,38780
-1,54412
171,11400
-1,61759
172,33623
-1,49430
173,37972
-1,63107
174,7624
-1,44066
175,7370
-1,40959
176,9745
-1,50629
177,32439
-1,52587
178,5570
-1,39441
179,33840
-1,49408
180,34034
-1,49922
181,7261
-1,40987
182,9762
-1,46159
183,32104
-1,47497
184,34118
-1,49445
185,30021
-1,46030
186,9798
-1,47434
187,9451
-1,44320
188,6951
-1,41405
189,5486
-1,40794
190,30530
-1,46431
192,6946
-1,23677
194,8749
-1,43438
195,7809
-1,41914
196,34014
-1,49906
197,7557
-1,23524
198,9368
-1,43993
199,4158
-1,39559
200,28492
-1,44738
201,6104
-1,40190
202,7654
-1,41896
203,8120
-1,44419
204,13790
-1,29556
205,29134
-1,44714
206,15343
-1,30819
207,7060
-1,41184
208,5031
-1,39446
209,32084
-1,47688
210,4229
-1,38854
211,37626
-1,87526
212,31846
-1,47355
213,6107
-1,40140
214,14729
-1,30029
215,33467
-1,48794
216,26984
-1,60057
217,28693
-1,43878
218,8845
-1,52027
219,4126
-1,38946
220,4358
-1,38823
221,12583
-1,37845
222,5566
-1,48506
224,28793
-1,44693
225,9096
-1,43531
226,34269
-1,49410
227,7150
-1,41761
228,4235
-1,39113
229,29313
-1,45232
230,9191
-1,43804
231,4420
-1,39015
232,6536
-1,49992
233,5965
-1,49134
234,13724
-1,47911
235,5987
-1,49532
236,4321
-1,39567
238,30218
-1,46120
239,33106
-1,48315
240,30213
-1,45547
241,6040
-1,48135
242,8992
-1,25741
243,10052
-1,35989
244,28884
-1,44712
245,6717
-1,50527
246,29829
-1,76966
247,9516
-1,44294
248,11630
-1,54302
249,32725
-1,56288
250,7549
-1,41748
251,32009
-1,52286
253,4553
-1,22572
254,5832
-1,49983
255,9651
-1,52688
256,10189
-1,55367
257,33467
-1,49186
258,32726
-1,48369
260,9391
-1,26782
262,10684
-1,27257
263,5800
-1,40632
264,13732
-1,29728
265,9391
-1,44401
266,30201
-1,45673
267,10559
-1,46321
268,15299
-1,30822
269,4199
-1,39674
270,10732
-1,27480
271,9432
-1,43669
272,31128
-1,46936
273,8688
-1,43606
274,31625
-1,47493
275,10359
-1,43814
276,4749
-1,39173
277,4057
-1,39771
278,9561
-1,72352
279,7000
-1,23738
280,5049
-1,39416
281,14766
-1,31662
282,5028
-1,39158
283,10420
-1,59960
284,6354
-1,51135
285,33225
-1,62475
286,33072
-1,61645
287,30484
-1,46380
288,4384
-1,39159
289,6725
-1,33554
290,7136
-1,50697
291,32729
-1,49038
292,15617
-1,31076
293,5433
-1,39429
294,5589
-1,39937
295,32621
-1,48311
297,4591
-1,39484
298,7873
-1,52268
299,31880
-1,50263
300,13569
-1,29332
301,7996
-1,44838
302,6359
-1,41423
303,4145
-1,39784
304,12525
-1,29391
305,33950
-1,49682
306,3976
-1,38910
307,29278
-1,45243
308,4235
-1,20966
309,4386
-1,21388
310,6013
-1,32527
311,13150
-1,29897
312,30311
-1,45541
313,30211
-1,46290
314,28604
-1,44050
315,13209
-1,30041
317,15248
-1,31285
318,33848
-1,50158
319,5437
-1,21693
320,5463
-1,39232
321,11991
-1,28262
322,10035
-1,43735
323,8315
-1,43822
324,31699
-1,47202
325,32272
-1,48388
326,32121
-1,47340
327,4531
-1,47150
328,6440
-1,22279
329,32808
-1,47749
330,32899
-1,48444
331,8816
-1,43554
332,8714
-1,44413
333,11077
-1,27056
334,32502
-1,48027
335,15722
-1,30894
336,6363
-1,40749
338,12961
-1,29405
339,6908
-1,45017
340,5487
-1,39601
341,34888
-1,50699
343,7445
-1,41374
344,6072
-1,40204
345,30269
-1,46659
346,7414
-1,41547
348,33253
-1,48487
351,6357
-1,40493
352,8845
-1,43258
353,7918
-1,26441
354,30330
-1,50419
355,5036
-1,40111
356,21997
-1,62715
357,6808
-1,23364
358,6980
-1,41608
359,7253
-1,23123
360,32829
-1,47866
361,10401
-1,26278
362,30723
-1,46442
363,10535
-1,27218
364,9134
-1,43620
365,14202
-1,29926
366,29848
-1,45752
367,32149
-1,47649
368,10745
-1,47070
370,9816
-1,43856
371,5769
-1,39797
372,11017
-1,46403
373,31970
-1,47779
374,33780
-1,49026
375,37374
-1,67955
376,5318
-1,39713
377,6450
-1,40745
378,35201
-1,51585
379,6597
-1,46537
381,35749
-1,52117
382,8424
-1,30866
383,33359
-1,54125
385,9191
-1,43232
386,29573
-1,46461
387,6547
-1,40749
388,4160
-1,43816
389,8438
-1,42382
390,8705
-1,43868
391,4588
-1,38815
392,10572
-1,49481
393,33088
-1,48222
394,5585
-1,39869
395,32481
-1,48077
396,7985
-1,43437
397,32837
-1,62885
398,30685
-1,45917
399,29932
-1,47804
400,7219
-1,41193
401,14809
-1,49618
402,5582
-1,39753
403,10262
-1,44416
404,32509
-1,48108
405,33912
-1,49544
406,31196
-1,47313
407,9785
-1,45359
408,9846
-1,43410
409,31283
-1,46925
411,10543
-1,45759
413,30324
-1,45681
414,9685
-1,46916
415,8965
-1,25581
416,33957
-1,50017
417,7332
-1,40969
418,36548
-1,62864
419,5962
-1,39702
422,29486
-1,47161
423,7744
-1,48183
424,4346
-1,38488
425,9119
-1,43012
426,29090
-1,48803
427,34622
-1,50896
428,11702
-1,46724
429,34516
-1,55009
430,31115
-1,77511
431,9136
-1,47335
433,8984
-1,46587
434,28739
-1,44818
435,31815
-1,47649
436,29518
-1,45110
438,4557
-1,21855
439,10049
-1,44112
440,30145
-1,45747
442,30893
-1,47033
444,4903
-1,39828
445,30841
-1,46704
446,23809
-1,57100
447,4965
-1,21311
448,6954
-1,53304
449,32814
-1,48373
451,32899
-1,48489
452,4099
-1,39544
453,6279
-1,50696
454,6408
-1,50085
455,33323
-1,49457
456,29510
-1,45023
457,37247
-1,53397
458,9871
-1,43558
459,6630
-1,41383
460,7961
-1,24324
461,7147
-1,41516
462,6415
-1,40380
463,10406
-1,45251
464,9820
-1,50344
465,33067
-1,48733
466,5391
-1,39037
467,6114
-1,39906
468,6319
-1,39627
469,4910
-1,38747
470,16534
-1,50818
471,29996
-1,45602
472,31651
-1,47517
473,33353
-1,48533
474,4530
-1,39628
475,4240
-1,20759
476,6162
-1,49875
477,11269
-1,28249
478,9250
-1,44858
479,4864
-1,22182
480,10303
-1,44839
481,12038
-1,28788
482,33053
-1,48782
483,30931
-1,46571
484,8520
-1,45035
485,6794
-1,41792
486,29208
-1,44962
487,29279
-1,44595
488,3900
-1,38470
489,29577
-1,45683
490,9186
-1,44440
