id,latency[ns]
7,37440
8,37438
9,40039
10,37743
11,36686
12,36740
13,36396
14,36207
15,59655
16,10715
17,36667
18,37404
19,36490
20,37071
21,39342
22,38404
23,40151
24,37304
25,37160
26,37175
27,48030
28,36873
29,36860
30,38328
31,37285
32,38558
33,37204
34,40011
35,37099
36,36971
37,37367
38,38569
39,36939
40,37281
41,45303
42,37388
43,37568
45,37413
46,37509
47,39878
48,36856
49,36680
50,37545
51,36771
52,36950
53,36694
54,37156
55,37427
56,37466
57,36909
58,37116
59,37621
60,38951
61,38206
62,37199
63,36378
64,36330
65,36926
66,37293
67,36319
68,37941
69,37479
70,45865
71,36853
72,36639
73,36948
74,37068
75,36641
76,37111
78,36678
79,36565
80,36804
81,36807
82,36184
83,37911
84,36772
85,36406
86,41075
87,39252
89,37338
90,37358
91,36138
92,36179
93,29701
94,36676
95,37118
96,36260
97,39416
98,36894
99,39372
100,36726
102,36247
103,36864
104,36590
105,38490
106,36603
107,36161
108,36465
109,36485
110,36962
111,37297
112,37247
113,36615
114,37160
115,37354
116,37054
117,36832
118,37418
119,36620
120,39097
122,37524
123,36045
124,37748
125,37274
126,39105
127,37062
128,36845
129,11267
130,37130
131,14851
132,36964
133,36174
134,36216
135,65761
136,37807
137,37717
138,36858
139,36362
140,36313
141,37510
142,38324
143,36712
144,36471
145,28736
146,36620
147,37899
148,37074
149,39111
150,41447
151,37087
152,36873
153,36662
154,36219
155,36912
156,37414
157,37398
159,37160
160,40224
161,36775
162,36193
163,36930
164,37030
165,36517
167,36488
168,37128
169,36437
170,40741
171,36455
172,55333
173,37232
174,36814
175,36645
176,37247
177,41657
178,36141
180,37565
181,37572
182,40289
183,37150
184,36759
185,36756
186,37376
187,37610
188,37020
189,36860
190,36256
191,37453
192,37495
193,37004
194,36516
195,36800
196,37513
197,12927
198,36570
199,37976
200,37222
201,36458
202,36254
203,36516
204,36707
205,37180
206,37237
207,37626
208,36555
209,36953
210,37626
211,37022
212,37525
213,37285
214,38166
215,37031
216,36900
217,37033
218,36396
219,37153
221,72629
222,38056
223,37120
224,36633
225,36812
226,48054
227,36781
228,37476
229,36525
230,37442
231,36590
232,37528
233,36830
234,37198
235,37357
236,36893
237,37411
238,38119
239,38233
240,36824
241,37606
242,37200
243,40697
244,37623
245,36716
246,37813
247,37725
248,36734
249,37590
250,37020
251,17572
253,37384
254,37248
255,37457
256,36943
258,37016
259,37813
260,36465
261,38021
262,37677
263,37701
265,39102
266,37013
267,37873
268,37304
269,37129
270,37938
271,38109
272,36683
273,37003
274,37439
275,39049
276,37030
277,37095
278,37818
279,66235
280,37845
281,36138
283,36851
284,36827
285,36183
286,37874
287,37483
288,36784
289,41918
290,36673
291,40096
292,37620
293,36429
294,37360
295,36439
296,36928
297,40998
298,37211
299,37714
300,37568
301,37353
302,37058
303,37556
304,36215
305,39212
306,36681
307,37696
308,36236
309,36489
310,36986
311,36742
312,36918
313,37465
314,37303
315,36864
316,36949
317,36791
318,36774
319,37104
322,37017
323,38421
324,37620
325,36798
326,38540
327,37042
328,38625
329,36979
330,36512
331,36539
332,56160
333,36891
334,38069
335,38333
336,12167
337,39960
338,38260
339,37335
340,37711
341,37073
342,36674
343,37708
344,37683
345,36182
346,36802
347,36861
348,37039
349,37731
350,36906
351,36863
352,36608
353,40796
354,37575
355,39202
356,37100
357,37692
358,37359
359,36525
360,37278
361,36388
362,37398
363,37342
364,38016
365,38332
366,38425
367,38262
368,36270
369,36894
370,37078
371,36770
372,37236
374,36968
375,36316
376,36518
377,36490
378,41865
379,37479
380,37258
381,36251
382,37027
384,36837
385,51656
386,37602
387,44157
388,37246
389,41209
390,36452
391,36981
392,37211
393,36739
394,37584
395,41897
396,36841
397,36621
398,37129
399,46892
400,35926
401,37814
402,37000
403,47184
404,36706
405,36467
406,37504
407,36987
408,39511
409,36152
410,36858
414,36296
415,36897
416,36721
417,36453
418,38462
419,36995
420,36778
421,37056
422,36867
423,36859
424,36902
425,36174
426,38157
427,37716
428,37738
429,38113
430,36702
431,40307
432,37738
433,36064
434,37456
435,37212
436,37263
437,36836
438,38775
439,37063
440,37091
441,36671
442,36701
443,36450
444,36695
445,36984
446,37833
447,37058
448,58829
449,37125
450,37726
451,36230
453,36295
454,38169
455,37787
456,37763
457,36463
458,36986
459,37761
460,36788
461,12189
462,36857
463,37220
464,38338
465,37326
466,37255
467,38893
469,40808
470,36793
471,39945
472,37527
473,29119
474,36829
475,37229
476,38281
477,37161
478,11392
479,37048
480,37073
481,36608
482,37488
483,38227
484,38618
485,36676
486,37214
487,37088
488,36893
489,36863
490,36023
491,36943
492,11424
493,36846
494,37465
495,36566
496,38735
497,37585
498,36957
499,36996
500,37438
501,37064
502,37715
503,36897
504,37690
505,35909
506,36513
507,36206
508,37065
509,36212
511,37222
512,36900
513,37072
514,35984
515,36976
516,38361
517,37527
518,46888
519,37622
520,36507
521,36808
522,36766
523,36978
524,37764
525,37615
526,37037
527,39780
528,37181
529,37501
530,38902
531,38155
533,37166
534,36943
536,37353
537,36691
538,37084
539,36560
540,36941
541,37120
542,65494
543,37341
544,36899
545,37020
546,36609
547,50582
548,37200
550,38546
551,37372
552,53320
553,38113
554,36316
555,37020
556,40804
557,36758
558,37438
559,38074
560,39144
561,37382
562,37123
563,36586
564,35902
566,37734
567,37731
568,36429
569,43107
570,36637
571,37184
572,37293
573,37263
575,37397
576,36656
577,37593
579,36007
580,37580
581,38050
582,39600
583,30010
584,36383
585,37096
586,36663
587,37527
588,36996
589,37509
590,30632
591,36865
592,37731
593,37321
594,37567
595,37269
596,37188
597,36757
599,38136
600,38134
601,37487
602,37431
603,37315
604,36571
605,36683
606,37924
607,38252
608,37183
609,37854
610,37113
611,11448
612,38553
613,37381
614,37332
615,37232
616,38237
617,36437
618,36849
619,37727
620,36594
621,37315
622,36351
623,41047
624,37104
625,66631
626,36883
628,37379
629,36975
630,36146
631,37540
632,36791
634,36536
635,38749
636,36601
637,36813
638,37331
639,36473
640,36905
641,36550
642,37646
643,36804
644,37571
645,36537
647,37169
648,37232
649,36203
650,36756
651,37880
652,40874
653,36285
654,36581
655,38718
656,38297
657,36643
658,37708
659,37907
660,37468
661,37106
662,36466
663,36528
664,37041
666,37257
667,41736
668,37507
669,37107
670,37939
671,37169
673,36723
674,36512
675,37201
676,37478
678,37379
679,36763
680,38310
681,37107
682,36065
683,36641
684,28278
685,36982
686,36928
687,36716
688,66417
689,35822
690,38014
691,36884
692,37114
693,36906
694,36536
695,36431
696,40608
697,39480
698,37488
699,36826
700,36258
701,36717
702,41740
703,36290
704,36603
705,36683
706,37185
707,42611
708,37722
709,37680
710,37659
711,37164
712,37445
713,36598
714,36646
715,36844
716,37142
717,36909
718,36832
719,37339
720,37420
721,37370
722,36264
723,38747
724,37354
725,36822
726,37579
727,36484
728,37373
729,38294
730,37158
731,36949
732,37166
733,37160
734,36941
735,36507
736,37358
737,36703
738,36809
739,12861
740,36647
741,36498
742,36812
743,36937
744,36527
745,36480
746,37322
747,37154
748,48222
749,36883
750,36814
751,37634
752,36730
753,38990
754,36962
755,37164
756,37144
757,38870
758,37649
759,102407
760,39046
761,36800
762,37106
763,36754
764,36877
765,37060
766,37005
767,10892
768,37066
769,37654
770,37018
772,32015
773,37518
774,37911
775,36794
776,36275
777,49713
778,37181
779,36346
780,36588
781,37530
782,37384
783,38428
784,36746
785,36979
786,36778
787,36733
788,36581
789,36901
790,37723
791,36292
792,37263
793,37307
794,37644
795,36912
796,41716
798,37064
799,47177
800,36769
801,35760
802,39126
803,37195
804,37255
805,36806
806,37459
807,37541
808,38260
809,37508
810,36451
811,37355
812,38722
813,36629
814,36773
815,37752
816,36933
817,36249
818,37095
819,36935
820,36958
821,36712
822,37342
823,37409
824,37480
825,36640
826,36197
827,55506
828,55185
829,55948
830,56281
831,56426
832,56498
833,55266
834,55891
835,56343
836,56003
837,55904
838,55999
839,56646
840,55482
841,55655
842,65700
843,37928
844,56574
845,55915
846,55438
847,55479
848,55462
849,55770
850,55700
851,56760
852,55734
853,57351
854,38241
855,66918
856,42758
857,68511
858,69313
859,67951
860,66895
861,67030
862,66937
863,67899
864,67474
865,68442
866,67368
867,66457
869,67192
870,66882
871,68388
872,38522
873,39949
874,37900
875,38746
876,36201
877,38179
878,38392
879,37006
880,37565
881,36685
882,47729
883,37388
884,36705
885,38010
886,38321
887,38204
888,36500
889,36617
890,37181
891,37458
892,41004
893,37430
894,36790
895,37210
896,37646
897,36803
898,37314
899,38183
900,37728
901,50347
902,11563
903,37924
904,12256
905,37348
906,11097
907,37792
908,37312
909,36820
910,37736
911,36569
912,38206
913,37425
