id,latency[ns]
-1,1611680048721518501
3,55559
-1,249431
12,18432
-1,83876
13,5607
-1,74027
15,18787
-1,87240
16,15360
-1,82073
17,4725
-1,52315
18,9940
-1,64026
20,7404
-1,69656
21,6428
-1,63708
22,4762
-1,25894
23,11974
-1,32160
24,4572
-1,25202
25,15980
-1,34989
26,5980
-1,26544
28,17787
-1,73366
31,15877
-1,37262
33,13772
-1,41773
34,13040
-1,32613
35,9452
-1,62548
38,15850
-1,36562
39,18360
-1,75629
43,10938
-1,62287
44,18361
-1,76036
45,11036
-1,31226
46,8300
-1,28109
49,6415
-1,27527
50,17030
-1,37606
53,14043
-1,66000
55,10556
-1,58444
56,7054
-1,59776
57,16096
-1,66499
58,12071
-1,32194
60,15563
-1,37148
62,23064
-1,44380
63,18461
-1,38696
64,16990
-1,36769
67,13369
-1,32867
68,4585
-1,93970
69,8879
-1,63525
70,13103
-1,34276
72,6215
-1,27606
73,5837
-1,67304
75,5915
-1,71449
76,11827
-1,32321
79,13392
-1,81408
81,8225
-1,75132
86,18745
-1,83000
88,16202
-1,35981
89,10397
-1,71407
90,4061
-1,25291
91,18251
-1,37448
93,7966
-1,28851
95,9768
-1,30182
96,6509
-1,27351
97,18901
-1,37688
103,12821
-1,66412
108,16658
-1,92929
110,12598
-1,35403
116,7360
-1,54495
117,17973
-1,81192
120,7485
-1,28837
121,14476
-1,35459
122,13055
-1,67626
125,12279
-1,75292
129,6265
-1,70251
130,11775
-1,83866
132,16932
-1,35958
136,7505
-1,209792
137,14049
-1,65094
138,17712
-1,37002
139,15649
-1,34708
140,10396
-1,31145
142,5263
-1,59702
144,11038
-1,62968
145,18621
-1,38579
147,11223
-1,31337
148,4454
-1,25598
149,18406
-1,37915
153,4815
-1,26493
154,7577
-1,28570
155,9509
-1,42709
157,19425
-1,40117
158,17673
-1,91330
161,16019
-1,290254
163,11987
-1,32923
168,4691
-1,77238
169,19060
-1,80441
170,17996
-1,89827
172,9678
-1,103123
174,16232
-1,67911
175,17539
-1,109459
177,19000
-1,38554
179,5774
-1,27585
186,19683
-1,51952
189,7395
-1,60133
190,6921
-1,57571
192,15959
-1,35330
193,15570
-1,69038
194,15660
-1,88389
195,9314
-1,74311
196,9235
-1,55244
199,4534
-1,64263
200,17068
-1,97045
203,4835
-1,56939
204,17742
-1,37724
211,8453
-1,29636
214,11346
-1,32835
216,7130
-1,39981
222,17077
-1,36104
224,10395
-1,54484
229,8917
-1,40064
230,6462
-1,27059
231,5565
-1,35226
236,10162
-1,40285
237,13105
-1,59611
238,6018
-1,62957
239,6568
-1,36359
240,12963
-1,33943
241,11260
-1,32243
242,12853
-1,32747
243,11821
-1,31473
244,13367
-1,32948
246,12603
-1,33166
247,14058
-1,35716
251,4530
-1,25970
252,19041
-1,85647
255,15246
-1,214021
260,10235
-1,41033
264,9415
-1,39822
266,13459
-1,59759
269,6966
-1,84562
272,17427
-1,71783
274,12395
-1,66630
275,11882
-1,31082
276,10081
-1,89913
277,14040
-1,64428
278,8608
-1,71395
279,17337
-1,36749
283,14535
-1,34739
284,14774
-1,48429
286,8107
-1,36923
288,5844
-1,26700
290,8384
-1,29681
291,15774
-1,45850
293,7126
-1,49716
298,17160
-1,82857
303,11885
-1,32619
305,18598
-1,38329
309,6787
-1,27167
311,19864
-1,39465
315,10134
-1,41405
316,9453
-1,39698
318,13601
-1,41691
319,16209
-1,36275
320,4263
-1,25241
323,12613
-1,33250
325,9559
-1,85286
326,13635
-1,75842
330,10521
-1,69152
331,15008
-1,71593
332,13522
-1,33739
334,15974
-1,34923
338,6209
-1,27080
339,11845
-1,84411
344,9330
-1,62439
349,5951
-1,39295
350,10330
-1,33026
355,17543
-1,37079
357,13628
-1,33330
358,5692
-1,25620
359,9148
-1,31650
364,14918
-1,34575
367,12808
-1,34423
368,6009
-1,117330
369,18596
-1,135324
371,5781
-1,68434
375,7848
-1,75522
376,16901
-1,74868
377,5397
-1,25391
379,12349
-1,31419
380,5617
-1,25792
384,9945
-1,38677
385,12504
-1,36695
386,12609
-1,32371
387,19014
-1,82694
390,14240
-1,88050
391,13258
-1,33137
392,17057
-1,70170
394,18085
-1,66194
396,11811
-1,63510
398,19653
-1,40152
402,4823
-1,57695
406,6937
-1,55806
409,12632
-1,77452
410,20347
-1,39464
411,19463
-1,39180
412,17002
-1,37094
415,14888
-1,48197
416,15105
-1,78720
417,13347
-1,108442
418,8199
-1,77502
419,18323
-1,78078
420,7411
-1,27034
423,6778
-1,27131
424,13722
-1,33529
425,5463
-1,25719
427,12274
-1,32121
429,4883
-1,25692
440,11323
-1,30716
441,4683
-1,24376
442,9129
-1,28301
446,14631
-1,35968
447,19901
-1,41605
450,18620
-1,38683
456,18138
-1,37364
462,5059
-1,25798
463,12449
-1,69243
466,7990
-1,60541
469,15114
-1,36746
470,13246
-1,45613
471,9911
-1,29471
472,11214
-1,39971
476,9137
-1,66412
479,9540
-1,68978
481,8326
-1,28641
484,16017
-1,36286
487,21992
-1,42223
489,8450
-1,29348
490,15413
-1,35687
492,10659
-1,62519
494,11972
-1,67868
502,6018
-1,79221
503,4747
-1,54775
512,16425
-1,65215
515,9204
-1,70625
516,8027
-1,67791
518,13263
-1,67670
521,9256
-1,66686
523,17709
-1,86423
524,10989
-1,30510
525,8870
-1,39139
526,18458
-1,38996
527,17329
-1,37605
528,8684
-1,37932
530,15203
-1,36325
535,4441
-1,25882
539,12065
-1,83877
540,10023
-1,93806
544,12999
-1,32770
548,7352
-1,74424
549,12584
-1,91399
554,10382
-1,33259
557,17839
-1,76863
558,18183
-1,97166
559,10564
-1,30232
560,13358
-1,33642
561,9303
-1,33202
562,7283
-1,27113
563,19134
-1,38748
566,18313
-1,118105
569,18417
-1,87014
570,6848
-1,65981
571,18592
-1,85102
572,15776
-1,39801
574,19507
-1,50493
576,19479
-1,39319
577,9192
-1,30138
583,4381
-1,48736
584,5242
-1,26034
587,11123
-1,42393
589,10025
-1,63262
590,10529
-1,40967
592,13212
-1,79442
594,16302
-1,95486
598,14542
-1,87447
601,12381
-1,32970
607,19182
-1,39233
609,10608
-1,30417
612,12140
-1,33360
613,4838
-1,52536
614,10101
-1,55549
617,15489
-1,75767
618,18021
-1,76791
622,7696
-1,27878
625,4538
-1,24876
629,10734
-1,34130
632,14661
-1,34733
637,16736
-1,72930
640,7406
-1,62133
644,18900
-1,37917
651,17963
-1,41431
653,17898
-1,37868
654,16324
-1,36603
658,8718
-1,41665
660,9536
-1,40025
661,8450
-1,28330
662,14411
-1,34274
663,9294
-1,29945
664,15892
-1,35850
669,16773
-1,82640
670,5103
-1,72339
671,4722
-1,24711
675,11501
-1,42612
681,8795
-1,81024
683,11221
-1,67715
685,25190
-1,44707
688,18015
-1,49346
690,19114
-1,68071
693,8179
-1,58030
694,15975
-1,36264
695,4354
-1,56459
698,9555
-1,62826
700,8791
-1,57433
701,8489
-1,61608
702,17592
-1,36790
706,11802
-1,32928
707,14023
-1,33492
708,15174
-1,68444
711,11859
-1,64507
715,8472
-1,29211
718,16611
-1,36458
719,7141
-1,27126
721,6117
-1,26041
722,17548
-1,37190
723,4187
-1,24705
724,9110
-1,40779
725,9147
-1,38601
726,11721
-1,41112
730,14867
-1,35299
731,8949
-1,38715
732,8803
-1,38429
734,16789
-1,37396
735,17397
-1,37763
740,5503
-1,26449
742,6880
-1,38527
743,13971
-1,80285
744,10066
-1,72233
749,8298
-1,37483
753,15441
-1,35146
755,11581
-1,67133
757,17774
-1,74295
758,15651
-1,34926
759,5946
-1,63212
762,7851
-1,28195
763,14499
-1,88460
765,18313
-1,38391
766,8817
-1,29080
768,11971
-1,59437
769,17909
-1,37434
770,10939
-1,69553
773,18334
-1,40688
777,4841
-1,56188
778,14880
-1,76356
779,18481
-1,38181
783,12412
-1,33473
787,9055
-1,29705
788,15740
-1,46975
789,8075
-1,64397
790,17646
-1,72765
791,9680
-1,29337
794,9430
-1,39291
796,16002
-1,45605
797,19336
-1,78002
798,13467
-1,70400
801,14055
-1,33532
805,15688
-1,35571
807,12687
-1,33018
809,8350
-1,28457
820,9277
-1,31573
824,18846
-1,76756
828,16213
-1,135099
829,8647
-1,61954
830,15896
-1,38949
831,10703
-1,68996
833,18541
-1,38600
834,13535
-1,33099
835,13722
-1,32865
836,4212
-1,24881
837,7165
-1,28195
838,18647
-1,79648
842,5752
-1,35789
853,8529
-1,29592
856,13161
-1,122885
858,7316
-1,63330
863,14727
-1,61099
865,14045
-1,76007
866,13073
-1,72965
868,7538
-1,60833
869,13782
-1,33963
870,19848
-1,39212
875,8167
-1,29214
877,14998
-1,34531
879,4259
-1,25969
886,13828
-1,34021
891,6262
-1,26351
892,17386
-1,79509
893,13132
-1,82756
894,7192
-1,27651
900,14112
-1,34688
902,19040
-1,90146
903,18108
-1,87972
909,17842
-1,37741
911,4741
-1,25967
912,11314
-1,44599
913,15002
-1,71359
916,10456
-1,62418
918,4836
-1,25762
920,19231
-1,38785
922,4619
-1,26076
923,16039
-1,36050
926,8493
-1,39658
927,15380
-1,65204
929,11679
-1,119168
933,13056
-1,82981
934,15748
-1,82584
936,18849
-1,39188
943,18654
-1,39144
948,9919
-1,40467
949,10626
-1,38534
950,10149
-1,33188
951,9560
-1,30891
953,13298
-1,32697
954,15223
-1,34283
957,14508
-1,34994
958,18691
-1,38663
960,5883
-1,96121
962,12188
-1,72751
969,4932
-1,26500
970,14504
-1,34525
971,14532
-1,34055
974,4643
-1,25937
975,16294
-1,108940
976,12085
-1,90308
979,11328
-1,31821
980,4563
-1,25270
981,8477
-1,40652
982,8172
-1,82184
983,15233
-1,78033
988,9361
-1,70788
989,14110
-1,43605
995,14481
-1,106128
996,4421
-1,93805
998,12204
-1,41265
1004,9657
-1,31774
1009,12464
-1,42767
1010,5478
-1,24878
1016,15303
-1,36116
1021,10203
-1,41766
1023,10411
-1,30624
1031,15168
-1,34812
1033,8628
-1,39876
1034,5479
-1,26081
1035,5602
-1,69937
1039,8256
-1,28605
1040,6340
-1,61701
1042,12133
-1,32953
1043,19013
-1,40023
1054,13020
-1,33515
1056,6355
-1,74656
1062,16730
-1,78412
1066,10965
-1,90393
1068,8800
-1,81181
1069,17980
-1,37513
1070,17076
-1,41171
1072,13235
-1,64976
1073,17730
-1,38295
1076,5433
-1,93397
1077,7793
-1,27967
1079,18337
-1,47690
1084,17336
-1,36933
1085,11029
-1,31730
1087,6000
-1,26700
1089,15616
-1,36040
1090,10419
-1,40295
1091,19448
-1,166940
1092,5567
-1,52818
1095,7879
-1,71301
1097,10592
-1,39791
1098,16628
-1,69405
1099,7034
-1,72829
1103,14925
-1,36442
1105,5304
-1,26049
1107,9488
-1,30408
1113,15288
-1,97568
1114,16948
-1,36765
1115,7186
-1,37278
1116,6623
-1,27213
1117,12996
-1,33498
1118,7790
-1,36577
1119,15951
-1,35998
1120,17113
-1,36457
1121,6491
-1,27037
1123,11356
-1,31663
1124,13618
-1,33007
1125,13796
-1,34398
1126,4872
-1,25326
1127,7978
-1,40526
1128,15259
-1,38289
1130,9089
-1,28983
1131,19694
-1,39798
1134,13103
-1,41896
1135,10937
-1,30475
1136,15580
-1,34975
1137,12474
-1,32401
1138,17600
-1,38742
1140,11363
-1,32584
1142,18194
-1,46690
1143,12310
-1,32974
1144,5536
-1,26069
1145,7505
-1,35904
1147,17807
-1,45768
1148,12510
-1,32424
1149,5012
-1,25171
1150,15333
-1,35368
1151,10214
-1,39237
1152,9391
-1,38206
1153,8589
-1,29613
1154,19263
-1,46327
1155,9720
-1,39115
1159,10362
-1,39286
1161,14691
-1,35027
1162,19223
-1,39071
1163,8130
-1,39214
1164,5790
-1,35206
1165,6442
-1,26679
1166,11800
-1,31378
1169,4348
-1,25345
1170,15463
-1,35443
1171,15683
-1,44609
1172,12937
-1,32758
1173,17741
-1,37563
1174,15840
-1,35108
1175,8654
-1,34018
1177,5560
-1,25648
1178,6010
-1,26784
1180,9863
-1,31206
1181,7501
-1,40877
1182,5940
-1,26952
1183,14822
-1,35244
1184,11389
-1,32505
1185,19666
-1,40357
1186,5690
-1,25863
1187,20059
-1,40398
1188,12258
-1,34290
1189,18189
-1,48226
1191,18729
-1,46476
1192,15291
-1,34501
1193,13378
-1,34198
1194,10834
-1,39865
1195,16669
-1,36509
1196,18185
-1,45367
1197,10246
-1,30785
1198,15956
-1,35803
1199,16042
-1,43796
1200,8057
-1,36752
1201,14202
-1,33701
1202,17645
-1,37522
1207,12858
-1,33227
1208,5731
-1,26264
1209,4543
-1,24713
1213,10329
-1,39951
1214,14048
-1,34178
1215,10791
-1,41280
1216,10184
-1,39123
1217,7997
-1,36166
1218,17701
-1,37211
1219,11986
-1,40530
1220,12873
-1,32161
1222,14206
-1,35118
1223,5014
-1,35741
1224,10117
-1,33023
1225,16328
-1,36615
1226,12827
-1,31871
1228,11339
-1,32346
1229,7952
-1,74543
1231,14847
-1,43428
1233,15589
-1,34952
1234,15561
-1,34743
1236,11706
-1,39786
1237,11338
-1,39596
1238,6437
-1,35178
1239,13511
-1,32817
1240,11547
-1,31202
1241,11351
-1,39823
1242,15627
