id,latency[ns]
2,69442
12,47345
15,46504
20,47657
21,46493
25,47922
26,46753
27,49377
32,46922
33,49663
34,53765
35,45750
37,46822
39,45749
42,47929
43,50240
44,48868
45,50840
46,48089
47,13067
48,14609
49,47730
52,48586
53,47655
54,47176
55,47008
56,61134
59,45076
60,45773
61,45545
62,46669
63,36327
64,47322
65,45531
66,47282
67,47073
68,49082
69,44990
71,44980
72,45885
74,44696
75,45554
76,47832
79,44894
81,47475
82,114479
83,47917
84,44934
85,45200
90,52096
92,47049
93,47861
94,47298
95,49656
97,48073
98,49521
99,11415
103,48045
104,48221
107,47822
110,48252
111,49871
113,48471
114,47728
115,47127
117,47161
118,47015
120,45418
121,44533
124,46959
125,49021
126,47472
130,46092
132,46527
134,47394
135,45048
136,45604
137,47588
138,47901
139,48286
140,47997
142,45802
143,47421
144,45553
145,45727
146,49625
149,12320
151,46428
152,45810
155,48687
156,45223
158,16536
159,49341
160,48466
161,48544
162,50934
163,47200
164,47513
167,47591
168,47471
169,47608
170,10989
171,20920
172,49572
173,47583
175,23545
178,47302
179,47721
180,61859
184,47624
185,46901
186,44815
187,46830
188,46393
194,48629
195,47776
197,48429
198,45421
199,49135
200,48890
201,45236
202,47386
203,13447
205,48939
206,47309
210,12872
211,49155
213,14892
214,26317
216,44532
219,45388
220,48425
222,12078
223,44783
224,47050
225,23357
228,45284
231,53723
233,194003
234,47371
235,47639
237,48506
239,14410
241,48073
242,47664
243,48760
244,46995
245,48925
246,47350
247,47895
248,48492
251,47350
252,45717
253,47539
254,47191
255,45156
256,44948
258,46942
259,49728
260,51345
261,49069
262,52028
263,49408
264,47268
270,51365
273,47937
276,47323
277,47711
278,48354
281,48563
282,46901
288,52960
289,49068
290,47572
291,48056
292,48091
294,47788
296,52604
298,46895
299,46830
301,45118
303,39375
304,52207
305,47952
307,47653
308,47833
311,49256
314,47735
319,12174
321,46951
322,49396
325,46651
329,52646
331,44470
333,47720
335,47001
340,45013
341,47415
344,47813
347,49414
348,45209
351,45869
352,47142
353,46268
354,47570
356,46367
360,48592
361,48995
365,48036
367,47533
369,47148
371,47916
372,47585
374,48607
375,48191
378,47360
381,47230
382,47577
386,50527
387,49072
389,47452
390,47518
392,47198
394,47425
397,47043
398,47690
401,47788
402,49597
404,48537
405,47322
411,48091
412,50143
416,49448
418,52924
419,48622
420,47588
422,48097
426,49241
428,51466
429,47457
436,47315
438,48974
441,44064
445,46002
448,47563
455,46751
456,47372
458,47807
460,47110
463,47243
465,47482
466,47660
467,45731
470,47855
474,47027
477,46855
479,45591
480,50021
483,48074
485,45833
486,49901
488,50076
489,45222
490,44281
492,45440
494,46754
495,48509
496,47847
498,44484
500,46068
503,44091
505,44214
508,45170
509,46095
510,45281
512,46717
515,45051
518,47800
519,55778
520,46232
522,46134
523,47983
524,47958
525,48061
529,50336
530,48273
534,47708
538,47546
539,48753
541,46586
544,46654
549,47781
552,49922
554,49847
555,45017
558,45626
560,45621
561,47433
562,48563
563,47368
564,47616
565,47518
566,48684
567,49027
568,47756
572,48268
573,47401
574,47006
578,50072
579,52490
581,47422
583,47789
585,63579
588,44739
589,48967
591,49019
592,48169
595,52165
597,47551
599,47977
600,48758
601,47879
602,56150
604,47797
608,59713
612,48558
615,45650
616,49064
625,45162
626,47797
629,38306
634,49636
637,48582
639,50784
640,50757
643,50297
645,47118
649,47519
650,51340
656,44457
661,49778
662,48148
664,49369
669,47819
670,47377
677,49273
678,48752
680,62247
681,45049
683,49333
684,48042
689,47717
693,47240
696,46032
697,49623
698,48576
699,44799
702,45539
705,47539
706,45655
708,47352
712,46731
713,46663
715,11761
720,47432
722,47182
724,48107
725,45776
726,49095
727,46921
730,46005
731,48947
735,47378
736,48317
737,47635
738,47746
739,50694
740,47615
741,52874
742,47338
746,52477
747,47396
750,45443
752,47221
755,48976
757,47425
758,47900
760,54931
766,48181
768,44922
769,45136
770,45623
772,47769
773,46699
774,46070
776,47653
777,45469
780,47795
783,50930
784,47663
785,46975
786,51087
787,47544
789,47691
790,52068
791,44505
793,47981
797,47907
799,45362
800,52953
801,49814
803,48571
809,10941
810,36155
811,45961
813,45578
814,47280
817,44545
822,48492
823,56975
824,49591
826,47527
827,46149
828,45634
829,46268
833,49912
836,47575
837,47728
838,47701
839,47569
842,47358
843,46935
847,47570
849,47163
850,55004
853,47800
854,45613
855,47972
856,45861
860,45671
862,45333
866,47334
868,44675
870,48352
871,48171
872,51957
873,44809
878,52167
879,47554
880,48234
881,47515
882,47411
885,47456
886,45210
889,49716
890,47368
892,47934
899,45802
900,48346
907,49772
909,11428
913,46480
917,47833
921,45918
924,48294
929,44166
933,11967
934,47148
