id,latency[ns]
10,49873
11,48479
12,47228
13,49197
14,48791
15,47871
16,49564
17,47035
18,48593
19,52025
20,48037
21,47497
22,47179
23,48680
24,47379
25,48040
26,49719
27,47136
28,47851
29,47492
30,13555
31,12286
32,11083
33,10776
34,11156
35,10566
37,11027
39,11732
40,10350
41,10424
43,11050
44,11315
45,11069
46,10759
47,47572
48,47653
49,12533
50,11483
51,11321
52,11611
53,10622
54,11332
55,10740
56,11517
57,11081
58,11218
59,11243
60,10910
61,10995
62,11675
63,11695
64,11361
65,11352
66,10975
67,11098
68,11405
69,10655
70,11023
71,11001
72,11086
73,21644
74,10708
75,48342
76,53241
77,52626
78,47542
79,48750
80,47784
81,48049
82,47854
83,47177
84,48280
85,47828
86,48544
87,52543
88,47770
89,47620
91,47311
92,47149
93,49065
94,47600
95,47634
96,51150
97,49183
98,15153
99,21503
100,13656
102,12841
103,11826
104,12946
105,12010
106,12592
107,11226
108,11068
109,10398
110,11599
111,11361
113,10853
114,10218
115,10654
116,11237
117,11570
118,10792
119,10583
120,10635
121,10524
122,11507
123,10647
124,10455
125,11067
126,10658
127,11130
129,11537
130,10982
131,11045
132,10805
133,11052
134,10745
135,11039
136,10351
137,10565
138,10699
139,10850
140,10617
141,10822
142,10910
143,10991
144,10255
145,11126
146,10624
147,10767
148,10762
149,10373
150,10736
151,11856
152,10777
153,12009
154,11107
155,10732
156,10799
157,11388
158,10861
159,10953
160,10533
161,10890
162,11447
163,11090
164,11387
165,11660
166,44954
167,58790
168,48332
169,47354
170,47243
171,49860
172,47500
173,47366
174,48028
175,48800
176,51173
177,49184
178,49136
179,47585
180,60638
181,47314
182,48762
183,48158
184,47561
185,47639
186,48217
187,49320
188,49574
189,49075
190,48483
191,47637
192,51974
193,48848
194,48719
195,48918
196,48158
197,48190
198,48367
199,49045
200,48812
201,47102
202,48853
203,49854
204,48825
205,49964
206,47316
207,49553
209,12470
210,11266
211,10888
212,11107
213,10997
214,10655
215,10984
216,10934
217,10632
218,26811
219,10770
220,11570
221,10712
222,10831
223,10755
225,11528
226,11093
227,11245
228,10335
229,10947
230,11210
231,11485
232,11616
233,11130
234,11343
235,10672
236,11233
237,10918
238,10828
239,9808
240,11551
241,11014
242,11316
243,11029
244,11581
245,10679
246,10672
247,11198
248,10514
249,11304
250,10835
251,11154
252,11131
253,11364
254,10801
255,10402
256,10169
257,10445
258,11004
259,10645
260,11463
261,10817
262,10816
263,10865
264,11088
265,10858
266,10769
268,10769
269,10279
270,11309
271,11537
272,11511
273,10714
275,10580
277,11035
278,11047
279,11192
280,11298
281,11040
282,11072
283,11260
284,11346
285,11862
286,11084
287,10640
288,10552
289,10663
290,10812
291,10954
292,11052
293,10679
294,10471
295,10952
296,11123
297,10750
298,10935
299,11368
300,11280
301,10484
302,10657
304,10799
305,11107
306,13438
307,10202
308,10357
310,10985
311,10334
312,10735
313,12183
314,10955
315,10539
316,11527
317,10512
318,11087
319,10605
320,10560
321,10370
322,11444
323,10259
324,10800
325,10585
326,10636
327,11247
328,11002
329,11158
330,10666
331,11244
332,11199
333,11038
334,10409
336,46280
337,45599
338,45969
339,13107
340,50340
341,47892
342,49658
343,49962
344,48156
345,49309
346,49272
347,47857
348,48743
349,50033
350,51090
351,48103
352,57806
353,12883
354,50013
356,12078
357,11638
358,11397
359,10624
360,11228
361,11081
362,11607
363,10871
365,11080
366,10397
367,10135
368,10942
369,10447
370,10768
371,10379
372,10728
373,10094
374,11197
375,10959
376,14594
377,11504
378,10993
379,10667
380,11359
381,10741
382,10997
383,11215
384,11362
385,11470
386,11066
387,10624
388,11245
390,11418
391,10785
392,10801
393,11439
394,11249
395,10959
396,10899
397,10525
398,11318
399,10830
400,10721
401,10496
402,10733
403,10618
404,11188
405,10862
406,10857
407,10625
408,11117
409,10320
410,10803
412,10438
413,10703
414,10856
415,11132
416,11045
417,11024
418,46133
419,12208
420,11308
421,10797
422,10389
423,10990
424,10585
425,11066
426,10832
427,10926
428,10575
429,10633
430,11023
431,10999
432,10929
433,10706
434,11846
435,10999
436,11904
437,10978
438,10956
439,10447
440,11526
441,10906
442,10830
443,10379
444,11041
445,11048
446,11454
447,11005
448,10813
449,10454
450,11311
451,10618
452,10914
453,10738
454,11458
455,10779
456,10971
457,10494
458,11120
459,10523
460,10937
461,10561
462,10677
463,11267
464,11034
465,10130
466,11013
467,10107
468,11346
469,10728
470,11034
471,11704
472,10213
473,11219
474,11769
475,11119
476,11241
477,10936
478,10893
479,11241
480,10536
481,11149
482,10970
483,10827
484,10863
485,11253
486,11016
487,11174
488,10610
489,10538
490,10908
491,11202
493,10863
494,10426
495,11179
496,11674
497,48405
499,47478
500,47228
501,53195
502,48605
503,48127
504,47216
505,54275
506,49444
507,12625
508,12554
509,10470
510,11191
511,11400
512,11264
513,11154
514,11046
515,10515
517,11907
518,11477
519,10728
520,11270
521,10440
522,10933
523,11560
524,12213
525,12362
526,12240
527,45629
528,47028
529,49787
530,48810
531,47116
532,51057
533,45824
534,57483
535,46861
536,50327
537,45331
538,51257
539,47660
540,48144
541,50687
542,50107
543,45401
544,18609
545,11513
546,10818
547,10963
548,10970
549,10650
550,10765
551,10712
552,10574
553,11322
554,10226
555,10573
556,10729
558,11681
559,11327
560,10951
561,11009
562,11079
563,11560
564,12086
565,10350
566,10518
567,10702
568,11291
569,10362
570,11282
571,11448
572,10459
573,10894
574,10963
575,10701
576,12530
578,11537
579,11359
580,10056
581,10885
582,11067
583,10629
584,11184
585,11356
586,10779
587,10896
588,10780
589,10856
590,11056
591,10772
592,10712
593,11284
594,11038
595,11838
596,11024
597,10912
598,11427
599,12093
600,11208
601,11156
602,11201
603,10937
604,53925
606,48220
607,17110
608,47911
609,47378
610,47874
611,12106
612,10780
613,10790
614,11175
615,11132
616,10165
617,10872
618,10441
619,11117
620,11599
621,11374
622,11056
623,10701
625,10674
626,11381
627,11054
628,11820
631,11031
632,10434
634,10718
635,10841
636,10347
637,11401
638,10947
639,10890
640,10981
641,45570
642,48129
643,49449
644,47702
645,61394
646,46123
647,47810
648,48290
649,48508
650,47332
651,48681
652,52612
653,49111
654,45403
655,48058
656,51057
657,47625
658,48282
