id,latency[ns]
-1,1611702720613338232
3,8965
-1,28414
8,13921
-1,78733
9,8578
-1,74842
11,10013
-1,80374
12,5418
-1,73503
14,17223
-1,66079
16,11766
-1,65327
17,19228
-1,224944
18,15377
-1,80047
19,13822
-1,34233
20,6542
-1,25939
22,18697
-1,38315
23,6438
-1,26263
24,12881
-1,35106
25,16433
-1,35545
26,13398
-1,35754
27,9407
-1,29231
28,15703
-1,35101
29,11227
-1,33862
30,13600
-1,35679
31,5675
-1,25060
32,6397
-1,26177
34,15908
-1,36408
35,15886
-1,35520
36,4569
-1,24759
37,11012
-1,33176
38,9461
-1,32406
40,19683
-1,40038
41,18161
-1,37951
43,12588
-1,31976
45,15270
-1,35447
46,10936
-1,30181
49,9322
-1,29240
50,9003
-1,37096
51,11392
-1,32075
53,7723
-1,27303
54,17155
-1,36603
55,15655
-1,89770
56,6823
-1,71136
57,13560
-1,33730
59,11652
-1,36409
61,4802
-1,24322
62,17620
-1,38118
63,17567
-1,38060
64,14091
-1,38083
66,13259
-1,36069
67,10926
-1,34237
68,4594
-1,24199
69,17565
-1,36843
70,18483
-1,37923
71,13765
-1,33422
72,10509
-1,33778
73,8054
-1,27971
74,12844
-1,32663
75,15446
-1,35721
76,19076
-1,38967
77,7290
-1,26679
78,17129
-1,37187
80,9024
-1,29064
81,9103
-1,28487
82,8163
-1,27889
83,13136
-1,32758
84,17272
-1,37499
86,4573
-1,24145
87,13098
-1,34802
88,18551
-1,37906
89,5119
-1,24659
91,10105
-1,34578
92,15680
-1,36217
93,8815
-1,30603
94,15676
-1,37355
96,11434
-1,34194
97,13413
-1,35152
99,11319
-1,34013
100,11662
-1,35418
101,18830
-1,40798
102,10466
-1,31221
103,6808
-1,26939
104,7270
-1,27101
105,17067
-1,36242
107,7572
-1,27346
108,6261
-1,26193
109,7413
-1,27261
110,15213
-1,37149
111,16565
-1,36887
112,9250
-1,33913
114,11602
-1,34507
115,18305
-1,39398
117,12650
-1,32239
118,19028
-1,38214
119,23724
-1,44826
120,5675
-1,25071
122,8907
-1,29637
124,15495
-1,35550
125,10938
-1,31171
126,11195
-1,30500
127,11483
-1,30604
128,8357
-1,28111
129,9018
-1,28310
130,11992
-1,33710
131,5770
-1,25036
132,13086
-1,35902
133,7637
-1,27643
134,17658
-1,37511
135,17757
-1,37483
136,13014
-1,79941
137,4891
-1,56960
138,15976
-1,35775
139,7900
-1,27827
140,16840
-1,36121
141,13115
-1,32325
142,5436
-1,25327
143,12688
-1,32176
144,9657
-1,29282
145,12591
-1,32252
146,9210
-1,28634
147,15084
-1,35059
148,7633
-1,27855
149,15569
-1,35337
150,12991
-1,32795
151,14985
-1,35441
153,11753
-1,31697
154,4148
-1,24139
156,10218
-1,29597
157,11202
-1,30435
158,14163
-1,33517
159,12482
-1,31620
160,17635
-1,37622
161,12538
-1,31911
162,14314
-1,34152
165,15366
-1,35284
166,7992
-1,28103
167,8420
-1,28836
169,18998
-1,39071
170,16425
-1,36568
172,7292
-1,28000
173,15228
