id,latency[ns]
4,52007
5,47536
8,47541
11,47565
12,47674
13,45696
14,45422
15,45387
16,17177
17,47986
19,47019
20,47641
21,47839
24,49568
26,47828
28,47629
29,47263
31,48598
32,47609
33,47695
34,45074
35,64896
37,49681
38,46715
39,48023
41,47660
42,49883
43,47216
44,47085
46,46034
47,47136
48,47418
49,49380
50,47788
51,47959
53,47053
54,51869
55,44967
57,47613
58,47744
59,47694
60,45242
61,47139
62,45335
63,48893
64,47154
65,47536
66,47895
67,48739
68,46812
69,47702
71,47653
74,48454
75,62316
77,12663
78,47470
79,39387
81,44934
83,46930
84,47628
85,50747
86,47550
88,47761
89,47041
90,11905
91,47297
92,51353
93,42493
94,48064
95,49467
97,48059
98,47261
99,49174
100,51478
101,47942
102,45554
104,47904
105,45436
106,12303
107,46793
109,45090
110,49131
111,45236
114,61175
115,47523
118,47208
121,47204
122,47533
123,47602
124,47305
125,47990
127,47106
129,47501
130,61517
131,48046
133,47591
134,11747
135,11629
136,11601
138,49023
139,47163
140,44981
141,45163
142,45701
144,47723
145,45217
146,47661
149,45354
150,46989
151,48265
152,49612
153,45396
154,45335
155,45530
156,47486
157,12079
158,11315
159,11428
160,12025
161,11363
162,10813
163,11422
165,11300
167,11800
168,10863
170,11286
174,11655
175,10940
176,10605
177,11081
178,10895
179,10793
180,11219
181,11112
182,10918
184,11165
185,11340
186,11419
187,11801
188,11551
189,11314
190,11425
192,11122
195,49417
196,44974
197,44749
198,44787
200,47368
201,47669
202,47127
203,47827
204,47769
205,47503
206,47756
207,46313
208,12329
210,21419
211,40203
212,45309
213,60126
214,59021
215,47387
216,47883
217,38755
218,48427
219,47827
220,47080
221,97160
223,11993
224,11397
225,11227
226,11092
227,11043
228,11277
229,12366
230,44979
231,44752
233,12496
234,44492
236,45624
237,44811
238,45283
239,47007
240,46711
241,45415
242,50082
243,49235
244,47282
245,44292
246,50342
247,45514
249,57783
250,46724
251,36721
252,45514
253,45228
255,45514
256,48238
257,44713
258,45538
259,46610
260,40774
261,45204
262,48177
263,45040
264,46558
266,45827
268,49339
269,47682
270,47778
272,48276
273,45537
274,48630
275,52512
276,45239
277,37060
278,48069
279,47372
280,45545
281,45532
283,41334
284,44634
285,44982
286,50036
287,47978
288,45275
289,12336
290,51989
292,45399
294,46000
295,45006
296,11036
298,11270
299,11479
300,10931
301,10906
302,11200
303,11207
304,11528
305,11387
306,10849
307,10908
308,11079
309,11788
310,11884
311,10939
312,11105
313,11396
315,11655
316,11076
318,11242
319,10667
320,11118
321,11485
322,45348
323,47376
324,48128
326,48306
327,47354
328,47118
329,49165
330,49942
331,50189
332,47706
333,47151
335,48001
337,47220
339,47746
340,44757
342,48990
343,46387
344,45623
345,49000
346,12767
347,45470
348,47155
349,47618
350,47135
351,46854
352,46831
353,38565
354,60830
355,48009
356,48726
357,47458
358,46865
359,45307
360,48427
362,45980
363,47768
364,47524
365,47559
366,47728
367,47031
368,47162
369,15829
372,16890
373,47752
374,47567
375,15985
377,11354
378,10858
379,10886
380,11538
381,11116
382,11179
383,11291
385,11263
386,10968
387,11222
388,10850
390,11307
391,11493
392,11347
393,11017
394,11139
395,10803
396,10789
397,11149
398,11406
399,11080
400,10779
401,11110
402,10675
403,10820
404,10707
405,10937
407,10979
408,12404
409,44954
411,45807
412,45629
413,45161
415,45583
416,45550
417,45486
418,47115
419,45081
420,47261
421,47100
422,45731
423,47033
424,47251
425,48667
426,47252
427,47290
428,47170
429,47761
430,47639
431,47489
432,47079
433,47977
434,48613
435,47150
436,67182
438,47731
439,45444
440,48549
441,47321
442,48045
443,38779
444,47346
445,47860
446,47452
447,47235
448,47763
449,47763
450,45389
451,48706
452,46825
453,48321
454,48117
455,48281
456,50446
458,47527
460,46960
461,48313
462,47584
463,47135
464,47354
465,47821
466,46798
467,47820
470,45665
471,49905
473,47612
474,48184
475,47602
476,45483
477,48210
478,45624
479,45859
480,45382
481,46125
482,44984
483,45515
484,45348
485,44910
487,44818
488,46131
489,51788
490,46084
491,45896
492,45287
493,47951
494,45485
495,45000
496,45165
497,48116
499,47156
500,49993
501,46774
502,44954
503,45311
504,46473
505,47434
506,44789
507,45957
508,44696
509,47315
510,45551
511,49464
512,47982
513,13967
514,45251
515,45881
517,48586
518,45473
519,45376
520,44985
521,48115
522,45502
523,45190
524,45619
525,38753
526,45643
527,48210
528,49433
531,11877
532,11242
533,11315
534,11196
535,22321
536,11523
537,11142
538,10922
539,11232
540,11403
541,11422
542,11428
543,45314
544,19612
545,45023
546,45832
547,20073
548,45099
549,11428
550,16548
551,10900
552,10606
553,11519
554,10836
555,10928
556,11095
557,11216
558,10907
559,11232
560,11485
561,11251
562,11524
563,11000
567,12011
568,47882
569,47386
570,47859
571,47137
572,47491
573,47656
574,45529
575,47658
576,46965
577,50684
578,48385
579,47213
581,47428
582,47408
583,47941
585,47300
586,47642
587,51237
588,47501
589,49853
593,47504
594,47841
595,47340
596,47424
599,46811
600,47595
601,47663
602,47665
603,47811
604,50280
605,47310
607,47459
608,47712
611,12028
613,11450
614,11053
615,11200
616,10992
617,11272
618,11521
619,10742
620,12054
621,11204
623,11418
625,51391
626,47648
627,47038
628,47393
629,47252
633,48169
