id,latency[ns]
-1,1611699682439138748
10,5671
-1,57520
11,10173
-1,63493
15,9468
-1,73308
17,10176
-1,73213
18,15567
-1,68131
19,14512
-1,56865
20,8553
-1,62027
21,14474
-1,77409
22,13301
-1,70217
23,6515
-1,46055
24,15077
-1,30702
25,11795
-1,28219
26,4267
-1,20631
27,9482
-1,25852
28,11676
-1,29846
29,14915
-1,30225
30,7999
-1,24773
31,6780
-1,23053
32,12208
-1,28617
33,14174
-1,33587
34,9876
-1,29105
35,7074
-1,23150
36,10688
-1,28500
37,8917
-1,26318
38,4555
-1,20720
39,14610
-1,30110
40,6228
-1,21741
41,9922
-1,30198
42,11664
-1,31401
43,8523
-1,24516
44,5732
-1,22198
45,5215
-1,21633
46,9077
-1,26424
47,3691
-1,19755
48,4363
-1,20661
49,10218
-1,29259
50,15141
-1,32539
51,10258
-1,27607
52,11791
-1,29955
53,14843
-1,31392
54,13182
-1,29554
55,14821
-1,30977
56,3701
-1,19704
57,8212
-1,24684
58,13199
-1,33357
59,7080
-1,22962
60,11015
-1,30051
61,13368
-1,29128
62,15273
-1,35328
63,10090
-1,28295
64,4797
-1,21557
65,5160
-1,20900
66,10198
-1,29825
67,9084
-1,25854
68,9409
-1,27638
69,7354
-1,23858
70,12449
-1,30404
71,14246
-1,30380
72,5864
-1,22071
73,14504
-1,30308
74,14005
-1,29669
75,4234
-1,20341
76,6226
-1,22593
77,8315
-1,25200
78,12283
-1,29915
79,13230
-1,30155
80,13657
-1,28852
81,6031
-1,22072
82,9703
-1,29379
83,14803
-1,32194
84,4972
-1,21196
85,6760
-1,23888
86,9480
-1,30156
87,7368
-1,24118
88,10588
-1,27228
89,7073
-1,23202
90,10209
-1,29915
91,5264
-1,21160
92,12442
-1,31121
93,11117
-1,29622
94,5174
-1,21518
95,4658
-1,20600
96,11996
-1,30019
97,7196
-1,23469
98,9977
-1,27921
99,15374
-1,31790
100,7668
-1,24072
101,14089
-1,31598
102,10451
-1,28295
103,11442
-1,31266
104,13468
-1,31239
105,11689
-1,29433
106,10067
-1,29328
107,9860
-1,27665
108,14308
-1,30942
109,6067
-1,22116
110,10006
-1,27648
111,3911
-1,19874
112,14263
-1,30763
113,12401
-1,30613
114,5900
-1,23920
115,9583
-1,26852
116,6301
-1,22313
117,9340
-1,26155
118,6285
-1,22390
119,13210
-1,29493
120,4849
-1,21092
121,6237
-1,22197
122,7063
-1,23769
123,15336
-1,31236
124,9564
-1,27714
125,12151
-1,29116
126,12835
-1,30943
127,5327
-1,21601
128,7929
-1,24215
129,13190
-1,29104
130,11880
-1,30864
131,4325
-1,20380
132,4315
-1,21113
133,6588
-1,23216
134,12801
-1,30870
135,12924
-1,30735
136,12159
-1,29642
137,12572
-1,29615
138,13303
-1,31738
139,10472
-1,30476
140,3973
-1,20538
141,12581
-1,31868
142,10192
-1,26642
143,10790
-1,29414
144,15789
-1,31586
145,15797
-1,31104
146,7166
-1,23601
147,12096
-1,28898
148,12350
-1,30104
149,13191
-1,30260
150,4678
-1,20918
151,9145
-1,26984
152,6183
-1,22508
153,13448
-1,31147
154,9257
-1,26389
155,9694
-1,28388
156,11739
-1,29664
157,16015
-1,31794
158,12198
-1,29423
159,7957
-1,24261
161,15317
-1,37505
162,9191
-1,27658
163,16148
-1,31810
164,3802
-1,19861
165,13547
-1,30293
166,9840
-1,28466
167,4152
-1,21303
168,14065
-1,30728
169,6311
-1,23019
170,9992
-1,27805
171,10098
-1,27981
172,7315
-1,23898
173,15016
-1,31615
174,7934
-1,24842
175,8564
-1,27284
176,5156
-1,21444
177,4730
-1,20751
178,11554
-1,31084
179,13381
-1,31707
180,13194
-1,29415
181,14351
-1,29806
182,14826
-1,31215
183,15410
-1,34031
184,9368
-1,33981
185,14020
-1,30416
186,11239
-1,35989
187,4227
-1,20022
188,12284
-1,29357
189,13297
-1,31952
190,6836
-1,22782
191,4784
-1,20692
192,9581
-1,27133
193,12156
-1,28910
194,15396
-1,30345
195,14573
-1,29937
196,6022
-1,22203
197,10489
-1,30082
198,5512
-1,21566
199,4553
-1,20261
200,6312
-1,23006
201,6063
-1,22162
202,14683
-1,30874
203,14563
-1,32528
204,4341
-1,20061
205,7094
-1,23194
206,4106
-1,19747
207,15084
-1,31775
208,12706
-1,30614
209,10514
-1,28163
210,14447
-1,30351
211,6934
-1,23456
212,15207
-1,31585
213,13197
-1,40488
214,11497
-1,29729
215,12660
-1,29799
216,5132
-1,21319
217,11472
-1,28671
218,10989
-1,30095
219,10218
-1,28732
220,13306
-1,29925
221,4654
-1,20845
222,8194
-1,24241
223,6054
-1,22639
224,8858
-1,25372
225,11384
-1,28446
226,13757
-1,30035
227,8618
-1,28449
228,7161
-1,23403
229,12063
-1,28103
230,11847
-1,30285
231,7321
-1,23813
232,9492
-1,28530
233,3968
-1,19739
234,7181
-1,23962
235,12385
-1,29617
236,14615
-1,31714
237,5663
-1,21527
238,14618
-1,30291
240,13883
-1,29390
241,8682
-1,27184
242,3630
-1,19778
243,8246
-1,28254
244,6640
-1,23652
245,8760
-1,26857
246,5320
-1,22137
247,7829
-1,28344
248,7695
-1,27340
249,11690
-1,29851
250,5823
-1,22804
251,7981
-1,25661
252,3956
-1,20511
253,10528
-1,26766
254,10910
-1,26758
255,4150
-1,20294
256,4306
-1,21087
257,6649
-1,22788
258,9307
-1,25818
259,6508
-1,23001
260,3617
-1,20119
261,5312
-1,21876
262,13732
-1,29854
263,5166
-1,21964
264,9015
-1,25650
265,5424
-1,22029
266,7451
-1,23872
267,3963
-1,20391
268,6716
-1,28738
269,6458
-1,22412
270,8114
-1,23948
271,4786
-1,20622
272,11969
-1,27913
273,5723
-1,22064
274,10626
-1,26046
275,9065
-1,25234
276,6116
-1,22654
277,4244
-1,20349
278,7120
-1,23830
279,6854
-1,23233
280,12045
-1,27477
281,11726
-1,27773
282,11454
-1,27071
283,12821
-1,28791
284,9346
-1,25621
285,8259
-1,24392
286,13758
-1,30407
287,7211
-1,24012
288,17425
-1,33799
289,10247
-1,26621
290,12162
-1,28120
291,5833
-1,22115
292,5644
-1,25219
293,4368
-1,20841
294,4764
-1,21668
295,14231
-1,30575
296,5797
-1,22975
297,11649
-1,27835
298,10573
-1,26675
299,7483
-1,23266
300,14019
-1,30142
301,4410
-1,20856
302,6213
-1,22538
303,14655
-1,30868
304,11456
-1,27613
305,13552
-1,29652
306,15341
-1,31751
307,15597
-1,32214
308,6257
-1,22063
309,3632
-1,20366
310,14157
-1,30347
311,9778
-1,25366
312,9755
-1,25654
313,9991
-1,26377
314,14204
-1,30376
315,9139
-1,25357
316,9751
-1,25925
317,4806
-1,21484
318,14199
-1,30042
319,6310
-1,22756
320,9440
-1,26087
321,7821
-1,26676
322,6113
-1,21613
323,3992
-1,20457
324,3860
-1,20307
325,4159
-1,20510
326,8686
-1,25109
327,6166
-1,22282
328,6075
-1,22063
329,4067
-1,20651
330,10911
-1,27889
331,3800
-1,20796
