id,latency[ns]
7,54894
13,36331
14,35873
15,46707
16,36333
18,35950
19,36726
20,36021
21,36612
22,36421
23,36555
24,9242
25,24380
26,8905
27,8754
30,9028
31,9581
33,36893
34,35894
35,35982
36,35601
37,36592
38,46732
39,35802
40,35762
41,44298
42,35264
43,44497
44,44795
45,44344
46,60032
47,45801
49,35867
50,39944
51,35879
53,54436
54,54182
55,53490
56,54838
57,54389
58,53386
60,54299
61,54264
62,54598
63,54271
64,58082
65,50967
66,54497
67,74752
68,37004
69,43814
70,44314
71,36239
72,36521
73,35648
74,36569
76,36635
77,35790
78,36354
79,39001
81,36366
82,35439
84,35313
85,34853
86,35316
88,36662
89,36126
90,35506
91,35325
92,35236
94,37020
95,35743
96,54479
97,49844
98,36247
99,36358
100,36481
102,36428
103,36733
105,36904
107,10889
108,45117
110,36413
111,36633
112,36041
113,36544
114,37037
115,9084
116,8807
117,8969
118,8971
119,8408
120,8512
121,8576
122,8723
123,8783
124,8676
125,8219
126,8731
127,8921
128,8641
129,8839
130,8363
131,8535
132,8579
133,8362
134,8979
136,8916
137,8440
138,8540
139,23719
140,8657
141,8574
142,8551
143,8609
144,8963
145,8812
146,8448
148,9151
149,8688
150,8831
151,8827
152,8698
153,8775
154,8306
155,8306
156,8670
157,8864
158,8776
159,9028
160,8483
161,8633
162,8663
164,8658
165,8229
166,8598
168,8118
170,8903
171,8637
172,8435
174,8610
175,8613
176,8705
177,8485
178,8822
179,8746
180,8602
181,9004
182,8774
183,8650
184,8927
185,8422
186,8607
188,8749
189,8524
190,8545
191,8672
193,9438
194,8462
195,8603
196,8675
197,8748
198,8405
199,8524
200,8505
201,9048
203,8693
204,8125
206,8840
207,8759
208,9078
209,8355
211,8757
213,8592
217,8513
218,8422
219,8770
220,8742
221,8711
223,8463
225,8508
226,8611
227,8808
228,8485
229,8838
231,8604
233,8591
236,9081
237,8776
238,8507
239,9021
240,8693
241,8727
242,8793
244,8635
245,8305
246,8563
248,8648
251,8932
252,8129
253,8708
256,8544
257,8554
259,8944
260,8352
261,8555
264,8853
267,8782
270,55275
272,55199
275,51730
276,55836
277,55345
281,55119
284,48659
286,42836
287,54922
288,9737
290,9184
291,8673
294,9068
297,8238
300,9449
301,9141
303,8515
304,8835
308,9057
311,9013
312,11581
314,8235
321,8873
324,9250
328,9009
331,8788
332,11037
333,8734
334,8345
335,8235
339,8624
340,40680
341,54744
344,35087
346,9482
349,9017
352,9277
354,8986
356,8869
358,8860
359,9040
367,8865
375,8914
389,55023
392,55159
393,54107
402,54961
403,54872
409,53543
412,55241
413,55758
414,55327
415,53661
420,55304
422,54433
424,71683
428,55075
439,54622
440,54918
454,55069
464,51255
468,55306
474,54985
475,53387
488,54282
500,36210
501,45980
502,35666
503,35906
505,35353
508,36580
510,36578
512,37640
517,36232
518,36540
519,36336
520,9250
524,8972
526,8950
528,8919
531,8937
536,8902
537,8574
539,8704
545,8534
546,8521
548,8464
555,8587
559,8228
570,9025
583,8631
592,8986
601,36524
607,36237
622,36254
624,36812
627,36560
629,36120
633,36110
637,37058
638,35583
641,37967
642,39585
647,36504
650,37046
656,37006
658,35711
659,36381
662,45775
668,35988
672,35570
673,35014
675,36324
686,36600
687,39132
688,36228
691,35366
694,37152
696,36780
697,37155
700,55634
702,35793
708,8917
713,8881
714,8876
715,21412
716,9026
717,8653
718,9029
719,8738
722,9122
723,9066
725,8955
728,8701
730,8542
732,8617
740,8674
741,24201
742,9091
745,9123
747,8444
749,8578
750,9834
751,36561
752,35439
753,39231
755,36810
758,37376
760,35488
761,35400
764,36096
765,37344
768,35855
770,36719
772,37681
773,37428
775,36270
777,35537
779,36451
782,35751
787,36592
789,36442
790,35164
792,35915
795,36769
798,37141
799,36319
801,36985
802,36078
803,35836
805,36534
806,45900
808,9424
811,9236
812,9214
815,8879
816,8772
817,8359
821,8786
825,8596
826,9002
827,8174
830,8718
832,8722
834,8469
835,8878
836,8578
839,9109
841,25091
842,9476
843,36303
844,35233
849,35645
850,36241
855,36420
857,36997
858,37800
860,36992
862,36965
863,38038
864,35324
865,36298
869,36435
871,55194
873,35995
876,36245
877,37419
878,35925
879,36794
880,36175
881,36596
882,36115
883,36937
884,36861
885,36853
886,37757
887,36816
888,36423
889,36077
890,37366
891,36128
893,40666
894,37166
896,36485
897,36923
899,35697
902,36145
904,36097
905,35992
907,36399
911,36097
914,9890
915,9221
916,9054
918,8795
919,26744
920,8828
921,26282
923,8734
924,38473
926,35979
928,37566
930,36157
932,36229
933,54497
934,56040
936,55301
937,54474
939,10428
940,35896
942,36967
943,35561
947,35417
948,36135
949,35444
952,36611
953,35627
955,38510
956,44605
958,44183
960,35710
961,36982
962,35805
963,34847
965,37610
967,35853
968,35792
969,35977
970,36217
971,9792
972,8739
974,8421
975,8585
976,8542
980,8805
983,8732
984,8417
985,9403
987,35967
989,36312
991,36461
992,35306
993,36471
994,36646
995,35284
999,36038
1000,36665
1001,36345
1002,36553
1004,35699
1005,36734
1007,36477
1008,35987
1009,44135
1010,35582
1011,35456
1012,43737
1013,36835
1014,47789
1017,36359
1018,35939
1019,35629
1020,36659
1021,36486
1022,35749
1023,35000
1024,15943
1025,35290
1026,35262
1027,36454
1028,44823
1029,35868
1031,37250
1034,35693
1035,35989
1036,36163
1037,35369
1038,36879
1039,36606
