id,latency[ns]
2,56870
3,49908
6,47629
7,49575
8,47546
11,39189
13,53375
14,49047
16,48843
17,47396
20,46996
21,47480
22,48016
23,49908
24,50163
26,50532
27,47521
28,46802
37,48964
39,47237
44,47629
46,49148
48,50354
51,47307
55,47134
56,46732
59,46741
63,47868
65,47169
66,48332
67,47718
68,47238
69,46930
70,47240
73,47026
75,46641
76,47161
77,47335
81,49496
84,46996
87,46537
88,46885
90,47181
99,47994
101,54168
102,47001
104,47598
108,46573
110,48707
111,49503
112,47119
116,47195
119,47047
120,48307
123,46978
124,46815
126,48834
133,46638
134,47709
136,46525
137,57039
139,50898
143,48078
151,48308
160,47155
167,49354
186,46823
191,47770
197,51077
199,46671
200,48570
202,46664
206,47224
208,49128
210,50003
219,49290
221,59599
222,48093
225,47184
233,52192
235,48093
244,47386
254,47070
269,47980
282,47132
289,48041
292,48772
297,46749
311,47554
312,48285
334,48777
344,47681
348,47274
352,46861
356,46839
367,47538
368,47183
380,47524
388,47099
389,46874
395,47127
409,48474
420,47395
432,46803
442,46838
443,47291
447,46841
454,46886
471,47166
475,47471
476,47383
487,46947
494,46356
498,52557
521,47978
526,47226
545,47836
560,56427
563,47979
570,47415
573,48824
576,50195
582,47647
583,46941
609,47282
613,12460
625,11580
630,11086
636,10506
637,10565
653,46719
657,47780
665,46949
667,47256
671,47552
682,47409
684,47054
686,47651
698,50059
699,47048
703,46917
705,12409
710,11860
711,10088
712,10907
713,10773
715,10478
727,10997
757,11425
759,22203
760,10630
763,10959
764,10593
765,10904
777,11126
779,11041
781,11174
785,10498
788,10386
801,10625
813,59597
814,47063
825,46814
835,49919
838,49478
842,47627
844,47310
850,48885
852,47404
855,48871
856,47241
859,47218
860,47452
861,49892
865,48770
866,46437
867,50122
868,47642
879,52840
885,47869
886,48851
887,48035
895,49313
901,51164
906,47164
908,46700
914,56155
916,49041
927,46934
928,48422
935,48416
936,22855
953,12319
954,10349
957,10267
960,10767
965,10737
978,11382
980,10607
984,10291
985,10144
986,10892
987,10374
988,10159
989,11180
991,10548
993,10507
1001,10790
1007,11081
1017,11616
1019,10698
1023,10875
1027,10588
1028,11031
1031,13776
1032,10781
1037,10859
1039,9929
1043,10931
1045,10484
1048,10500
1051,10352
1052,11075
1056,10879
1057,10628
1062,10814
1067,10794
1069,10423
1071,10624
1075,10473
1078,11005
1079,10306
1080,10768
1081,10461
1084,10442
1087,44716
1089,11835
1092,47549
1093,48497
1095,48484
1096,46684
1097,48718
1098,47893
1099,47795
1103,47211
1104,48508
1107,47735
1108,49756
1116,48820
1119,49023
1122,47400
1124,47348
1128,47455
1129,46772
1130,47243
1132,48401
1142,50968
1143,47739
1144,46687
1148,48298
1150,48801
1152,49121
1156,47364
1159,51329
1161,46870
1165,52094
1167,48055
1169,46602
1172,46803
1173,47140
1177,51406
1178,47380
1179,39036
1180,49697
1184,47518
1192,47763
1196,48973
1199,47437
1203,46836
1206,47222
1210,50053
1216,11854
1221,10280
1227,10699
1230,10897
1240,11238
1250,10757
1251,10465
1256,10855
1260,10856
1264,11048
1265,10979
1267,11233
1284,10892
1286,10748
1297,10383
1299,10371
1303,10729
1307,11303
1309,10724
