id,latency[ns]
-1,1611706455183866905
9,5856
-1,79626
12,11393
-1,79467
13,14443
-1,79139
14,12436
-1,81093
15,10223
-1,80376
16,5339
-1,80138
17,14665
-1,70280
18,15813
-1,74630
19,8803
-1,70581
20,14755
-1,34680
21,6853
-1,26574
22,4663
-1,24012
23,7674
-1,26858
24,5307
-1,24963
25,8077
-1,27199
26,4640
-1,24401
27,14450
-1,34399
28,13328
-1,34464
29,12135
-1,34070
31,7210
-1,26956
32,9004
-1,29479
33,13448
-1,35619
34,20547
-1,40265
35,13961
-1,35605
36,14204
-1,37487
37,5232
-1,26148
38,5954
-1,34564
39,13136
-1,33338
40,13390
-1,32881
41,12010
-1,31504
42,6686
-1,26752
43,15826
-1,35737
44,17860
-1,44623
45,11281
-1,31386
46,14854
-1,34598
47,22391
-1,51289
48,18631
-1,44183
49,4713
-1,25217
50,7705
-1,36603
51,15761
-1,35099
52,7356
-1,26500
53,19673
-1,44494
54,6481
-1,25717
55,28025
-1,47669
56,8822
-1,29200
57,19574
-1,38828
59,4815
-1,32143
60,6838
-1,27192
61,22700
-1,42372
62,4941
-1,25588
63,14767
-1,36005
64,15992
-1,36146
65,8796
-1,28808
66,16870
-1,36768
67,10736
-1,34009
69,19532
-1,44295
70,19285
-1,41307
71,14799
-1,36642
72,10069
-1,35946
73,8655
-1,27505
74,13557
-1,34909
75,11204
-1,34945
76,8690
-1,28135
77,12817
-1,34056
78,5894
-1,24752
79,15132
-1,37910
80,14748
-1,34717
82,12623
-1,32637
83,14567
-1,33873
85,13025
-1,32469
86,18456
-1,37740
87,4667
-1,24387
88,6645
-1,25875
89,12145
-1,31387
90,12143
-1,31225
91,11723
-1,30914
92,11432
-1,30625
93,7675
-1,27202
94,22113
-1,43313
95,12014
-1,38892
97,9538
-1,29617
98,8346
-1,28189
99,16566
-1,36779
100,12829
-1,32666
101,15365
-1,35544
102,16609
-1,36728
103,11899
-1,31634
104,9943
-1,29053
106,8304
-1,27513
107,5057
-1,24129
108,9950
-1,30090
109,4545
-1,24368
110,16553
-1,36183
111,5861
-1,25417
112,5007
-1,24373
113,7751
-1,27633
114,8302
-1,27992
115,13448
-1,36795
116,15279
-1,38045
117,18514
-1,39286
119,11444
-1,34403
120,8875
-1,38103
121,6183
-1,27321
122,8293
-1,27616
123,8053
-1,27472
124,9148
-1,28676
125,8796
-1,28276
126,17038
-1,36335
127,12886
-1,34528
128,15954
-1,34446
130,16238
-1,35895
131,18554
-1,51407
132,8025
-1,27542
133,4665
-1,24121
134,16875
-1,39100
135,25055
-1,44557
136,14923
-1,34524
137,8252
-1,27720
138,15782
-1,36161
139,11374
-1,31000
140,8637
-1,28283
141,11816
-1,31337
142,9299
-1,29020
143,10139
-1,29581
145,15352
-1,35589
146,13269
-1,32328
147,8316
-1,27391
148,6967
-1,26657
149,10110
-1,34053
151,15642
-1,36277
152,14753
-1,35424
153,13896
-1,35469
154,14043
-1,35714
156,15114
-1,36835
157,16511
-1,36598
158,4580
-1,24043
159,17342
-1,36807
160,5208
-1,25123
162,8241
-1,29034
163,12512
-1,34292
164,16034
-1,42640
165,16273
-1,40454
166,18200
-1,37910
167,11110
-1,34074
168,16169
-1,35727
169,6393
-1,25872
170,9696
-1,29286
171,5428
-1,24829
173,8587
-1,28537
174,7286
-1,26807
175,7400
-1,26960
176,9247
-1,28760
178,15656
-1,35703
179,17261
-1,36212
180,18565
-1,38088
182,14028
-1,34965
183,11888
-1,33494
184,8971
-1,28569
185,10586
-1,30408
186,9153
-1,29631
187,17518
-1,37524
188,16945
-1,37598
189,19572
-1,43924
190,8969
-1,28074
191,19040
-1,41103
192,15711
-1,35237
193,14563
-1,33627
194,11323
-1,30376
196,16992
-1,40675
197,11269
-1,31148
198,9180
-1,29131
199,16800
-1,36155
200,26170
-1,45489
202,7383
-1,27186
203,16027
-1,35770
204,12726
-1,31851
205,18478
-1,40349
206,8524
-1,28130
208,6771
-1,26385
210,14852
-1,36074
211,7927
-1,27401
212,7303
-1,26854
213,17258
-1,49438
214,11673
-1,33886
215,16533
-1,38734
216,9292
-1,28712
217,6843
-1,25641
218,15315
-1,38189
220,5408
-1,24903
221,13898
-1,37683
222,7310
-1,26850
223,9550
-1,29507
224,18361
-1,36907
225,14431
-1,38624
226,12821
-1,35013
227,9507
-1,28693
228,11466
-1,36678
229,16861
-1,42099
230,12897
-1,34585
232,5737
-1,25573
233,11752
-1,31391
234,8981
-1,30384
235,4733
-1,24666
236,14539
-1,34046
237,9495
-1,28676
239,15095
-1,34778
240,16927
-1,36930
241,14292
-1,33575
