id,latency[ns]
4,12282
12,60216
14,47292
15,49639
16,47322
19,48729
20,47257
21,49630
23,47800
24,46799
25,12857
26,47550
27,47123
28,12540
29,46991
30,59056
31,12621
32,47136
33,61138
35,46957
36,48827
37,48178
38,48114
39,47436
40,12066
41,47579
42,45743
43,38267
44,38265
45,47248
46,50209
47,12192
48,61562
49,47333
50,47303
51,12732
53,46781
54,47321
56,48417
57,47496
58,12639
59,38859
60,47478
61,46942
62,11759
65,12316
66,48114
67,48649
68,12189
69,12302
70,18667
71,46887
72,11868
73,12049
74,47421
75,47114
76,37694
77,47145
78,48912
79,11730
80,44743
81,48225
82,12167
83,47682
84,47858
85,45434
86,49660
87,45000
88,47248
89,47213
90,45082
91,48001
92,49080
93,11922
94,11804
95,11574
96,48110
97,47109
98,47648
99,50504
100,51798
101,12185
102,48050
104,12631
105,36282
106,49417
107,47212
108,47447
109,47472
112,47577
113,12484
115,47899
116,47073
117,47592
118,47531
119,51479
120,12396
121,47984
122,46885
123,12699
124,38600
125,47599
126,47187
127,12332
128,48044
129,45073
130,48991
131,49012
132,45987
133,49207
134,12415
135,46592
136,52219
137,48334
138,47933
139,47634
140,51000
141,47971
142,48589
144,35888
145,45172
146,47810
147,45066
148,12212
149,11025
150,10794
151,10989
153,10737
155,10907
156,10754
161,10814
164,11244
165,10792
166,11395
170,10852
178,11319
190,48178
206,12419
213,38295
219,47014
226,38334
235,49281
238,48071
241,46612
242,47354
247,47108
249,12435
258,12269
259,37825
266,47099
268,47422
270,38551
272,49746
273,47636
275,48437
281,45850
283,52267
284,12582
285,47932
286,50069
289,39039
290,45808
292,47643
293,47239
294,47163
295,48298
296,48098
297,12431
298,46325
300,47728
301,48894
302,51172
303,48742
304,53236
306,46902
307,47301
308,49337
309,48720
310,39016
312,46941
313,47000
315,47574
316,12839
318,11436
319,11283
321,11210
323,12099
324,11749
326,12378
327,48718
328,47066
329,12590
330,47661
332,48311
333,47350
334,48277
336,49518
338,11839
339,11005
340,11013
341,10968
342,10516
343,11027
344,10764
345,10974
346,10507
347,10377
348,10778
349,10485
350,10468
351,11100
352,10656
353,10647
355,10963
356,10628
359,10599
361,50084
362,38613
363,47333
364,47622
365,46973
366,37888
367,48141
368,47576
369,37892
370,47357
371,47255
375,37967
377,47886
378,47912
