id,latency[ns]
-1,1611704802943621596
6,12277
-1,80857
8,18912
-1,83268
10,15773
-1,78022
11,11536
-1,68980
12,11946
-1,76559
13,10423
-1,99877
14,4978
-1,72015
16,17270
-1,84764
17,4579
-1,63147
18,14455
-1,36283
19,9831
-1,34098
20,12703
-1,35767
21,12661
-1,34951
22,18370
-1,38408
23,7190
-1,26320
24,13846
-1,34545
25,8629
-1,28380
26,14545
-1,43976
27,5982
-1,25380
28,7527
-1,26860
29,7234
-1,26419
30,15371
-1,34927
31,12230
-1,34972
32,13339
-1,34912
33,4835
-1,24549
34,7108
-1,26026
35,14126
-1,34432
36,9863
-1,33835
37,16501
-1,34943
38,18199
-1,37755
39,11443
-1,33431
40,10117
-1,33465
41,13631
-1,35822
42,14910
-1,36857
43,10988
-1,33247
44,12201
-1,35381
45,8415
-1,27899
46,17899
-1,37891
48,10636
-1,33822
49,7113
-1,27295
50,5026
-1,24857
53,13433
-1,33315
54,11355
-1,31018
56,14684
-1,34906
58,12094
-1,31911
59,9640
-1,30139
60,4972
-1,25330
62,7562
-1,27499
65,8202
-1,27660
66,10253
-1,30022
67,18279
-1,38135
71,11241
-1,31221
74,13132
-1,32477
77,7020
-1,26295
79,6286
-1,25499
81,17449
-1,36734
83,7376
-1,26504
86,15987
-1,36095
87,12072
-1,31567
94,16555
-1,36903
99,12377
-1,31822
106,10796
-1,30841
112,16535
-1,36853
114,18089
-1,38069
118,11949
-1,32337
119,14271
-1,34017
120,7126
-1,27322
122,15674
-1,35925
123,11236
-1,30477
126,5097
-1,24727
128,16438
-1,36083
130,14999
-1,34984
137,11875
-1,31524
140,13284
-1,33662
143,13020
-1,33495
147,8001
-1,27828
148,5148
-1,24397
151,7437
-1,27191
152,13565
-1,33398
153,18943
-1,39141
154,9125
-1,28933
156,14960
-1,34321
157,9810
-1,29512
159,15771
-1,34946
166,10248
-1,32566
170,9963
-1,29255
171,7037
-1,26733
172,13247
-1,34818
175,12548
-1,32021
181,5340
-1,24754
187,18268
-1,38931
188,14246
-1,34867
189,10892
-1,37332
192,6332
-1,25905
198,7655
-1,27948
200,8738
-1,28242
201,10845
-1,32141
207,4861
-1,24436
217,6709
-1,25845
218,13787
