id,latency[ns]
10,122406
11,46180
16,48122
19,49602
21,46239
22,48060
23,47451
25,9745
26,9742
28,9971
31,10390
32,9744
34,9443
35,9742
38,10267
39,10039
42,9927
45,10052
47,9936
48,9891
49,10280
50,10253
53,10557
55,9872
56,9742
57,10067
58,9900
59,9891
60,10342
61,9954
62,9986
64,9740
66,10001
68,10103
70,9704
71,10017
72,10007
75,10392
77,10245
80,9790
83,9703
88,10286
94,9474
96,9226
100,10651
106,10187
108,47565
110,47739
118,47061
119,47625
126,46749
130,49795
133,45304
137,46231
138,45474
142,44761
147,47852
157,46693
158,45838
160,46471
161,44355
162,9464
166,9815
171,10575
172,9519
176,9839
180,9896
181,10370
183,46572
184,47241
186,46269
187,46226
188,43248
194,48112
200,48191
202,47642
204,47370
205,45907
208,46208
213,46699
216,45455
217,45374
222,46275
224,46101
226,46526
229,47904
230,47836
231,48511
232,45668
240,45424
241,45100
243,45786
246,46813
247,46680
248,50015
250,47083
252,47700
253,51562
255,45971
256,45405
257,43108
259,11021
261,50989
262,47897
264,46286
266,47297
267,58259
268,45596
269,45780
272,47554
275,10804
277,47331
283,47304
284,45833
286,46119
287,46241
289,10298
291,9812
292,46516
293,46584
294,43273
295,47183
296,45694
298,49346
299,46015
302,46465
303,45648
304,45751
305,43437
306,45601
309,52671
310,49170
311,31038
317,47483
318,45777
320,46139
321,46135
322,46315
323,36774
324,45239
326,43333
327,49983
328,56364
329,48749
330,45731
333,46462
334,48085
335,47439
337,46544
340,9783
342,10881
346,10082
347,9892
351,10233
354,48505
355,46193
356,47912
358,12220
359,47227
360,45848
361,10754
363,10298
364,9565
365,9481
366,10403
368,9801
370,10592
371,9412
372,9563
373,9574
374,9729
375,9422
376,9552
377,9775
378,9591
379,9194
380,9138
381,9897
382,9315
383,9427
384,9189
385,9737
386,9330
387,9613
388,9480
389,9517
390,9631
393,9783
394,9214
395,9311
396,9923
397,9461
398,9390
399,9519
402,10259
403,9712
404,9340
405,9459
406,9577
408,9409
409,10409
410,10309
411,10196
412,9684
413,9484
414,10409
416,9944
418,10291
421,9677
423,10161
425,10742
426,10494
431,46091
432,49028
433,47794
434,46039
435,45738
436,46088
438,46216
440,46278
441,45622
443,46820
445,54409
446,46380
447,49300
448,45930
455,46178
456,47647
457,47604
458,46041
459,12683
462,47842
463,47248
464,47090
465,46875
466,45830
467,49309
468,47583
469,45999
470,45758
471,46332
472,46386
473,60894
475,46977
477,45837
482,46987
483,47295
484,48592
486,45896
488,59983
491,21434
492,17985
493,9966
494,9496
495,9813
497,9538
498,9999
501,10674
504,9810
505,10103
507,9980
509,9484
510,10224
511,8873
512,10002
514,9321
516,9606
517,9232
518,9655
519,9489
522,9963
523,17315
524,10196
525,10100
526,9781
527,10028
528,56890
529,43659
530,49677
532,46367
533,45945
534,49092
535,48406
536,46481
537,49964
538,57944
539,46586
540,46300
541,46538
542,46938
543,48234
544,44800
545,46700
546,46354
547,47839
548,46377
553,47288
554,46645
556,46634
557,47055
560,46673
561,47143
562,46162
563,46460
564,10662
565,9702
566,9664
567,9721
568,9859
571,10202
572,10022
573,45142
574,10985
575,46577
578,48979
580,13126
581,47411
583,48394
584,48070
589,46629
591,10892
592,10103
594,47943
595,47895
596,48880
597,47509
598,46591
601,47609
605,46711
606,49336
607,47357
608,48614
609,48751
610,50101
611,47519
612,48095
614,47192
615,47155
616,48523
617,47709
618,46966
619,46789
620,48123
621,46883
622,48143
623,46587
624,48592
625,47250
627,46243
628,45465
629,37209
630,49169
631,45640
632,46619
634,45862
635,46005
636,47045
638,46779
639,46739
640,45889
642,48128
643,46298
644,47699
645,46758
646,10524
647,9429
648,9854
649,9493
650,10000
651,9658
652,9561
653,9229
654,9213
655,9442
659,9602
660,9466
662,9723
663,9175
664,9922
665,10010
668,9664
669,45994
670,46547
671,48395
672,46445
674,46860
675,47283
676,46727
677,46232
678,11333
679,46558
680,46488
681,46266
683,45857
684,31192
686,9435
687,9894
688,10140
689,9772
690,8901
691,9823
692,9921
693,9446
694,9624
695,10096
697,9494
698,9577
699,9860
701,9565
702,9489
704,9883
706,9508
707,10043
708,10456
711,9988
713,10173
714,9902
716,9596
720,10399
721,10760
722,10336
723,10460
724,9684
725,10507
727,9911
728,9387
729,9574
730,9515
731,9658
732,9580
733,9563
734,9530
735,9709
736,9754
737,9498
738,9168
739,10699
741,9955
742,10154
743,9687
744,9925
745,9981
746,9898
748,10078
749,9873
750,9635
751,9690
752,9160
753,9653
754,9397
755,9718
756,9174
757,9538
758,9328
759,9496
760,9656
761,9783
762,9541
763,9876
765,9942
766,9233
767,9962
768,9846
769,9956
770,9362
771,10058
772,9319
773,9693
775,9866
777,9953
778,9842
779,9428
780,9620
782,10101
783,9268
784,9710
785,10066
786,9791
787,9889
788,10109
789,9640
790,9965
791,9805
792,9813
793,9930
794,9624
795,9700
797,9937
799,9724
800,9324
801,9271
803,9629
805,10510
806,9220
807,9640
808,9142
810,10187
811,9866
812,9543
813,9713
814,15009
815,9522
818,9839
819,45758
820,46888
821,48238
822,11598
823,9688
824,9955
826,9010
827,10609
828,10097
829,9275
830,10194
831,10154
832,10127
833,9726
835,9726
836,9543
837,9492
840,10063
841,9892
842,9843
843,9774
844,9853
845,9543
846,9504
847,9608
848,10040
849,10206
850,10163
851,9689
852,9616
853,9605
854,9869
855,10018
856,10481
857,10046
859,10325
860,9896
863,9976
864,9795
866,9209
869,10067
870,10288
871,10476
872,10045
873,10107
874,10841
875,10281
877,10360
879,9749
880,9363
881,9821
882,10021
883,9728
884,9835
885,9278
886,9849
887,9534
888,9410
889,9555
891,9554
892,9733
893,9659
894,9807
895,9354
896,9553
898,9746
899,9520
901,9890
902,9563
903,9601
904,9650
905,9830
906,10149
907,10030
909,10294
910,9883
911,10169
912,9999
913,10210
915,10219
916,10031
918,10619
919,9788
920,9121
921,9801
922,9363
923,9409
924,17263
926,10155
927,9359
928,9537
929,9511
930,9823
931,9288
932,9693
933,9852
934,9661
935,9697
936,9987
937,9640
938,10149
939,10369
940,9572
941,9927
942,9392
944,9658
945,9320
946,8945
947,9654
948,9490
949,9675
950,9635
951,9878
952,9306
953,9805
954,9879
955,9711
956,9608
957,9595
958,9214
960,10190
961,10006
962,9621
963,10041
964,9721
965,9883
967,9312
968,10015
969,9470
970,9727
971,10064
972,9545
973,18100
975,10207
976,9384
977,9339
978,10209
979,9874
980,10513
981,9873
982,10316
983,10187
984,9419
985,9692
986,9519
987,10136
988,9527
989,9241
991,10053
992,9851
993,10571
994,10194
995,10018
997,10912
998,9215
999,9260
1000,10048
1001,10409
1002,9958
1003,9493
1004,9482
1006,9875
1008,10052
1009,10359
1010,10442
1011,10494
1012,10580
1013,10048
1014,10375
1015,10422
1017,10197
1018,10129
1019,10073
1020,10177
1021,9487
1023,10060
1024,10051
1025,9852
1026,9410
1027,9292
1028,9738
1029,9653
1030,9849
1031,10697
1034,9710
1035,10286
1036,10249
1037,10045
1038,10303
1039,10289
1040,18329
1042,10270
1043,10116
1044,9432
1046,10012
1047,9778
1048,9740
1049,9787
1050,10192
1051,9828
1052,9777
1053,10058
1054,10156
1055,9637
1057,9503
1058,9943
1059,10090
1060,10297
1061,10185
1062,9921
1063,10271
1064,45945
1067,46906
1069,47026
1071,46019
1072,47538
1075,49943
1077,47390
1078,46901
1079,47709
1080,47260
1082,47343
1083,47123
1084,46551
1085,54504
1086,47358
1088,47589
1090,47350
1091,47371
1093,47692
1094,47592
1095,47813
1096,45623
1097,47597
1098,47685
