id,latency[ns]
1,12603015
2,11603664
3,11627631
4,11271193
5,11858714
6,11960190
7,14145458
8,12254550
9,12275796
10,12249616
11,12287948
12,12258566
13,12210001
14,14299481
15,14363446
16,14342710
17,14300448
18,12245636
19,14243225
20,14381899
21,14343755
22,14851252
23,12310625
24,14356323
25,14360393
26,14399582
27,14824337
28,14318354
29,14393897
30,12267648
31,9952754
32,9921303
33,11614019
34,10232188
35,9851635
36,9877635
37,11635448
38,11629898
39,9884874
40,11549556
41,9975381
42,11577550
43,9888953
44,11571516
45,9965725
46,11600152
47,10505516
48,11813696
49,9857053
50,9934715
51,9891528
52,11650072
53,11516814
54,9848613
55,11703215
56,9915095
57,9953740
58,11604365
59,11542172
60,9845584
61,11651912
62,10032492
63,11667507
64,11495260
65,9914850
66,11587819
67,9873613
68,9839621
69,9903422
70,10029379
71,9919298
72,9885121
73,9846928
74,9958013
75,9833998
76,10027876
77,11662393
78,9948697
79,9901503
80,9925928
81,11595883
82,9966478
83,9972147
84,10000659
85,9966618
86,9903779
87,9845050
88,9934283
89,9988446
90,11523385
91,11529329
92,9941557
93,9808673
94,11656727
95,9953230
96,11578602
97,11574684
98,10022765
99,9861528
100,11626735
101,11630052
102,9866373
103,9890355
104,9909730
105,9849119
106,9924299
107,9868133
108,10040789
109,9896465
110,11561123
111,10485778
112,11568227
113,11636805
114,11601614
115,9907249
116,9944166
117,10023858
118,11574681
119,10068459
120,11641324
121,9883394
122,11636537
123,9879580
124,11613715
125,9855694
126,11552545
127,11641623
128,11720589
129,9937706
130,9999829
131,9873699
132,11640754
133,11613909
134,11618688
135,9907803
136,9915347
137,11637388
138,11599550
139,11643494
140,11549436
141,11608550
142,9983027
143,11482508
144,9977526
145,9892655
146,9888981
147,9890761
148,11538276
149,11609972
150,11547241
151,11584725
152,11644991
153,9981062
154,11695228
155,11550720
156,9924274
157,9955558
158,9946374
159,11523690
160,9847614
161,11561703
162,11588411
163,11667677
164,11595128
165,9924073
166,9864290
167,11500062
168,11675645
169,11603096
170,11703537
171,10194259
172,11607376
173,9877679
174,11570894
175,9942985
176,11598005
177,9853799
178,9894387
179,9821643
180,9922160
181,11497229
182,11701488
183,9907228
184,9900601
185,11657337
186,9962880
187,11517939
188,11612255
189,9874327
190,11615724
191,11650072
192,11543603
193,11535447
194,11719037
195,11589217
196,11529059
197,11610891
198,9863439
199,11651406
200,11714633
201,9879515
202,11550644
203,11619488
204,10035196
205,11599481
206,11693955
207,11533323
208,11568079
209,11527771
210,11512221
211,11673367
212,11603061
213,11615349
214,11677940
215,9993988
216,11545493
217,11557217
218,11576921
219,11583540
220,11602425
221,11640726
222,11636031
223,11687538
224,11442369
225,9932613
226,11528538
227,11544616
228,11730826
229,11450554
230,9957473
231,11642573
232,11546204
233,11703293
234,11580388
235,9893426
236,11637519
237,11514685
238,11550197
239,9862916
240,11515089
241,9887489
242,11592140
243,11511168
244,9872656
245,11691957
246,11627003
247,11531076
248,11623874
249,9865426
250,11573631
251,11613022
252,11544519
253,11637670
254,11571696
255,11524203
256,11740619
257,9908358
258,11540665
259,11668911
260,11537566
261,9882083
262,9938185
263,11630294
264,9994816
265,11509141
266,9890646
267,11612175
268,9952065
269,11627471
270,9924670
271,11626538
272,11703795
273,11619093
274,9990001
275,11717132
276,11554023
277,11698486
278,11521684
279,9961728
280,11506809
281,11450385
282,11536591
283,11635534
284,11553839
285,11543706
286,11580724
287,11478144
288,11573272
289,11686017
290,11559088
291,11481852
292,11682003
293,11679437
294,9838538
295,11628470
296,9929982
297,11534781
298,11588320
299,9944995
300,11726722
301,11520548
302,11568172
303,11758382
304,11596487
305,11550368
306,11710163
307,9958212
308,11584746
309,11466786
310,11604893
311,11529369
312,11687775
313,11566515
314,11669542
315,11570782
316,11512741
317,11723662
318,10017246
319,11493590
320,11635085
321,11493837
322,11605292
323,11604170
324,11623831
325,11798919
326,11606372
327,9974029
328,11619181
329,11508033
330,11757520
331,12249743
332,9891356
333,11450408
334,9964392
335,11611737
336,11522628
337,11474370
338,11573148
339,10021504
340,11543031
341,11745307
342,9824659
343,11608252
344,11612154
345,11518745
346,11647227
347,9959590
348,11411006
349,11580324
350,11606464
351,11574228
352,11538020
353,11477545
354,11642677
355,9900433
356,11703830
357,11531133
358,11514923
359,11579888
360,11461556
361,11585530
362,11454122
363,11436886
364,11656320
365,11517194
366,11597739
367,9982489
368,11669837
369,12837271
370,11530359
371,9933417
372,11489534
373,11591193
374,11512940
375,11510891
376,11487684
377,11617393
378,11479994
379,9951709
380,11501248
381,11742875
382,11491537
383,11586501
384,11531690
385,11588976
386,11545609
387,11714246
388,11565968
389,11530971
390,11604859
391,9978933
392,11533084
393,11644397
394,11537737
395,11446805
396,11447456
397,11738446
398,11590307
399,11623428
400,11674244
401,11638848
402,11517806
403,11681213
404,11452141
405,9881726
406,11489816
407,11561277
408,9965840
409,11662120
410,11527397
411,11689656
412,11592637
413,11626691
414,11488830
415,11514532
416,11729526
417,11669123
418,11454926
419,11557613
420,11529512
421,9935592
422,11527882
423,11546805
424,11461334
425,11509044
426,11556294
427,11625012
428,11607487
429,11538150
430,11478538
431,11539364
432,10027462
433,11516048
434,11662215
435,11488099
436,11541279
437,11683279
438,11509992
439,11527433
440,11640521
441,9841313
442,11532047
443,11551142
444,11619235
445,11740617
446,11749511
447,11520566
448,10035754
449,11453757
450,11550192
451,11538560
452,9881796
453,11558079
454,11528900
455,10084900
456,9920016
457,11421065
458,11558936
459,11734015
460,11551438
461,11548932
462,11470259
463,11572129
464,11595258
465,9901928
466,11504652
467,11592685
468,11565857
469,12071770
470,11672385
471,11677388
472,11465642
473,9985495
474,11605161
475,11574688
476,11702915
477,11606979
478,11439123
479,11549530
480,11618696
481,11611163
482,11466369
483,10031036
484,11628682
485,11522700
486,11605686
487,11723258
488,10150541
489,11568272
490,11566221
491,11668019
492,11949957
493,11510930
494,11584241
495,11523305
496,11552109
497,11577736
498,11642688
499,11540197
500,11633199
501,11556857
502,11656645
503,11502713
504,11587890
505,11473037
506,11568146
507,11576194
508,11493041
509,11568348
510,9988936
511,11661157
512,11608085
513,11458498
514,11583553
515,11606931
516,9957541
517,11624311
518,11528328
519,10041654
520,11623843
521,9913541
522,11542749
523,11523161
524,11517142
525,11549712
526,11648380
527,11515578
528,11489281
529,11492767
530,11694449
531,11655307
532,9928463
533,11515789
534,11602327
535,9893694
536,11554291
537,11482327
538,11560319
539,11665298
540,9886403
541,9930576
542,11616360
543,10136593
544,9897162
545,11538278
546,11664913
547,11581256
548,11567439
549,9914451
550,11556490
551,11648528
552,11658991
553,11534390
554,11572109
555,11629512
556,9836311
557,11533084
558,11587401
559,11515409
560,9928826
561,11540175
562,11718092
563,11658745
564,9950759
565,11463935
566,11457094
567,9895032
568,11638335
569,11607236
570,11591587
571,11629519
572,11514426
573,9863561
574,11632982
575,10080080
576,9970846
577,11550402
578,11464475
579,11481331
580,11659561
581,11442841
582,11602062
583,9978199
584,11586159
585,11842323
586,9831635
587,11682804
588,11581576
589,11487719
590,11648102
591,11480565
592,11581849
593,11575900
594,9893165
595,11526124
596,11625594
597,11569531
598,11611767
599,11484451
600,11640729
601,11586770
602,11499063
603,11500043
604,9873227
605,11511733
606,9936523
607,10003184
608,11522669
609,9944681
610,11622681
611,11711546
612,11569843
613,11567335
