id,latency[ns]
1,10452552
2,9874740
3,20757599
4,12223661
5,11126284
6,9699661
7,9725881
8,9886430
9,9850456
10,9699343
11,10913553
12,9733940
13,10031034
14,9925317
15,9775740
16,9901854
17,10019861
18,9782149
19,13581447
20,15300173
21,14878560
22,25761573
23,14356916
24,18570374
25,16702268
26,15576466
27,15595413
28,15463612
29,18099123
30,16653764
31,15606891
32,15656927
33,15356386
34,15616297
35,15292672
36,27584135
37,16747943
38,12228330
39,20480019
40,22779279
41,15728149
42,19719350
43,20860613
44,27771064
45,30361700
46,24845640
47,28889506
48,28525430
49,24383462
50,28387428
51,25435581
52,24328582
53,23986891
54,26122893
55,27847744
56,24457844
57,24679298
58,22322133
59,27655460
60,28997363
61,30488759
62,24431121
63,29220651
64,24487338
65,29397784
66,27407901
67,26656273
68,29999341
69,27080576
70,26971932
71,23950560
72,29300974
73,32747905
74,24197227
75,34880331
76,24157975
77,29586104
78,29585569
79,29592430
80,30349445
81,30654312
82,27308980
83,27890256
84,28822095
85,29564724
86,25565154
87,31809641
88,31462630
89,27135374
90,28433872
91,25541187
92,28936990
93,25868649
94,28268442
95,27334245
96,27819064
97,24341294
98,30603654
99,25022483
100,35945289
101,24054854
102,28342772
103,30668635
104,23150768
105,28672937
106,29570303
107,25301779
108,34259014
109,32890603
110,32045253
111,28718052
112,27687828
113,31512437
114,31269391
115,28201853
116,32786662
117,31292470
118,30191344
119,35608436
120,32073603
121,26031547
122,30412795
123,31430277
124,31093468
125,29768492
126,30874537
127,29689323
128,32036935
129,29042606
130,35531343
131,30525061
132,32880903
133,27678620
134,35837296
135,30508778
136,32218658
137,34514614
138,30842281
139,29479963
140,28827644
141,31762741
142,30061554
143,34329446
144,31726663
145,32640040
146,29055646
147,25614744
148,27779979
149,25419224
150,28492627
151,31401692
152,29034192
153,25567061
154,28344968
155,25554136
156,29058988
157,29270790
158,28798417
159,25317157
160,34057871
161,28528621
162,32677826
163,25527246
164,31944144
165,29333637
166,30058306
167,28365469
168,31956497
169,31471949
170,30376262
171,29647190
172,28024229
173,33454308
174,35496177
175,28410355
176,39505464
177,31994827
178,30715135
179,34051456
180,36229128
181,30845736
182,32347414
183,33046034
184,28275462
185,32134004
186,27231160
187,30124306
188,28208593
189,32680398
190,27853362
191,26709207
192,32747586
193,26856713
194,31171434
195,28151903
196,32909394
197,28507034
198,30390792
199,32586500
200,31522074
201,30784232
202,33476455
203,30506518
204,33480420
205,30443036
206,29585230
207,30377927
208,34132661
209,30375087
210,33766068
211,30212377
212,32835146
213,30147957
214,29351553
215,31883288
216,28848076
217,27361769
218,33141976
219,37860766
220,31245817
221,33394567
222,29667198
223,31263445
224,31318014
225,32719408
226,31066979
227,31359698
228,29082631
229,34298088
230,31133773
231,26736158
232,37333917
233,32574903
234,35363342
235,26894221
236,28015674
237,29660221
238,30124373
239,31383005
240,23326191
241,23496561
242,23434407
243,23657943
244,32723195
245,32538731
246,32577625
247,32651089
248,31517058
249,32795122
250,28604052
251,29443881
252,30562561
253,30744450
254,31280882
255,31208933
256,31537276
257,31124304
258,29015208
259,31496534
260,31163257
261,29923064
262,31187438
263,33774486
264,29346788
265,32292473
266,27976455
267,35342842
268,29634259
269,28943184
270,35482015
271,28844880
272,29405556
273,30692832
274,29763132
275,32119392
276,31765914
277,32581596
278,33077446
279,29530382
280,33275121
281,29863415
282,30715040
283,31229098
284,27711867
285,35458333
286,32288214
287,30132832
288,29248165
289,30115507
290,31936544
291,29940205
292,30213614
293,31817124
294,31110665
295,30216796
296,29442143
297,33186883
298,33688122
299,29744350
300,27855997
301,27574972
302,34067888
303,31550718
304,31055083
305,32027610
306,29208300
307,29956189
308,31408308
309,32689291
310,31539747
311,32004025
312,30622052
313,30006431
314,33908485
315,33111659
316,31791373
317,33273497
318,44474689
319,29960670
320,31607975
321,32287932
322,33177239
323,29815194
324,33236378
325,33696330
326,32979650
327,28840544
328,34667723
329,27471959
330,34174514
331,32581924
332,28678855
333,31203072
334,31999707
335,31019147
336,31799082
337,27408092
338,31151800
339,30918373
340,29083599
341,29997528
342,27451843
343,26063310
344,32468813
345,35171559
346,33317587
347,27030763
348,30847285
349,30403477
350,32646323
351,27817337
352,36059165
353,30986589
354,32826817
355,29332570
356,32821402
357,33519304
358,31284568
359,26703186
360,34213148
361,31385896
362,29542668
363,30949800
364,27819941
365,30839350
366,33158480
367,30544429
368,31510025
369,31626016
370,28848538
371,31821578
372,33048033
373,29582261
374,28918379
375,33446959
376,33801721
377,29918238
378,32383142
379,32097717
380,28002876
381,33796131
382,33426785
383,30254965
384,29412376
385,29662763
386,32227436
387,30743967
388,34947958
389,32806267
390,29104906
391,33042731
392,29334838
393,36205453
394,28806876
395,34457062
396,27527705
397,31468576
398,31470628
399,31122730
400,27397509
401,32706602
402,30368486
403,33786422
404,28941178
405,38098770
406,23391553
407,23588009
408,33410041
409,28313551
410,27185859
411,33771338
412,30769007
413,27459642
414,30212259
415,34730160
416,29660632
417,39423879
418,30812948
419,33729062
420,27236792
421,29520336
422,29861564
423,31908420
424,34683620
425,27468485
426,33498019
427,32216705
428,27014665
429,37586648
430,29373867
431,30606017
432,31294942
433,35447333
434,33151004
435,38026928
436,33762190
437,27281166
438,33259212
439,30291726
440,23343024
441,22608679
442,23448846
443,21602804
444,24314403
445,30216969
446,23535472
447,30272223
448,28918683
449,31239704
450,29335830
451,33834208
452,33757562
453,31667905
454,33692439
455,29434468
456,28543942
457,23506913
458,23546342
459,23463492
460,30248717
461,32011079
462,30217629
463,31688450
464,29526509
465,27458551
466,32823113
467,32008437
468,29975436
469,38728839
470,34163712
471,31558645
472,31490017
473,31655370
474,32503111
475,26922341
476,34894430
477,32521539
478,31846820
479,32123020
480,32969701
481,29499741
482,33328730
483,33633022
484,33137891
485,33594750
486,33333919
487,29143890
488,34151273
489,30480419
490,31635755
491,35202035
492,31613776
493,28510409
494,31544145
495,30236178
496,28269645
497,29091123
498,26796846
499,33985239
500,27115275
501,29647175
502,31479289
503,32500755
504,30462158
505,25311410
506,30250268
507,27543689
508,31743453
509,25969361
510,29724597
511,26403280
512,23417339
513,34540207
514,31374636
515,32899334
516,32923950
517,31602398
518,29849136
519,24703363
520,32432972
521,33886228
522,31250847
523,30579522
524,27485981
525,34372441
526,33454279
527,29789020
528,34981640
529,35569957
530,29942442
531,33111995
532,32881658
533,36624085
534,31021458
535,33531269
536,33298135
537,35355949
538,31012808
539,29599991
540,31184958
541,32097370
542,32234281
543,30886535
544,35312763
545,27342578
546,37314840
547,30372703
548,30366466
549,33746327
550,33671780
551,30495089
552,33388843
553,35809813
554,32524656
555,29105065
556,31842911
557,28771178
558,31196397
559,23245369
560,23265597
561,31941329
562,33250005
563,29612326
564,32921986
565,33264841
566,32929165
567,28673396
568,36410298
569,29787299
570,35026304
571,28490752
572,30762894
573,31833733
574,29245352
575,33159300
576,35281594
577,29232496
578,28204710
579,27907895
580,33351999
581,38035861
582,28390229
583,29542186
584,33421428
585,32861821
586,29752180
587,34308066
588,36071633
589,32302797
590,28750335
591,30170144
592,32927756
593,32309566
594,26769712
595,27152914
596,28747832
597,27276091
598,31995340
599,30615355
600,27986362
601,29333056
602,28870418
603,33268487
604,29784593
605,23261236
606,32852879
607,26950488
608,33375085
609,33032271
610,33181458
611,31679689
612,32961728
613,29598701
614,33021587
615,28477371
616,36801550
617,34378334
618,35100843
619,28011731
620,33311226
621,29987285
622,35220969
623,29474314
624,32566989
625,34562219
626,29125547
627,28726532
628,30373323
629,29933676
630,31048411
631,31645098
632,27316335
633,27916079
634,31078778
635,35129441
636,27988927
637,33696531
638,28695738
639,37979018
640,30085155
641,31977407
642,29035528
643,37987940
644,28022514
645,34215602
646,28500103
647,35331384
648,27097847
649,36779613
650,28194601
651,33499581
652,28000727
653,23295351
654,23326023
655,23532235
656,33754883
657,29256912
658,31994093
659,29584194
660,32590301
661,27286830
662,29333132
663,33441833
664,32680323
665,29123617
666,34736007
667,35496780
668,29202562
669,33399577
670,30913189
671,27038098
672,32102786
673,31455035
674,28784065
675,28380991
676,30572093
677,31118519
678,31919918
679,28614221
680,31326202
681,30149927
682,33479654
683,31117868
684,33508520
685,33799537
686,33216168
687,29928596
688,30370079
689,30392923
690,31797801
