id,latency[ns]
1,13054291
2,9917319
3,9848093
4,9754101
5,10020749
6,9922704
7,11653250
8,11728987
9,11545500
10,11490859
11,11540732
12,11462055
13,11439359
14,11475952
15,11507550
16,11478450
17,11495406
18,11419707
19,11478453
20,11483077
21,11378320
22,11485608
23,11971950
24,11462066
25,11453775
26,11491576
27,11540119
28,11525754
29,11543365
30,11470557
31,11600839
32,11482873
33,11477946
34,11507921
35,11469684
36,11573165
37,11530358
38,11739149
39,11750391
40,11561953
41,11369255
42,11605989
43,11557046
44,10066975
45,11658568
46,11519693
47,11495200
48,11427456
49,11635166
50,11501319
51,11397504
52,11505430
53,11721468
54,11579220
55,11696553
56,11484404
57,11592037
58,11648975
59,11487408
60,11697323
61,11504261
62,11649108
63,11682755
64,11551032
65,11477216
66,11723719
67,11813661
68,11662246
69,11584534
70,11521099
71,11531030
72,11741353
73,11471981
74,11763211
75,11658234
76,11790961
77,9795727
78,11602544
79,11626481
80,11572433
81,11762777
82,11585858
83,11463519
84,11581995
85,11456454
86,11481540
87,11602930
88,10141709
89,11719041
90,11533697
91,11451410
92,11471884
93,11627598
94,11758625
95,11557928
96,11461299
97,11577965
98,11579008
99,11588743
100,11676748
101,9901779
102,11580022
103,11605315
104,11725426
105,11503527
106,11546906
107,11476553
108,11469048
109,11627542
110,11654279
111,11485953
112,11695848
113,11643909
114,11606450
115,11664674
116,11631273
117,11729061
118,11443696
119,11620898
120,12951915
121,9849960
122,11885027
123,11412094
124,11486771
125,11480249
126,11670433
127,11731280
128,11531402
129,11574136
130,11748306
131,11775945
132,11620187
133,11471935
134,11485357
135,11584862
136,11658437
137,11570463
138,11530427
139,11573615
140,11458754
141,11598351
142,11533787
143,11520823
144,11569623
145,11481937
146,11521936
147,11615821
148,11697574
149,11616490
150,11446602
151,11467618
152,11462076
153,11620861
154,11567614
155,11654342
156,11693135
157,11520294
158,9953494
159,11647324
160,11504320
161,11460721
162,11488974
163,11604112
164,11674277
165,11516583
166,9887827
167,11489095
168,11622656
169,11570988
170,11546091
171,11738010
172,11629612
173,11598890
174,11747168
175,11533328
176,11399964
177,11755363
178,11535234
179,9933161
180,11523773
181,11541269
182,11576530
183,11413894
184,11510355
185,11520307
186,11489525
187,11687349
