id,latency[ns]
1,16261755
2,14050760
3,62357465
4,35048998
5,21946484
6,20390308
7,25828393
8,23333388
9,21116584
10,16199963
11,22497084
12,23720729
13,21754784
14,21174045
15,23206421
16,25002224
17,26966769
18,19407661
19,16814030
20,23262012
21,24397603
22,20455445
23,23486404
24,23719535
25,25685460
26,15930651
27,19947683
28,14811982
29,20853007
30,17773670
31,19509485
32,16748421
33,22586992
34,22526755
35,22898079
36,21851797
37,23544332
38,25225393
39,26722737
40,12743548
41,12724803
42,12782095
43,15141957
44,15091258
45,19047609
46,22792386
47,17452951
48,18609537
49,19046393
50,14838930
51,14271345
52,24970802
53,24405614
54,23171212
55,19919275
56,16864995
57,19065128
58,14812083
59,19153940
60,26854780
61,21111524
62,23832065
63,27078037
64,19267668
65,23515180
66,17510639
67,23459667
68,21932859
69,19870985
70,19522631
71,17500681
72,20554731
73,19912593
74,22819366
75,25996588
76,25898744
77,21454429
78,23170334
79,25639546
80,23170563
81,26457384
82,17547968
83,18909234
84,20845254
85,19896311
86,19261078
87,17290872
88,20513408
89,24043008
90,25206524
91,19619458
92,20347301
93,19897864
94,20720866
95,21003009
96,24483196
97,25495383
98,23392108
99,22290678
100,22037223
101,17224952
102,20194217
103,22009641
104,19354033
105,18896360
106,22445796
107,25891725
108,23763337
109,20009855
110,21313026
111,17505416
112,18767300
113,20796024
114,23644211
115,15650213
116,19526830
117,20399705
118,17527201
119,18303002
120,18206075
121,25766469
122,16995408
123,26496577
124,20892474
125,20038847
126,17772214
127,19994904
128,17466122
129,22884339
130,20608199
131,22991948
132,27180182
133,23933163
134,20684841
135,15957026
136,19435867
137,20962694
138,23974212
139,23353780
140,26723950
141,19502636
142,27230341
143,23805938
144,25916273
145,21476227
146,17258429
147,18095005
148,22479026
149,23600103
150,23605850
151,21644857
152,20900751
153,19573944
154,25619381
155,24870928
156,20070584
157,20043618
158,22427485
159,23544808
160,22042322
161,27212351
162,21236496
163,23459192
164,22670529
165,20363861
166,17146667
167,23572282
168,23721170
169,24555871
170,26466138
171,25352183
172,24181623
173,16426569
174,20758782
175,22145064
176,19225908
177,23612641
178,19958757
179,19799017
180,17466239
181,17837286
182,16316091
183,17379373
184,18905893
185,21632754
186,35302548
187,22155487
188,24798009
189,26782647
190,26853633
191,26646495
192,25341796
193,27782076
194,24770186
195,28270998
196,21746523
197,25567480
198,18529215
199,22109195
200,24338529
201,17732114
202,18118510
203,24312906
204,26316310
205,17964590
206,23202514
207,21405186
208,23533186
209,20183775
210,20015254
211,20103077
212,17413904
