id,latency[ns]
1,43441714
2,47067463
3,16930588
4,18142726
5,18145663
6,19985726
7,13276723
8,13249946
9,18917040
10,22661765
11,19108304
12,18965025
13,12277967
14,15622989
15,19229865
16,15342953
17,17237912
18,18125780
19,17551222
20,21638695
21,21275112
22,18163039
23,17464404
24,18824610
25,21456887
26,17438298
27,15179448
28,16786017
29,18504979
30,17851384
31,18321813
32,20408685
33,22194935
34,15807900
35,22305955
36,20462365
37,22534305
38,24667777
39,20844395
40,14980459
41,16585719
42,18713487
43,14611979
44,18943636
45,17960600
46,21603041
47,21450876
48,17077737
49,14625348
50,16189118
51,11896900
52,13950623
53,19264230
54,18602057
55,18500617
56,18246770
57,16260825
58,12946126
59,13749481
60,14060491
61,15368591
62,15348024
63,15307245
64,18972946
65,19541086
66,18661558
67,17153666
68,18512770
69,15643990
70,13013183
71,14835415
72,17469131
73,15407302
74,15220933
75,13993081
76,13840425
77,11770479
78,17697690
79,17335191
80,13568648
81,18431390
82,18632839
83,18402025
84,15728215
85,15857245
86,14926009
87,19726604
88,17667436
89,20667311
90,19724890
91,16977107
92,21974495
93,18821876
94,22162158
95,13782022
96,16493999
97,18797832
98,20513115
99,23306630
100,23341565
101,12027819
102,17178442
103,13818797
104,16150451
105,12466724
106,14757265
107,20224552
108,16973287
109,15463136
110,17061463
111,18525139
112,14937744
113,17276665
114,18522499
115,18411066
116,16487168
117,19855405
118,19818806
119,13353462
120,17183296
121,17283264
122,15177277
123,12512487
124,15532781
125,13827302
126,13801670
127,11782653
128,15154095
129,11752953
130,17265586
131,11997503
132,15086223
133,13036216
134,17228683
135,18961660
136,18364371
137,17890447
138,20533661
139,22224154
140,22169045
141,28974120
142,18192022
143,19879406
144,13909467
145,14079284
146,22501229
147,18154691
148,23812380
149,16391664
150,13523383
151,13833375
152,14204722
153,11714419
154,11893943
155,15714967
156,14028114
157,12708620
158,14851325
159,23499855
160,21290511
161,20420043
162,18612931
163,18724498
164,18666267
165,16572625
166,18167289
167,20587587
168,20484849
169,19210931
170,18596225
171,19970491
172,22131386
173,18553584
174,16537612
175,29208841
176,22550660
177,18413823
178,22415168
179,22281633
180,15777467
181,20419057
182,17381941
183,14979240
184,17104576
185,20581818
186,18573211
187,16397929
188,17644689
189,15510284
190,12364231
191,11868278
192,12963969
193,13676333
194,17911300
195,20513771
196,14181597
197,13928896
198,14055870
199,20866519
200,16511987
201,15567908
202,15103909
203,23991581
204,26404349
205,21521071
206,18838342
207,17385307
208,23526576
209,21756714
210,13869715
211,17373006
212,16985977
213,32165275
214,18128270
215,16842885
216,16829383
217,15439314
218,11816244
219,13945134
220,18527491
221,16440978
222,17152655
223,14839807
224,14103688
225,15192812
226,13111182
227,12069013
228,14147067
229,14865843
230,16445483
231,18555079
232,16013181
233,17818780
234,19404951
235,16946568
236,16482811
237,18467408
238,16381843
239,18338672
240,16907281
241,19775096
242,19985164
243,19796287
244,18654892
245,17224382
246,17346133
247,18635319
248,18932624
249,20357145
250,18132870
251,19581866
252,17209227
253,17176677
254,18786586
255,13756698
256,13770612
257,13636373
258,15341929
259,15383563
260,13842561
261,18531305
262,18553805
263,19746552
264,18727029
265,12377874
266,15325816
267,16576305
268,13458646
269,16278248
270,17100728
271,15124922
272,16503548
273,18666744
274,19393459
275,18251775
276,17233098
277,19039434
278,18963226
279,17842517
280,17889969
281,20001625
282,20606262
283,20327391
284,20327861
285,20375046
286,20305323
287,20266682
288,22396021
289,18749420
290,18003973
291,13862129
292,18691524
293,16673516
294,17912407
295,16584134
296,18634631
297,16644277
298,17167265
299,13984932
300,11891645
301,15873238
302,13781515
303,17770639
304,17232986
305,18510088
306,16495269
307,18992759
308,18820528
309,13441217
310,15607571
311,17261103
312,16963572
313,17563944
314,14028764
315,11898191
316,11865665
317,11873383
318,13767081
319,17413820
320,15338026
321,15629294
322,19318240
323,15323094
324,15055282
325,18652907
326,16587646
327,16418781
328,16382838
329,15528092
330,15147919
331,17907496
332,19672147
333,22444208
334,20280537
335,22338790
336,20289033
337,20301042
338,20278282
339,20299280
340,22428641
341,20265853
342,20602279
343,20248164
344,22283494
345,20307833
346,20280784
347,22409833
348,22317871
349,18477238
350,20284390
351,22426124
352,20269079
353,17620704
354,19110833
355,13454499
356,15444870
357,15503397
358,15181236
359,15070114
360,17312586
361,17429585
362,13447236
363,16645226
364,15337343
365,20396501
366,20458644
367,22550620
368,20401852
369,22552043
370,20447444
371,22559551
372,22459046
373,18508343
374,20466895
375,20201034
376,18525114
377,20436941
378,20649286
379,20256666
380,20358843
381,22342276
382,22395508
383,20277423
384,20269285
385,20261087
386,22387453
387,22436430
388,20332705
389,22356405
390,22457250
391,20291277
392,22304877
393,16719561
394,17332545
395,16284777
396,16929898
397,22434959
398,22544827
399,20456285
400,20377915
401,22519138
402,22537019
403,20546648
404,22457505
405,22451981
406,20391837
407,20417197
408,20386279
409,20426146
410,20441053
411,22500207
412,22635312
413,20446728
414,20434803
415,20394928
416,22509833
417,20542088
418,22569701
419,20664463
420,20636275
421,20537699
422,22469719
423,20447518
424,20408323
425,20458975
426,22533976
427,20446413
428,22554298
429,22437465
430,20484530
431,20541607
432,20388161
433,20435054
434,20432961
435,20748766
436,22504141
437,18489976
438,20675852
439,13883277
440,13929943
441,15912832
442,13890574
443,13876250
444,18127346
445,17837240
446,20412049
447,20412169
448,22553544
449,20495330
450,20401218
451,20372634
452,20419527
453,20462784
454,20569654
455,22470260
456,20618376
457,18473318
458,20645548
459,18562010
460,22275238
461,13793407
462,13793666
463,15915992
464,13767548
465,17519914
466,17705487
467,20623203
468,20274932
469,20308184
470,22309388
471,18538949
472,18502157
473,18501284
474,20597925
475,20289308
476,20263040
477,22326160
478,20300796
479,22323758
480,22319930
481,20297827
482,20289087
483,22452834
484,15120728
485,14002994
486,16140358
487,15748635
488,17836751
489,15788671
490,15732388
491,13676188
492,15641931
493,13842402
494,15980390
495,17763238
496,17753809
497,13881555
498,15916488
499,13890201
500,15971714
501,13897834
502,13884167
503,16007058
504,13901741
505,15928320
506,13876269
507,13912402
508,17817778
509,17928210
510,17754946
511,12099836
512,18919772
513,15729177
514,15166856
515,19632285
516,17828620
517,16201318
518,18961715
519,19299857
520,18580792
521,16532050
522,18585919
523,14264774
524,18869131
525,19162058
526,12040533
527,18186682
528,16904311
529,18831094
530,18970075
531,16840308
532,16856161
533,16909577
534,18867249
535,16904053
536,16832014
537,16911613
538,18769090
539,18750563
540,16844772
541,14285718
542,12275818
543,11976969
544,19806489
545,16566885
546,17179354
547,17055500
548,18071967
549,18512675
550,16482284
551,16496732
552,18635349
553,16648262
554,22293925
555,22415116
556,20327529
557,20294189
558,22298113
559,13868465
560,15999170
561,22562174
562,22594616
563,22520156
564,22668002
565,22674447
566,22606824
567,22452077
568,22484253
569,20452335
570,20533715
571,20423528
572,22522041
573,22581856
574,22551831
575,20551489
576,20504018
577,20430050
578,22487533
579,22466488
580,20547617
581,22448356
582,20486613
583,23123226
584,19743846
585,20519820
586,15157630
587,17040780
588,22590626
589,17161551
590,12178592
591,15137148
592,14424232
593,13538780
594,16633255
595,18766082
596,18614472
597,22592899
598,20478474
599,22555395
600,22570708
601,22552241
602,22551468
603,20521118
604,20273237
605,17213871
606,16217370
607,18136242
608,19335368
609,17492132
610,18881388
611,17090508
612,20392155
613,14389706
614,15649080
615,14953165
616,15946093
617,13831973
618,13837852
619,13854532
620,13878957
621,15596619
622,13822480
623,13828129
624,15811718
625,17695153
626,17696662
627,15620731
628,13815380
629,17413180
630,18511740
631,20362176
632,20294738
633,20224073
634,22373937
635,20350801
636,20308466
637,22422078
638,20325397
639,22472581
640,20855272
641,18681988
642,20439460
643,22452886
644,18534711
645,19599494
646,17295240
647,15732162
648,15358400
649,17554409
650,17961615
651,15692915
652,17433305
653,17250607
654,18810231
655,16410060
656,18545367
657,16514110
658,16479066
659,16527806
660,16375918
661,18871882
662,18629879
663,15689579
664,19550878
665,17383864
666,16609450
667,15648748
668,15347212
669,17400712
670,17785935
671,16358567
672,16827803
673,16503393
674,16323459
675,16997467
676,16502689
677,18514875
678,20050361
679,16520675
680,18305755
681,20210832
682,18721162
683,20663274
684,22533354
685,18522333
686,22604659
687,20340631
688,20306292
689,22413818
690,20310711
691,20343853
692,20283793
693,22835875
694,15129432
695,12317639
696,16136394
697,15187996
698,17184991
699,13963097
700,11923447
701,11974626
702,15679017
703,13470441
704,19092323
705,19265479
706,18903695
707,17952312
708,20050907
709,13873206
710,14009889
711,15734087
712,15997859
713,17476926
714,15061392
715,17696335
716,11945863
717,11923641
718,11942104
719,11967801
720,14044628
721,11925554
722,19672736
723,16834937
724,18255990
725,14061017
726,18718249
727,18736763
728,16614058
729,16375928
730,18158482
731,17678810
732,12926615
733,12210222
734,16912142
735,18770548
736,18731423
737,20466387
738,19011373
739,19071295
740,19055842
741,18932765
742,18707147
743,17542574
744,15818463
745,16848381
746,17738994
747,19903974
748,16927112
749,15302655
750,17853543
751,17153889
752,22953271
753,18421570
754,12080502
755,14087808
756,16863026
757,19011780
758,19057993
759,17412463
760,18574639
761,20739061
762,20737610
763,18536263
764,17596103
765,15071147
766,18674917
767,16664490
768,16044187
769,15081407
770,15859382
771,15705898
772,17258619
773,17500891
774,17157715
775,16507033
776,18762911
777,18897959
778,16659046
779,16240779
780,17509314
781,18047918
782,17116447
783,19107364
784,20614532
785,22516193
786,22619805
787,22600611
788,18025135
789,20283322
790,20636914
791,16056948
792,16873053
793,18793197
794,18459483
795,16855608
796,16671137
797,18987119
798,16635533
799,14073143
800,15812020
801,17140145
802,20008585
803,18738588
804,16812280
805,17341073
806,15324198
807,15330326
808,15320300
809,17335183
810,17427009
811,13943010
812,15060179
813,17787558
814,18071295
815,16790741
816,17362064
817,21543683
818,18630551
819,16610589
820,16241116
821,15053960
822,18617771
823,18470394
824,17609909
825,11947999
826,19922631
827,14130280
828,14509600
829,20374943
830,16609891
831,16271396
832,16444624
833,17309621
834,15377990
835,20318743
836,22388314
837,22365139
838,20201656
839,20331660
840,20303329
841,20323485
842,22297895
843,22423856
844,20349173
845,20288704
846,20311944
847,22356645
848,20323566
849,22461993
850,22670025
851,20348168
852,20323444
853,22441528
854,15919280
855,17849599
856,17925281
857,13870851
858,15693047
859,13856096
860,18112357
861,15802977
862,15942021
863,13897336
864,13919101
865,15788920
866,15896164
867,15712761
868,16027490
869,15697562
870,19175709
871,20604181
872,15521203
873,17654583
874,20372786
875,16584804
876,15483034
877,15470609
878,19391262
879,20998906
880,19101348
881,21724923
882,19249325
883,17093705
884,18738876
885,19838234
886,14228566
887,16886000
888,15413956
889,19114575
890,22489027
891,18636306
892,20659672
893,18642530
894,18702377
895,20718741
896,18608666
897,18564268
898,18585678
899,20803252
900,21220804
901,20496457
902,20488021
903,20496898
904,20438626
905,20455795
906,20462255
907,22538127
908,18701875
909,18274946
910,16327314
911,15342742
912,17511246
913,22323781
914,18287392
915,17140926
916,16289284
917,18397032
918,16876667
919,16504496
920,16507882
921,18496023
922,16506210
923,16498508
924,18599457
925,15141442
926,13531863
927,15331828
928,15355881
929,17369161
930,15327623
931,15338000
932,15334668
933,17433975
934,20578045
935,19957906
936,16621612
937,16649145
938,15131924
939,16604178
940,19517571
941,19962456
942,17928715
943,17879956
944,19949976
945,17890478
946,19937888
947,18927303
948,20111184
949,16161514
950,17401430
951,13539274
952,15229138
953,11940087
954,15322141
955,13555225
956,17892839
957,13449998
958,14102944
959,15605432
960,17064968
961,16647624
962,18628379
963,16543218
964,16541112
965,16547993
966,17031662
967,18453438
968,13806389
969,16288523
970,13835159
971,15930492
972,13835347
973,13761663
974,15904198
975,15827764
976,13833687
977,17769612
978,13974394
979,20785555
980,20741672
981,20879635
982,18672245
983,20602331
984,18637902
985,20708849
986,18637019
987,18678386
988,18610786
989,18635617
990,20668320
991,20768790
992,20932423
993,18635497
994,20723408
995,20837583
996,20848372
997,20697236
998,22515441
999,18589612
1000,14909981
1001,18286989
1002,20548517
1003,16988097
1004,15626208
1005,15030963
1006,16518601
1007,16552305
1008,18719795
1009,17025364
1010,19875489
1011,15031128
