id,latency[ns]
1,13700242
2,11528664
3,11406459
4,11479079
5,11559476
6,11640607
7,11775724
8,12517328
9,39635899
10,14063463
11,13782457
12,13799683
13,13846441
14,13854658
15,13823749
16,13772543
17,13863498
18,13752178
19,13707212
20,13742256
21,13982235
22,13651576
23,13957444
24,13743615
25,13987527
26,13661928
27,13925854
28,13633549
29,13995188
30,13802104
31,13721639
32,14018867
33,13778317
34,13725828
35,13987307
36,11674758
37,13653455
38,11887393
39,13779031
40,13708340
41,13975252
42,11688380
43,13698683
44,14003217
45,13788048
46,13701527
47,13970466
48,13798153
49,13708198
50,13987509
51,13825663
52,13741108
53,13996649
54,13827643
55,13728927
56,13980596
57,13765410
58,13743659
59,14018424
60,13796383
61,13682527
62,13952725
63,13784538
64,13683202
65,14028611
66,13809850
67,13668254
68,13953931
69,13841107
70,13731901
71,14025359
72,13771654
73,13712313
74,13998854
75,13715080
76,13740383
77,14005712
78,13788559
79,13704653
80,13983417
81,13752834
82,13720522
83,14049798
84,13770668
85,13711903
86,13998919
87,13814002
88,13695622
89,13993493
90,11697295
91,13772314
92,14004588
93,13818402
94,13700383
95,14003407
96,13758011
97,13714418
98,14052965
99,14031507
100,13988439
101,12002471
102,14014124
103,13765666
104,14227444
105,13890330
106,13990279
107,14065252
108,13808089
109,13720606
110,14009416
111,13750698
112,11641113
113,13932373
114,13795736
115,13665597
116,13968810
117,13810469
118,13697665
119,13956425
120,13686602
121,13680265
122,13981177
123,13772645
124,13731761
125,14022516
126,13793688
127,13643152
128,11885199
129,13827233
130,13747138
131,13884535
132,13798116
133,13622975
134,13987912
135,13681726
136,13677215
137,13926853
138,13685148
139,13764754
140,13912394
141,13794199
142,13705302
143,13875571
144,13758189
145,13676430
146,13897429
147,13761258
148,13643803
149,13981057
150,13699186
151,13600183
152,13937485
153,13685741
154,13749544
155,13928630
156,13786362
157,13646814
158,13946532
159,13685883
160,13675599
161,13935804
162,13750882
163,13674527
164,14000724
165,13726333
166,13605729
167,13897307
168,13827327
169,13680978
170,14017121
171,13690140
172,13748697
173,13953989
174,13697458
175,13720616
176,13959273
177,13799543
178,13633198
179,13990162
180,13792740
181,13641625
182,14006666
183,13759293
184,13648545
185,13919222
186,13767395
187,13739423
188,13960909
189,13704806
190,13693605
191,13955343
192,13728836
193,13663293
194,13913206
195,13682759
196,13608360
197,13935971
198,13708985
199,13677687
200,13972302
201,13687275
202,13707602
203,13978354
204,13800753
205,13727697
206,13952059
207,13726476
208,11620236
209,13869562
210,13771733
211,13614689
212,13927655
213,13813487
214,13604347
215,13885728
216,13697442
217,13693224
218,13928345
219,13770563
220,13673279
221,13952590
222,13687230
223,13646576
224,11897454
225,13708440
226,13670802
227,13988980
228,13774405
229,13696676
230,13913520
231,13740478
232,13690513
233,13940678
234,13732600
235,13687005
236,13920093
237,13765432
238,13643073
239,13927463
240,13705767
241,13599087
242,13919788
243,13729078
244,13639100
245,13863919
246,13822733
247,13688101
248,13903043
249,13683381
250,13686768
251,13961716
252,13841220
253,13670688
254,13928624
255,14265990
256,14212061
257,13970519
258,13728125
259,13777431
260,13932762
261,13731661
262,13717777
263,13908497
264,13747630
265,13663084
266,13945676
267,11729996
268,13667916
269,13990245
270,13745641
271,13619955
272,13975774
273,13789450
274,11607041
275,13932702
276,11700017
277,13708662
278,13919542
279,13752481
280,13681651
281,13879457
282,13667482
283,13676092
284,13961791
285,13747217
286,13717630
287,13913103
288,13741730
289,13659999
290,13891014
291,13769420
292,13702101
293,13994192
294,13843760
295,13697353
296,14058322
297,13799356
298,13714008
299,13945830
300,13754169
301,13689041
302,13866875
303,11710567
304,13644400
305,13892344
306,13778954
307,13619597
308,13929090
309,11687796
310,13658303
311,13965915
312,13770239
313,13683838
314,13913251
315,13740346
316,13699178
317,13918616
318,13747628
319,13665564
320,13935662
321,13757915
322,13640468
323,14009813
324,13726180
325,13697625
326,13948940
327,13829300
328,13649448
329,13953632
330,13734318
331,13711745
332,14006242
333,13761755
334,13701297
335,11869464
336,13783831
337,13691203
338,13893949
339,13739254
340,13690735
341,13969843
342,13806662
343,13694444
344,14002580
345,13783179
346,13664287
347,13967338
348,13784358
349,13703301
350,13936361
351,13785665
352,13693846
353,13915470
354,13781790
355,11610485
356,13989470
357,13738713
358,13659951
359,14004686
360,13803201
361,13672198
362,13933748
363,13733446
364,11638237
365,13961021
366,13734237
367,13720197
368,13961508
369,13781965
370,13698237
371,13977717
372,13833651
373,13673286
374,13977651
375,13754061
376,13683286
377,13929845
378,13796137
379,13660138
380,14007283
381,13751177
382,13697605
383,13989541
384,13749489
385,13684785
386,13989143
387,13683723
388,13749281
389,11640467
390,13814977
391,13716502
392,13736183
393,13717537
394,13738424
395,13959844
396,13694271
397,13765372
398,13940637
399,13666005
400,13760555
401,13945041
402,13693552
403,13745142
404,13972802
405,13674389
406,13710594
407,13896847
408,13675943
409,13796186
410,13966169
411,11680056
412,13737943
413,13732665
414,13697136
415,13723972
416,13687267
417,13756919
418,13719468
419,13770041
420,13641316
421,13786038
422,13662681
423,13740839
424,13691228
425,13778638
426,13685734
427,13784880
428,13661728
429,13734737
430,13730510
431,13784263
432,13713944
433,13762961
434,13659846
435,13751059
436,13680066
437,13964487
438,13764403
439,13714355
440,13995385
441,13735876
442,13694263
443,13775968
444,13940330
445,13666652
446,13768900
447,13937487
448,13648794
449,13718677
450,13871853
451,13660651
452,13761226
453,13959017
454,13678069
455,13762291
456,13973993
457,13653572
458,13750640
459,13956946
460,13661190
461,13743005
462,13943034
463,13671713
464,13735211
465,13924590
466,13489439
467,13727274
468,13942529
469,13695924
470,13759784
471,13965931
472,13686715
473,13721969
474,13986759
475,13673996
476,13725827
477,13989085
478,13686748
479,13732302
480,13940639
481,13661804
482,14260532
483,13936701
484,13701762
485,13790934
486,14017165
487,13673142
488,13769624
489,13922895
490,13691931
491,13748930
492,11899355
493,13697710
494,13750327
495,13941035
496,13693028
497,13724920
498,11917134
499,13629472
500,13746827
501,13967790
502,13622407
503,13747488
504,13988064
505,13662367
506,13734921
507,13986017
508,13723804
509,13786618
510,14001113
511,13705573
512,13755123
513,13938009
514,13661758
515,13742298
516,11892047
517,13685229
518,13735659
519,13944614
520,13691108
521,13780077
522,13963422
523,13706044
524,13725625
525,13902632
526,13654155
527,13723185
528,13926148
529,13695495
530,13761411
531,13936949
532,13675764
533,13734370
534,13925132
535,13693978
536,13732161
537,13934600
538,13684616
539,13760661
540,13972836
541,13654329
542,13798996
543,13953003
544,13640861
545,13750082
546,13932826
547,13678324
548,13741059
549,13921154
550,13662465
551,13749858
552,13932291
553,13704089
554,13768160
555,13943483
556,13741022
557,11687552
558,13955730
559,13698165
560,13720922
561,13679102
562,13723513
563,13952982
564,13642997
565,13744080
566,13950059
567,13705881
568,13757172
569,13944075
570,13679235
571,13744114
572,13927173
573,13792891
574,13962539
575,13791743
576,13722647
577,11861677
578,13705687
579,13752061
580,13671849
581,13722930
582,13639631
583,13732792
584,13691413
585,13766305
586,13664328
587,13742958
588,13919141
589,13673127
590,13736337
591,13965949
592,13640638
593,13758809
594,13964611
595,13642160
596,13755125
597,13972844
598,13638156
599,13747090
600,13916664
601,13638675
602,13740941
603,13946434
604,13620801
605,11672032
606,13909146
607,13665763
608,13711909
609,13924533
610,13707612
611,13747559
612,13947670
613,13687650
614,13679758
615,13925640
616,13608446
617,13724803
618,13963445
619,13608849
620,13758716
621,13949267
622,13730947
623,13762081
624,11883993
625,13682339
626,13752719
627,13987931
628,13644996
629,11698880
630,11878786
631,13667655
632,13742114
633,11876729
634,13686490
635,13704429
636,13953435
637,13695240
638,13722530
639,13987885
640,13628012
641,13760128
642,13908766
643,13687645
644,13719607
645,13934475
646,13668792
647,13798067
648,13937031
649,13652522
650,13730804
651,13887115
652,13685313
653,13749893
654,13956127
655,13626549
656,13707286
657,14012625
658,13628201
659,13727574
660,13908594
661,13623180
662,13746420
663,13966808
664,13623575
665,13743157
666,13947477
667,13692948
668,13714709
669,13893822
670,13674809
671,13742631
