id,latency[ns]
1,14093813
2,11494419
3,109745886
4,21058983
5,22365124
6,11426766
7,11579663
8,13777759
9,13910912
10,11767666
11,13816707
12,13823392
13,11782720
14,14057718
15,14426070
16,13935882
17,14004059
18,13883894
19,13926864
20,13855418
21,11783574
22,16466767
23,14186537
24,14026296
25,13863476
26,13861628
27,13912641
28,13904289
29,14172526
30,16358481
31,13903419
32,13861434
33,11727149
34,13902937
35,13855288
36,13800167
37,13776327
38,13730467
39,14615362
40,13808499
41,13906096
42,11934235
43,13790750
44,11970285
45,13797467
46,13749108
47,11802682
48,11805026
49,13853938
50,16361563
51,13782634
52,11926066
53,13852228
54,13796983
55,14543968
56,13752965
57,13807939
58,11796359
59,13721022
60,11850502
61,13798797
62,13855972
63,13887185
64,13872653
65,12069569
66,13894258
67,13794483
68,13908166
69,16516606
70,13916977
71,13874303
72,13909965
73,14061431
74,13890459
75,14108869
76,13995455
77,14000604
78,13903758
79,11803715
80,13980100
81,13912689
82,13994112
83,13959916
84,14153590
85,11995810
86,13937533
87,14019262
88,14118929
89,14024713
90,14408254
91,13928666
92,13903245
93,13950193
94,13935095
95,11926068
96,13802099
97,13918359
98,11777695
99,13889269
100,13971979
101,13928870
102,13950414
103,13991097
104,13919684
105,13917576
106,11847218
107,13956289
108,13923367
109,13849351
110,13868415
111,13932814
112,13998521
113,11874675
114,13941196
115,13968859
116,14478562
117,13952307
118,13928536
119,14032860
120,14069278
121,11864676
122,13926427
123,11883226
124,13890423
125,13917736
126,13981342
127,13933770
128,14032009
129,16594593
130,14150499
131,14000548
132,13928723
133,16548642
134,13965450
135,13959822
136,14598207
137,14043385
138,13897088
139,14092338
140,14118705
141,14036763
142,13948484
143,13871488
144,13966334
145,14043256
146,14001670
147,13947082
148,13976064
149,13908602
150,13936627
151,13953673
152,11854845
153,13980117
154,14012552
155,11847195
156,13964479
157,14058591
158,14085232
159,13924373
160,14011828
161,13970697
162,13977773
163,11846633
164,11887423
165,13991183
166,14010590
167,13967228
168,11978181
169,13938109
170,14063307
171,11861980
172,13973910
173,13976008
174,14040117
175,13924270
176,13949521
177,13935972
178,14061348
179,13949398
180,13925423
181,13960503
182,13985391
183,13948715
184,13903665
185,13874888
186,13899178
187,11831077
188,14015765
189,14047277
190,13949796
191,13996889
192,16482321
193,14076703
194,11829461
195,13884457
196,13885479
197,14008839
198,14058330
199,13914762
200,16514924
201,13979731
202,14038373
203,14002105
204,14006376
