id,latency[ns]
1,11931248
2,11746917
3,11982101
4,13878821
5,14323348
6,12190467
7,12092095
8,14160167
9,12087508
10,12102984
11,14143891
12,14231195
13,14204131
14,14217231
15,14179022
16,14228005
17,14149746
18,12213987
19,14183642
20,14169562
21,14183833
22,12139391
23,12115235
24,14174447
25,12161354
26,14156361
27,12156870
28,14190488
29,14186636
30,12149409
31,14221666
32,14203486
33,14176827
34,14182470
35,14214971
36,12179024
37,14250622
38,14187923
39,14181591
40,12164816
41,14102136
42,14197607
43,14121427
44,14200211
45,12191915
46,14179179
47,14200275
48,14156463
49,14216536
50,14271903
51,14195459
52,12211394
53,14192860
54,14137276
55,14189680
56,12172809
57,14239775
58,14221670
59,14192173
60,14244273
61,14204849
62,14215064
63,14244536
64,14151430
65,14198657
66,14237347
67,14193161
68,14210288
69,14250627
70,12164855
71,14171772
72,12143698
73,12168217
74,14173840
75,14224468
76,12161756
77,14233336
78,14250317
79,14204047
80,12161333
81,14230325
82,12154737
83,14173891
84,14182073
85,14231033
86,14208947
87,12214523
88,14210042
89,14183603
90,14206046
91,14225602
92,14171074
93,14176051
94,14232400
95,14182329
96,12190102
97,14203072
98,14232425
99,14218759
100,14246055
101,14229132
102,14260549
103,12179408
104,14241680
105,14224334
106,14224973
107,14255141
108,12186642
109,14222479
110,14280630
111,14221414
112,12191060
113,12211041
114,14190445
115,14210754
116,12212972
117,12180958
118,14222542
119,12225521
120,12198718
121,14191655
122,14203926
123,14217848
124,14216095
125,14240435
126,12147490
127,14226002
128,12203506
129,14225386
130,14247660
131,14195061
132,12175510
133,14252440
134,14217861
135,14228041
136,14240369
137,12165916
138,14151126
139,14215556
140,14150525
141,14236219
142,14192444
143,12182378
144,14202144
145,14265791
146,14198579
147,12229560
148,12197625
149,14251943
150,14215048
151,14192058
152,14247441
153,14204622
154,14225924
155,14164938
156,14125178
157,14195226
158,14233670
159,14176377
160,14214935
161,14211321
162,14187978
163,14228121
164,12185545
165,14199550
166,12164227
167,14257618
168,14209754
169,12176082
170,14240921
171,12237590
172,12164483
173,12164078
174,14262020
175,14210675
176,14181082
177,14271776
178,14233124
179,14218979
180,14233197
181,14232422
182,14194702
183,12187517
184,14141295
185,14167477
186,14185368
187,14145698
188,14201963
189,14161158
190,14203118
191,12136021
192,14201251
193,12257593
194,12207597
195,14228172
196,14235553
197,14204749
198,14181161
199,12224206
200,14184519
201,14227148
202,14207462
203,14187237
204,14216831
205,14087273
206,14068866
207,14033541
208,14047870
209,12019097
210,14081510
211,14067297
212,14073100
213,14054038
214,14025583
215,14105841
216,14096759
217,14121826
218,14103880
219,14037799
220,14038028
221,14042632
222,12056255
223,14037259
224,14081143
225,14098701
226,14103234
227,14050773
228,14017768
229,14085528
230,14091014
231,14100546
232,12060635
233,14057968
234,14110124
235,12111559
236,14007858
237,14120279
238,14052468
239,14077846
240,14097809
241,14059750
242,14116191
243,14092923
244,14145759
245,14106250
246,14066099
247,14105611
248,12049267
249,14044372
250,14071847
251,14060964
252,14086688
253,14046593
254,12038997
255,14039793
256,14044063
257,14075906
258,14047311
259,14067358
260,14086390
261,14061633
262,14063398
263,14049449
264,14087291
265,12053428
266,14091579
267,12040231
268,14085386
269,14042212
270,14073793
271,12026651
272,14065366
273,14071538
274,14040594
275,14114425
276,14105505
277,14035209
278,14028300
279,14074220
280,14045156
281,14067768
282,12029856
283,14084171
284,14071719
285,14084542
286,14080362
287,14077491
288,14115465
289,14082950
290,14083913
291,12108921
292,14033221
293,12047050
294,14075283
295,14104007
296,14051576
297,12028295
298,14065454
299,14036691
300,14055291
301,14022640
302,14024344
303,14046128
304,14088556
305,14038050
306,14104293
307,14045081
308,14048126
309,14060835
310,14059332
311,14069240
312,14045099
313,14045578
314,12057787
315,14046373
316,14047114
317,12030334
318,14034438
319,14061362
320,14046756
321,14000590
322,14073823
323,14090409
324,14086193
325,12063774
326,14086901
327,14022296
328,14065425
329,14040200
330,14043157
331,14062524
332,14074412
333,14043924
334,12036746
335,14055866
336,12071852
337,14034647
338,12062707
339,14147071
340,14055703
341,12051771
342,14121050
343,14061815
344,14029999
345,14046327
346,14100964
347,14092140
348,14125683
349,14059600
350,14074881
351,14132283
352,14028619
353,14051493
354,14060766
355,14015959
356,14054456
357,14082775
358,14080008
359,14124001
360,14068207
361,12066666
362,14069709
363,14119853
364,14021669
365,14017572
366,14072169
367,14071745
368,14080162
369,14064973
370,12098828
371,12090296
372,14057878
373,14099345
374,14124704
375,14078113
376,12046547
377,14047266
378,14091814
379,14127647
380,14044841
381,14038753
382,14065668
383,14075813
384,12048728
385,14054979
386,14098622
387,14032171
388,14055703
389,12020994
390,14046506
391,14091697
392,14084948
393,14051337
394,14080514
395,14054379
396,14021136
397,14097213
398,14100420
399,14113656
400,14070799
401,14060933
402,14106911
403,14103291
404,14063777
405,14092492
406,12039640
407,14067961
408,14129516
409,14067342
410,12021947
411,14035617
412,14098839
413,14069259
414,12046611
415,14039114
416,14053285
417,14023794
418,14083460
419,14050189
420,14119126
421,14076638
422,14100024
423,14085712
424,14066376
425,14069698
426,14012429
427,14026946
428,14027377
429,14012782
430,14064180
431,14159759
432,14072327
433,14092285
434,14116406
435,14098834
436,14062707
437,12096304
438,14102926
439,14072453
440,14066918
441,14084071
442,14075729
443,14058114
444,14034068
445,14113781
446,14062183
447,14124311
448,14046872
449,14082298
450,14066283
451,14079188
452,14078735
453,14134107
454,14078079
455,14055399
