id,latency[ns]
1,10283479
2,9766113
3,9748035
4,9774051
5,9804585
6,9886261
7,10979678
8,9890905
9,9925791
10,11584359
11,11657442
12,10020196
13,9891392
14,10007047
15,11596119
16,9948298
17,11663005
18,11733522
19,11708907
20,11661192
21,11581537
22,11621786
23,11653476
24,11595457
25,11586661
26,11635499
27,11624618
28,11676920
29,11654982
30,11626480
31,11614208
32,11585848
33,11529707
34,11661044
35,11628433
36,11541955
37,11512562
38,11568728
39,11576196
40,11681329
41,11596071
42,11546202
43,11611666
44,11539743
45,11586637
46,11483130
47,11550841
48,11489385
49,11612940
50,11559039
51,11516598
52,11629002
53,11517598
54,11597189
55,11649049
56,11505798
57,11538997
58,11629029
59,11593194
60,11597322
61,11753119
62,11728350
63,11596709
64,11608587
65,11464646
66,11563811
67,11544077
68,11469430
69,11560159
70,11500382
71,11447283
72,11509483
73,11590115
74,11464990
75,11501902
76,11512941
77,11540900
78,11589351
79,11908763
80,11569781
81,11502606
82,11824549
83,11558854
84,11742723
85,11737492
86,11685635
87,11778133
88,11760654
89,11765829
90,11731389
91,11686554
92,11749774
93,11513512
94,11780534
95,11544017
96,11472910
97,11643050
98,11455050
99,11480872
100,11525352
101,11635394
102,11476726
103,11499461
104,11493557
105,11728114
106,11470565
107,11529172
108,11726045
109,11475117
110,12176889
111,12247295
112,11936057
113,11542481
114,11487194
115,11607113
116,11530290
117,11470031
118,11554157
119,11524875
120,11493964
121,11555155
122,11572504
123,11573066
124,11560020
125,11430645
126,11579323
127,11531230
128,11434162
129,11499364
130,11413906
131,11444989
132,11498503
133,11736595
134,11542812
135,11465306
136,11851003
137,11594346
138,11424834
139,11410424
140,11505181
141,11446549
142,11484084
143,11585605
144,11547936
145,11694037
146,11769631
147,11478003
148,11596072
149,11519797
150,11545999
151,11524349
152,11568595
153,11796146
154,11583059
155,11675291
156,11552837
157,11521199
158,11474638
159,11489342
160,9821060
161,11518079
162,11547037
163,11678434
164,11599213
165,11710372
166,11493029
167,11521185
168,11726910
169,11760182
170,11685976
171,11678807
172,11864373
173,11908129
174,11576772
175,11762024
176,11795334
177,11453780
178,11538631
179,11542129
180,11823750
181,11597903
182,11795795
183,11603549
184,11698377
185,11720442
186,11761284
187,11432742
188,11615347
189,11626772
190,11528620
191,11503844
192,11526910
193,11868536
194,11569125
195,11449522
196,11503910
197,11538541
198,11502529
199,11498710
200,11592599
201,11616150
202,11432723
203,11545302
204,11421669
205,11504724
206,11456763
207,11488946
208,11547981
209,11471204
210,11586147
211,11563843
212,11486429
213,11509811
214,11506307
215,11694670
216,11536225
217,11478898
218,11654319
219,11432914
220,11541746
221,11318619
222,11614249
223,12119371
224,11756699
225,11590860
226,11840605
227,11474740
228,11471636
229,11528269
230,11754734
231,11666719
232,11418605
233,11497609
234,11549804
235,11423244
236,11678101
237,11615517
238,12047532
239,10427100
240,11487456
241,11732897
242,11493632
243,11576607
244,11567615
245,12250302
246,11588647
247,11494915
248,11888624
249,11559332
250,11684481
251,11620314
252,11886311
253,11612518
254,11644504
255,11655653
256,12020326
257,11519394
258,11556507
259,11605324
260,11513259
261,11649724
262,11491922
263,11884427
264,11612046
265,11810455
266,11504825
267,11635751
268,11467990
269,11902576
270,11530121
271,11722137
272,11489625
273,11675758
274,11869196
275,11556634
276,11610264
277,11536924
278,11414928
279,11691558
280,11912070
281,11665268
282,11549433
283,11646506
284,11525563
285,11410198
286,11715728
287,11483343
288,12117366
289,11683914
290,11539023
291,11524922
292,11989663
293,11513464
294,11662426
295,11520200
296,11608187
297,11362436
298,11548398
299,11567603
300,11504852
301,11560771
302,11582537
303,12114968
304,11586397
305,11620957
306,12141095
307,11550079
308,11571658
309,11672485
310,11879026
311,11619339
312,11635347
313,11639650
314,11611009
315,11766183
316,11543530
317,11610371
318,11572040
319,11518932
320,11674427
321,11664649
322,11547211
323,11617389
324,11551559
325,11583645
326,11645586
327,11930898
328,11665262
329,11603606
330,12032040
331,11596664
332,11565491
333,11626601
334,11472165
335,11458726
336,11711392
337,11645061
338,11549206
339,12348837
340,11901085
341,11649992
342,11695711
343,11467705
344,11593957
345,11587186
346,11585232
347,11640198
348,11632156
349,11718289
350,11644159
351,11486018
352,10375995
353,11489922
354,10309484
355,11548517
356,11823319
357,11787403
358,11521134
359,11562637
360,12351536
361,11673518
362,11685936
363,11597148
364,11540959
