id,latency[ns]
1,17726842
2,10068673
3,10213535
4,10103870
5,10060657
6,10144555
7,19303213
8,10573057
9,10177254
10,10171646
11,10161144
12,10104640
13,11797131
14,12005699
15,12133650
16,11411147
17,10334530
18,11913174
19,11827404
20,11933516
21,11878741
22,11857927
23,11771628
24,11979477
25,11033957
26,11051254
27,11078967
28,9322240
29,9405959
30,10983408
31,11039100
32,9369633
33,11118106
34,11916421
35,11819673
36,11962589
37,11907440
38,12441613
39,11856349
40,11956745
41,12190147
42,11983125
43,12206279
44,12114597
45,12181175
46,12407547
47,12448763
48,10432040
49,11761411
50,11743788
51,11957056
52,10224163
53,11985407
54,11209098
55,11130950
56,11059442
57,11203104
58,11198667
59,9379493
60,10975769
61,10949142
62,10951641
63,10999208
64,10921471
65,10963267
66,10986345
67,10952283
68,11019492
69,12095197
70,11929293
71,11961985
72,11912763
73,11821363
74,11946623
75,10190080
76,11899002
77,11931557
78,11981471
79,11898960
80,10271889
81,11941273
82,11993969
83,10206961
84,12090787
85,11966199
86,11878676
87,10297722
88,11955210
89,11860508
90,12103622
91,11862161
92,11933379
93,10136156
94,11961006
95,11937033
96,11850628
97,12195758
98,11967686
99,11997468
100,11947020
101,10330708
102,11791763
103,11821351
104,10095865
105,11807820
106,10142467
107,11855474
108,12208897
109,10159978
110,11858547
111,11872073
112,11854023
113,11761000
114,11977687
115,11979292
116,11086927
117,11176914
118,11138789
119,11030599
120,11119721
121,11180346
122,11159836
123,11032689
124,11040639
125,11124538
126,11116822
127,11084003
128,11074888
129,11078308
130,11174116
131,11086188
132,11111793
133,11096940
134,11098674
135,9429556
136,10986830
137,11223853
138,11093728
139,11204430
140,11114100
141,11108091
142,11123703
143,11148450
144,11139490
145,11065602
146,11191009
147,9391675
148,11063015
149,11175409
150,11170918
151,11120735
152,11120320
153,11113359
154,11065653
155,11148835
156,11131254
157,11114515
158,11050971
159,11105629
160,11024304
161,11065065
162,11136892
163,9416893
164,11150747
165,11088957
166,11093109
167,9413865
168,11112282
169,9400664
170,11009032
171,11108871
172,11099764
173,9397599
174,10984948
175,11080815
176,11122615
177,11116784
178,11123944
179,11158820
180,11110771
181,11122253
182,11056990
183,11188300
184,11169055
185,11104438
186,11069652
187,9386839
188,11071907
189,11122480
190,11151284
191,11084571
192,9530155
193,10976640
194,11098755
195,11059707
196,11072524
197,11075744
198,11092148
199,11086450
200,11075165
201,11067767
202,9322379
203,11204526
204,11044361
205,9325850
206,11067474
207,11059638
208,11036567
209,11017637
210,9421214
211,11101210
212,9337149
213,11102446
214,9351650
215,9333430
216,9335339
217,11200667
218,11175479
219,11146201
220,11222563
221,11098057
222,9383741
223,11157080
224,9397021
225,11013266
226,11183868
227,11069903
228,11104995
229,11216070
230,9365543
231,11013691
232,9265904
233,10994248
234,9356208
235,9333448
236,10993633
237,11024596
238,11005242
239,11065928
240,11028031
241,11067683
242,10963836
243,9324373
244,11193707
245,11049179
246,11094015
247,9362200
248,11062307
249,9408680
250,9326623
251,10996228
252,10963318
253,11038524
254,9246551
255,9387602
256,11021124
257,10932571
258,9377110
259,11057876
260,11097340
261,11129638
262,9370981
263,9340730
264,11012548
265,9330779
266,9273152
267,11081629
268,9344034
269,9271236
270,11064291
271,10159148
272,11941539
273,10136211
274,10205541
275,12179706
276,11825299
277,12005999
278,10289297
279,11593379
280,10421394
281,11892530
282,10143384
283,10316930
284,12428909
285,10343893
286,11754757
287,11759332
288,11986748
289,9347391
290,11078411
291,11088157
292,9407733
293,9318300
294,11139117
295,9447639
296,9361750
297,11044646
298,9446861
299,9325859
300,11110826
301,11100450
302,9387738
303,11086390
304,11070532
305,9333607
306,9290548
307,9308032
308,10914691
309,9377426
310,9317325
311,11196924
312,10991230
313,9300320
314,11113185
315,9435081
316,9308462
317,9319887
318,9289586
319,9311082
320,9301703
321,10942407
322,9371636
323,9361576
324,10987230
325,9373861
326,9264072
327,9258834
328,11186676
329,9411727
330,9358058
331,10966349
332,11149583
333,11084772
334,11075711
335,11103750
336,9429203
337,9388019
338,9375054
339,11196110
340,10945881
341,11055570
342,9298781
343,9373988
344,10900037
345,10229220
346,11992514
347,9241922
348,9211164
349,10904044
350,9319079
351,9315433
352,11034719
353,9590424
354,11091005
355,9416441
356,11114720
357,9398492
358,11002775
359,10970884
360,9306727
361,9230480
362,9252544
363,9255043
364,9328764
365,9253386
366,9291931
367,11086055
368,9367335
369,9354763
370,9355103
371,9305035
372,9414198
373,9430724
374,9263470
375,11047019
376,9334843
377,9276300
378,9265527
379,9266901
380,9322782
381,9269477
382,9037252
383,8942111
384,9070292
385,9046410
386,8953634
387,9005616
388,9048682
389,10973210
390,9218012
391,9104739
392,10906799
393,10731271
394,9198017
395,9071209
396,9099320
397,9035577
398,9143810
399,9179115
400,9065467
401,9086597
402,10679740
403,10770639
404,9197716
405,9130741
406,8996611
407,9056157
408,9117637
409,10727311
410,9258812
411,9071053
412,10768294
413,10733221
414,10872144
415,10902902
416,9046318
417,9014352
418,9101581
419,9076284
420,10663160
421,9385438
422,10733971
423,9334409
424,10890122
425,9093745
426,9004482
427,8961169
428,10525496
429,9000519
430,8891994
431,8915090
432,8991963
433,8969539
434,8947567
435,8904836
436,8922773
437,8990153
438,8949820
439,10557148
440,10594005
441,9008866
442,9062776
443,8957499
444,8887543
445,8913756
446,8915396
447,9004848
448,8962471
449,8948563
450,9007493
451,8891342
452,8871685
453,8978883
454,10695622
455,9034314
456,8911101
457,8998368
458,8977182
459,9101880
460,9063518
461,9043697
462,9076394
463,9040681
464,10760468
465,9305363
466,9046830
467,8987941
468,10622091
469,9015698
470,9001026
471,9010761
472,8969694
473,8884157
474,10823220
475,10705837
476,9102553
477,9064088
478,9170753
479,9119645
480,9192209
481,9106111
482,9125131
483,9259465
484,9160105
485,9021799
486,9029625
487,9061305
488,10633167
489,9214553
490,9208211
491,8983213
492,9100773
493,9067805
494,10173102
495,10219975
496,10270887
497,10156333
498,10195064
499,10239009
500,11949794
501,12429206
502,11901367
503,11994674
504,10201883
505,11814910
506,10285691
507,10111112
508,11775209
509,10063971
510,11906743
511,10237264
512,10989135
513,9349487
514,9144933
515,10044730
516,10127189
517,11721217
518,11748526
519,11989702
520,11941746
521,9245359
522,9259389
523,9320741
524,10952060
525,9278714
526,11022510
527,9300088
528,10957486
529,9311445
530,9237134
531,10956318
532,9255928
533,9381798
534,9252612
535,9265879
536,11038519
537,11051438
538,9268711
539,11084655
540,9413839
541,9362059
542,9336821
543,9332154
544,9365621
545,11221597
546,11062953
547,9375700
548,11129387
549,9471421
550,9361246
551,9257894
552,9455721
553,9291339
554,9316654
555,10976504
556,9274621
557,9392709
558,9388385
559,11090821
560,9332080
561,9441131
562,9369555
563,9362062
564,9318417
565,9422993
566,9365459
567,9252203
568,9377201
569,9395173
570,11094141
571,9320271
572,9440172
573,9247750
574,9245410
575,9277538
576,9368689
577,9387220
578,9360605
579,9341334
580,9351634
581,9306296
582,9468992
583,11091723
584,9372647
585,9323763
586,9216527
587,9225433
588,9355755
589,9235901
590,9332738
591,9238487
592,11024431
593,9305246
594,9214970
595,9405782
596,9265846
597,9227435
598,10346948
599,10179555
600,10125756
601,11984462
602,10385795
603,10076029
604,10138114
605,10077609
606,10112904
607,11879976
608,10233333
609,10180716
610,10136768
611,10105672
612,10019782
613,10454508
614,9269438
615,9293854
616,9279885
617,9302620
618,9205361
619,10299567
620,10161266
621,10001551
622,11723035
623,10271068
624,11832159
625,10137007
626,10030673
627,11999653
628,10250796
629,11919182
630,10139516
631,10093588
632,10044195
633,11873341
634,10251717
635,10168750
636,10109606
637,11744893
638,11993722
639,10175277
640,10233003
641,11787685
642,11813071
643,10073955
644,10331373
645,10340536
646,10187881
647,11845177
648,10121587
649,10125647
650,11756606
651,10235457
652,10136351
653,10148309
654,10233195
655,10091877
656,11871341
657,10411345
658,11906310
659,11858323
660,10100953
661,10275783
662,12046819
663,10177163
664,10127808
665,10071468
666,10291494
667,10218476
668,11872195
669,10147891
670,10030121
671,10078999
672,11805026
673,12040996
674,10157997
675,11849567
676,10195955
677,10136800
678,10032443
679,10091786
680,10369515
681,10205749
682,10222378
683,10148820
684,10454499
685,10204739
686,11896944
687,12042107
688,11917829
689,10497556
690,10166871
691,11938811
692,10309935
693,10107353
694,11714029
695,10050982
696,12082264
697,11875771
698,10289088
699,9337971
700,10980144
701,9317125
702,11991038
703,10349260
704,9234805
705,9318776
706,9213331
707,9343889
708,11125079
709,9372045
710,9343022
711,9352359
712,9264116
713,10895161
714,10994998
715,11023108
716,11017131
717,10981911
718,10941045
719,11043778
720,9272281
721,9211963
722,11080416
723,11062336
724,9370868
725,11134199
726,9315471
727,9390768
728,11176087
729,9371251
730,11129008
731,9336262
732,11104655
733,9379377
734,9374666
735,9404393
736,9309555
737,9362193
738,9410039
739,9427767
740,11023623
741,11001881
742,10992695
743,9288554
744,9369845
745,11107132
746,9354414
747,10950307
748,9306825
749,11059628
750,10994530
751,10977828
752,11836498
753,11951346
754,10110696
755,11936029
756,10472748
757,10261801
758,11704300
759,10316704
760,11910833
761,11928133
762,10619340
763,10149353
764,11893537
765,11731184
766,10280378
767,10229295
768,11834878
769,10227448
770,11809002
771,10447889
772,11801109
773,11866607
774,10254725
775,11893814
776,10152957
777,11871052
778,10541952
779,11949557
780,10153717
781,10193663
782,11933035
783,10214768
784,10025618
785,10093879
786,10300817
787,12057022
788,10249404
789,11895153
790,11999724
791,10264595
792,11928649
793,10225041
794,10285353
795,11840534
796,10149776
797,10108569
798,12008933
799,11932470
800,10116954
801,11938983
802,11969910
803,11888672
804,10320852
805,11855473
806,11960914
807,10252093
808,11920875
809,9344350
810,9252922
811,11152707
812,11119166
813,9381173
814,9298477
815,11014069
816,10942854
817,10987896
818,9256011
819,9243680
820,9250389
821,10898571
822,9260500
823,9231838
824,9231585
825,10855851
826,11025443
827,11002100
828,9307155
829,9193803
830,10980227
831,9347654
832,10945759
833,9302672
834,11050044
835,11131402
836,11061006
837,9347328
838,9459794
839,10961979
840,9249955
841,10997688
842,11060243
843,10992505
844,11899110
845,10345093
846,10037352
847,10278326
848,10324707
849,11999229
850,11894144
851,10325786
852,10261487
853,10062206
854,10204915
855,11784305
