id,latency[ns]
1,12149375
2,21584794
3,28162057
4,12316231
5,11863695
6,17564449
7,15067761
8,14699997
9,12165061
10,12124963
11,14153845
12,12225418
13,13961333
14,13887801
15,12087029
16,13922100
17,13972326
18,12035868
19,12063336
20,13968429
21,13987731
22,13992246
23,14081106
24,14009930
25,12028334
26,14419182
27,14128987
28,14219104
29,12118589
30,12102937
31,12118247
32,12145110
33,12132976
34,12086537
35,12101073
36,12119466
37,14052068
38,12107134
39,14096922
40,12102325
41,12068345
42,12092544
43,12141295
44,14067222
45,12135891
46,14018535
47,12089728
48,14085192
49,12079414
50,12118965
51,14091391
52,12096945
53,12070976
54,12116181
55,14075992
56,14050189
57,12093752
58,12070105
59,14071035
60,12087240
61,12083956
62,12074079
63,14125636
64,12066400
65,14011138
66,14104685
67,14025991
68,14130598
69,14123984
70,14126806
71,12107995
72,12103967
73,14107532
74,12100657
75,14055486
76,14098080
77,14134002
78,12094454
79,12076282
80,12102816
81,14016993
82,12082062
83,12061859
84,14117796
85,12122608
86,12077666
87,14107384
88,14155783
89,12105350
90,14132665
91,12113396
92,12079212
93,12082116
94,12087633
95,12082347
96,12104626
97,12125403
98,12076730
99,14090407
100,12102649
101,14123605
102,14161831
103,12079424
104,14108010
105,12085732
106,12075776
107,12084942
108,14081039
109,12092975
110,14091972
111,14066358
112,14209790
113,12103082
114,12072711
115,12089293
116,14123927
117,12090188
118,12095252
119,14081879
120,14098241
121,12073527
122,12090050
123,14120627
124,14117970
125,12122200
126,14121136
127,12089362
128,12112705
129,12126951
130,12117937
131,12093795
132,12090644
133,14079130
134,14089802
135,12114527
136,14119122
137,14124990
138,12084732
139,14073056
140,12101678
141,12067960
142,12082023
143,14110299
144,12120880
145,12078795
146,12102976
147,12074226
148,12068121
149,12052160
150,12087715
151,14097234
152,12109539
153,12107301
154,12068781
155,12055294
156,12114399
157,12071044
158,12070958
159,12102356
160,14042317
161,12066719
162,12081629
163,12091895
164,12069032
165,12081253
166,12120964
167,14125933
168,12107705
169,12060400
170,12084712
171,12084820
172,12075477
173,12105172
174,12111709
175,12091482
176,12074946
177,12082115
178,12095147
179,12103010
180,12101540
181,12089911
182,12100021
183,12107919
184,12083665
185,12115307
186,14113112
187,12071449
188,12090393
189,12088738
190,12074143
191,14028741
192,12111134
193,12069859
194,12055181
195,12065443
196,12050374
197,14118320
198,12068153
199,14064035
200,14115021
201,12075443
202,14141667
203,12108148
204,12074116
205,12078037
206,14014336
207,12098760
208,14090084
209,12080562
210,14044904
211,12082974
212,12071445
213,12085004
214,12074527
215,12083695
216,12046402
217,12094297
218,12063364
219,14108005
220,12066125
221,14104814
222,14121474
223,12071015
224,12095082
225,14102080
226,12101643
227,12105562
228,12080902
229,12067821
230,12042557
231,12124015
232,12077458
233,14111998
234,12082868
235,14071157
236,12094352
237,12072224
238,12105449
239,12072262
240,12067942
241,12095406
242,12076486
243,12074363
244,14051821
245,12098376
246,12068666
247,12065042
248,12083372
249,12067435
250,12082570
251,12102727
252,12066432
253,12103060
254,14054610
255,12088246
256,12070953
257,12077855
258,12100184
259,12078388
260,12081048
261,12072813
262,12090997
263,12095697
264,12087870
265,12106970
266,12068667
267,12076202
268,12078122
269,14117976
270,12111221
271,12085512
272,12073498
273,12119881
274,12063355
275,12111546
276,12096947
277,12096550
278,12076511
279,12069770
280,12099976
281,12098030
282,14068838
283,12101069
284,12132585
285,12093700
286,12116825
287,12100774
288,12116788
289,14167708
290,12097030
291,12055722
292,14122365
293,12072487
294,12075082
295,12090127
296,12081418
297,14131720
298,12065126
299,12098524
300,12073612
301,12099156
302,12093734
303,12067735
304,12078958
305,12106676
306,12088996
307,12070771
308,12077698
309,12080872
310,12078842
311,14145168
312,14128734
313,12092554
314,12145553
315,12090847
316,12067868
317,12110148
318,12084829
319,12073508
320,12121763
321,12071201
322,12086633
323,12105026
324,12078480
325,12058230
326,12121557
327,12088479
328,12074281
329,12074564
330,12094714
331,12098896
332,12079370
333,12088119
334,14066651
335,12090523
336,12099656
337,12084802
338,12093441
339,12105630
340,12089558
341,12078564
342,12100031
343,12080052
344,14114456
345,12089816
346,12084277
347,12079152
348,14155285
349,12078637
350,12081231
351,12081025
352,14103646
353,12120522
354,12078442
355,12101108
356,14087244
357,12097725
358,12085363
359,12142113
360,12083533
361,12102097
362,12077819
363,12086296
364,12082918
365,12134596
366,12089451
367,14117507
368,14070714
369,12125985
370,12080928
371,12095125
372,12121065
373,12068414
374,12082042
375,12081625
376,12088453
377,12051580
378,12057825
379,12069948
380,14072835
381,12065677
382,12075663
383,12081749
384,12075082
385,12088863
386,12044490
387,12061866
388,14124864
389,14102783
390,12095075
391,12053497
392,12072128
393,12091188
394,12060891
395,14115425
396,12056204
397,12060425
398,12078196
399,12086153
400,12059830
401,12087771
402,12063288
403,12074074
404,12057044
405,12084131
406,12107713
407,12085892
408,12082896
409,14144917
410,12114613
411,12097724
412,12105742
413,12110227
414,12063664
415,12111386
416,12102389
