id,latency[ns]
1,12176119
2,11411886
3,12158800
4,11505240
5,11547264
6,11530070
7,11466909
8,11894018
9,101592058
10,11688610
11,11594798
12,13480396
13,16225715
14,13646514
15,13756522
16,13557076
17,16181175
18,13595036
19,13604799
20,13667978
21,13626957
22,13763945
23,13792530
24,13741227
25,13619133
26,13751837
27,13654507
28,13596856
29,13697141
30,11667556
31,13612633
32,13723586
33,13688222
34,13607142
35,13637033
36,13761600
37,13661519
38,13568958
39,16132972
40,13753339
41,13758114
42,13719669
43,13673671
44,13614499
45,13663045
46,13747334
47,13848443
48,13699542
49,13714622
50,16093103
51,13637110
52,13698502
53,13603766
54,13596490
55,13590827
56,13558043
57,13690690
58,11688612
59,13575845
60,13724608
61,13568930
62,13750144
63,13700615
64,13563081
65,13606380
66,13796716
67,13669542
68,11661092
69,13589400
70,13572242
71,13528830
72,13665300
73,13646112
74,13576479
75,13609833
76,13543881
77,13755546
78,16107946
79,13554198
80,16161718
81,11584078
82,13694136
83,13626765
84,11594196
85,13574884
86,13532337
87,13599134
88,13597287
89,13572621
90,13596688
91,13596144
92,13651684
93,13631058
94,13576626
95,13596458
96,11712103
97,13593066
98,13562358
99,13597961
100,13539808
101,13611926
102,13635736
103,13599862
104,13621544
105,11626824
106,13603248
107,13625674
108,13743589
109,13728922
110,13640493
111,13654058
112,13634408
113,16113569
114,13712581
115,13687343
116,13731105
117,13691636
118,11635844
119,13716963
120,16101198
121,16146701
122,13748519
123,13534096
124,13720302
125,13608612
126,13725483
127,13521257
128,13523357
129,11641595
130,13605509
131,13518942
132,13716627
133,13583672
134,13560888
135,13499391
136,13659575
137,13597353
138,13548384
139,13572698
140,16139689
141,13741271
142,13675475
143,13759561
144,11726080
145,13707583
146,13747924
147,16038931
148,16193917
149,13644972
150,11704919
151,13650452
152,13660494
153,16015689
154,13600933
155,11583521
156,13720515
157,13511891
158,16180231
159,13702112
160,13678075
161,11812382
162,13610369
163,13650661
164,13602778
165,13549156
166,13582314
167,13659390
168,13615709
169,13708361
170,13634583
171,13631543
172,11638323
173,13565989
174,13657535
175,13615690
176,13652356
177,11723228
178,13620650
179,13692992
180,13624084
181,11785518
182,13573329
183,13773223
184,13647991
185,13618323
186,13704858
187,13730172
188,13643394
189,16221525
190,13775358
191,13768245
192,13598916
193,13719060
194,13773694
195,11809156
196,13700617
197,13676081
198,13776453
199,13833115
200,13837083
201,11744428
202,13654555
203,13646571
204,13666560
205,13800408
206,16132972
207,11645581
208,13615401
209,11614741
210,13657500
211,13764818
212,13688004
213,13575912
214,13736661
215,13598698
216,13603876
217,13612043
218,13633526
219,11652475
220,13655058
221,13603295
222,13747067
223,13689537
224,13628251
225,13701923
226,13846750
227,13605208
228,13654082
229,13643007
230,13736138
231,14239946
232,13660958
233,13770366
234,13790078
235,13677791
236,13657849
237,13767674
238,11816767
239,13664604
240,13727850
241,13652391
242,13709662
243,11800338
244,13712688
245,13656240
246,13659266
247,13728975
248,13733119
249,13721575
250,13636129
251,13736866
252,13712323
253,13675113
254,11730227
255,13618604
256,13615730
257,13650277
258,16216306
259,15236056
260,13768402
261,13712033
262,13715504
263,13596519
264,11794505
265,11708477
266,13706441
267,13647399
268,13721129
269,15110932
270,13741058
271,13761168
272,13725684
273,13676377
274,13817825
275,16184206
276,13769912
277,13748448
278,13585191
279,13813805
280,13632549
281,13601715
282,13756711
283,13582372
284,13611007
285,13790384
286,13665234
287,13751949
288,13652525
289,13670829
290,11824461
291,13584094
292,13764225
293,13805852
294,13631474
295,11833039
296,13693770
297,13611178
298,11686530
299,11681228
300,13669976
301,13611237
302,16436690
303,13622753
304,16102083
305,13683663
306,13773369
307,13726300
308,13727554
309,13671601
310,13652374
311,16100632
312,15191962
313,13650286
314,13684218
315,13748723
316,13795569
317,16161169
318,15107151
319,13798529
320,13628823
321,13662230
322,15258637
323,13630541
324,13668678
325,13633076
326,13765468
327,13698806
328,16185484
329,13610460
330,13669795
331,16235199
332,13782605
333,13622468
334,13642317
335,13616878
336,13761575
337,13665725
338,13616503
339,13637907
340,13681283
341,13633567
342,13652329
343,13601798
344,15417190
345,13643752
346,13726245
347,13704923
348,13706365
349,13658955
350,13841219
351,13798456
352,13631585
353,13664909
354,11714529
355,13679470
356,13620778
357,13646770
358,13918917
359,13666417
360,16377317
361,13646147
362,13691690
363,13729652
364,13685224
365,13729955
366,13676158
367,13655182
368,13780042
369,13683971
370,13708415
371,15256634
372,13665369
373,13678245
374,13661138
375,13815627
376,13600516
377,13673362
378,13685356
379,13777375
380,13652158
381,13793526
382,13609108
383,13898450
384,13618029
385,13654072
386,13684339
387,13674575
388,13715446
389,13648013
390,13695622
391,13667443
392,13683502
393,13715785
394,13620761
395,13659628
396,13610935
397,13768116
398,13667826
399,13606574
400,13689875
401,13714745
402,13601196
403,13676467
404,13634046
405,13749457
406,13647560
407,13650435
408,11607324
409,13596748
410,11766385
411,13586788
412,13756593
413,13652733
414,13727164
415,13800463
416,13717483
417,13710167
418,13662592
419,16332668
420,11777197
421,13657562
422,11614413
423,13677979
424,13669474
425,13686619
426,13876483
427,13673941
428,14222931
429,13661690
430,13816122
431,13744224
432,13736885
433,11649028
434,13613552
435,16196001
436,13738579
437,13619505
438,16131518
439,13790501
440,13622520
441,16361804
442,13735238
443,13802440
444,13603757
445,13702370
446,11707892
447,13648001
448,11719808
449,13674722
450,13605201
451,13626597
452,13629707
453,13566030
454,13619620
455,13592483
456,16132363
457,13755805
458,13768556
459,13755419
460,13587097
461,13760687
462,13728433
463,13613717
464,13654320
465,13615986
466,13647162
467,13608821
468,15274306
469,13669832
470,13617638
471,13731155
472,13760040
473,11800056
474,13653699
475,13584240
476,13645288
477,13645158
478,13626345
479,13735385
480,13819180
481,13794244
482,13754174
483,13632759
484,11662746
485,13731502
486,13635470
487,13809907
488,13663722
489,13796392
490,13675470
491,13642513
492,13638606
493,13626833
494,11682073
495,13664181
496,13703391
497,13751953
498,13704317
499,13670841
500,13722636
501,11704650
502,13656503
503,13689277
504,13693284
505,13613777
506,13663914
507,13642832
508,13578565
509,13653927
510,13643629
511,13671123
512,13723563
513,13609305
514,13815411
515,13650385
516,13717265
517,13638276
518,13704424
519,16137068
520,13639781
521,13693568
522,13755527
523,13621149
524,13694013
525,13593773
526,13641028
527,13646303
528,13633466
529,16135353
530,13587971
531,13758536
532,13605897
533,13737349
534,13865704
535,13580527
536,13741718
537,13622737
538,13703470
539,13618081
540,13656413
541,13617529
542,13713151
543,13679936
544,11687163
545,13675729
546,13588012
547,13640359
548,13617431
549,13854179
550,13612143
551,13673373
552,11805193
553,13640217
554,13647444
555,13672342
556,13719305
557,13991466
558,13680458
559,13638352
560,13685438
561,13645413
562,13828653
563,13759601
564,13678712
565,13886325
566,13621390
567,13639197
568,13614151
569,13669643
570,13624873
571,13788743
572,13634132
573,13613584
574,13750234
575,13694628
576,13617264
577,13643969
578,13711972
579,16199083
580,13608085
581,13600326
582,13658559
583,13700578
584,13633132
585,13693069
586,11685961
587,13642526
588,13660815
589,13611356
590,13794582
591,13600826
592,13759949
593,13693199
594,13744887
595,13592447
596,13675531
597,13699701
598,16289015
599,15110506
600,13683858
601,13705369
602,13692359
603,13629290
604,13741269
605,11701781
