id,latency[ns]
1,12347932
2,11639635
3,11576536
4,24632737
5,12028460
6,12145382
7,11934878
8,23443353
9,12512557
10,12070347
11,12016951
12,21116990
13,12072845
14,14036773
15,14261530
16,14251659
17,12181717
18,12169124
19,14347201
20,14174006
21,14229856
22,12216150
23,14217448
24,14255020
25,14268747
26,14256085
27,14243635
28,14164646
29,14304597
30,14219067
31,14229617
32,14193250
33,14278455
34,12182770
35,14231936
36,14254605
37,14198471
38,14210296
39,14221507
40,14249305
41,14215893
42,14217048
43,14199015
44,14215530
45,14224778
46,14229546
47,14216125
48,14231059
49,14262425
50,14239633
51,14238545
52,12186609
53,14237284
54,14212825
55,12187663
56,14225638
57,14237783
58,14208489
59,14242774
60,14210480
61,14237317
62,14272508
63,12198751
64,12180507
65,14266574
66,14270884
67,14194753
68,14246467
69,14261639
70,14225479
71,14268053
72,14258923
73,14248712
74,14228584
75,14226825
76,14226737
77,14244345
78,14236075
79,14203930
80,14248540
81,14253621
82,14248268
83,14225706
84,14262463
85,14243683
86,14245600
87,14315019
88,14271272
89,14241929
90,14290221
91,14228127
92,14235241
93,14247372
94,14270034
95,14195319
96,14229758
97,14240429
98,14261493
99,14267786
100,14255884
101,14272620
102,14254865
103,12205629
104,14238639
105,14246866
106,14233263
107,14258980
108,14300475
109,14261033
110,12189523
111,12212318
112,14235584
113,14226361
114,12205144
115,14237751
116,14247799
117,14266838
118,14253739
119,14234078
120,14247719
121,14247208
122,14271570
123,14265098
124,14234714
125,14213928
126,14204733
127,14216029
128,14217253
129,14177738
130,14246693
131,14303518
132,14206240
133,14170102
134,14182925
135,14265559
136,14248232
137,14213695
138,14272711
139,14231523
140,14233080
141,14283869
142,14234585
143,12202040
144,14201776
145,14231906
146,14175951
147,14305553
148,14322841
149,14256818
150,14245984
151,14296122
152,12276079
153,14280700
154,12238835
155,14219906
156,14220579
157,12282028
158,12245677
159,12231043
160,12219959
161,14277916
162,12248680
163,12244064
164,14233798
165,14295301
166,14262325
167,12232156
168,12262825
169,12207840
170,14274767
171,12276332
172,12245169
173,12241429
174,12237138
175,12242103
176,12275755
177,12272739
178,14275648
179,12256444
180,12235760
181,12245058
182,12244153
183,12276374
184,12229973
185,12233057
186,12230988
187,12236239
188,12246851
189,12256617
190,14258187
191,12253523
192,12263577
193,12300890
194,12235620
195,12239748
196,12277677
197,12236357
198,12238248
199,12256922
200,12210234
201,12210821
202,12277471
203,12254213
204,12238931
205,12242477
206,14252398
207,12273287
208,12258502
209,12246356
210,12227115
211,12216145
212,12219953
213,14281957
214,12244353
215,12237138
216,12265298
