id,latency[ns]
1,12271487
2,19432483
3,12528768
4,12063121
5,12149712
6,14312675
7,11983755
8,14187322
9,12015112
10,14127894
11,14225287
12,14235719
13,14405236
14,14471999
15,12072875
16,14239012
17,14228179
18,14585865
19,14219398
20,14443190
21,14527923
22,14216157
23,14161877
24,14238274
25,14215417
26,14225059
27,14486773
28,14171166
29,14234305
30,14188320
31,14270485
32,14203652
33,14204175
34,14222186
35,14196366
36,14233331
37,14187106
38,14215098
39,14222907
40,14176957
41,14474201
42,14470049
43,14293336
44,14239828
45,14149985
46,14217326
47,11983574
48,14274093
49,14221611
50,14222960
51,12138116
52,12047058
53,14306361
54,14544923
55,12109964
56,14375238
57,11994208
58,14314352
59,14328498
60,14197619
61,12318300
62,14133398
63,11980193
64,11991429
65,14250743
66,14256678
67,14133266
68,12040214
69,11943806
70,11991517
71,14164655
72,12015365
73,11962856
74,14231017
75,12160344
76,11923351
77,14424025
78,11978922
79,14175290
80,11979238
81,14192805
82,12098942
83,14195295
84,12112741
85,12021648
86,14206051
87,14271889
88,12209735
89,12212681
90,11958756
91,11966025
92,11975182
93,11992894
94,14154321
95,12041029
96,11944355
97,11940902
98,11985713
99,14169120
100,11969040
101,12103975
102,11940274
103,11936944
104,12051692
105,11942960
106,14330464
107,12001412
108,11944906
109,11986336
110,12011882
111,11955068
112,14204788
113,11947122
114,14132554
115,12044645
116,11924768
117,11983879
118,14156587
119,14247257
120,14256704
121,11982051
122,14170648
123,14384570
124,12153965
125,11996488
126,14152911
127,12099508
128,14193735
129,12086227
130,14241047
131,12066059
132,11960259
133,11934273
134,11930200
135,12047925
136,11942252
137,14199269
138,11952010
139,11978848
140,14226378
141,12019714
142,12054418
143,14189957
144,12102607
145,11931080
146,12031411
147,14240327
148,14218976
149,11962960
150,12011169
151,14200963
152,14155835
153,14189556
154,14303674
155,11978707
156,14122105
157,14161260
158,11957106
159,14249082
160,12002297
161,11941340
162,11989894
163,12130700
164,11968699
165,12037321
166,14235842
167,12054996
168,11956313
169,11967367
170,14384372
171,14240153
172,14189558
173,12001028
174,11997611
175,14183870
176,12056147
177,11994373
178,12025444
179,11979332
180,12046007
181,14738109
182,11993209
183,12006887
184,11959456
185,11994549
186,11976999
187,14204078
188,14332830
189,14220826
190,12262083
191,12035231
192,14194599
193,11935132
194,11975769
195,11977961
196,11950569
197,12003605
198,14234269
199,12028327
200,14132496
201,14234271
202,12024291
203,11954801
204,12040716
205,11943443
206,11938003
207,14201396
208,12000206
209,12068374
210,12011614
211,11975050
212,12071519
213,11954264
214,11951817
215,11959557
216,11962978
217,14202019
218,14214152
219,12068958
220,11980422
221,14233940
222,12050725
223,11929757
224,14217543
225,11953614
226,11957281
227,14157304
228,11981149
229,14123066
230,14351631
231,14286260
232,11959293
233,11998552
234,11999378
235,14184924
236,14418771
237,12122311
238,11986092
239,14284961
240,11961604
241,14201952
242,12073595
243,11957160
244,14353649
245,14181630
246,14200370
247,11974146
248,14110906
249,11992727
250,14226996
251,12158444
252,14196937
253,14264430
254,14609057
255,14152834
256,11952292
257,11996295
258,14133300
259,14152339
260,12020771
261,11958634
262,14171448
263,12034850
264,14165547
265,11975617
266,14115296
267,14141411
268,11984847
269,14150439
270,14279250
271,14168376
272,11985147
273,12012288
274,12036246
275,11980027
276,14232553
277,12075546
278,12003853
279,11974248
280,14234801
281,14213192
282,11957614
283,11988786
284,11923119
285,14165790
286,12058759
287,14159781
288,14138925
289,12054979
290,14193639
291,12173038
292,14165453
293,12115053
294,14196441
295,11963198
296,14178186
297,11999561
298,14163361
299,11935791
300,12058657
301,11993547
302,14180127
303,14276562
304,12017782
305,11969628
306,11990442
307,11961336
308,12145619
309,12020215
310,14155776
311,14251363
312,11979995
313,11965399
314,12024447
315,14197459
316,14269620
317,11985558
318,11968572
319,11995692
320,12041998
321,14182078
322,14288306
323,14362598
324,12047637
325,14157538
326,12027592
327,12021507
328,12104028
329,11997275
330,11978618
331,12021581
332,12064433
333,11981211
334,11998694
335,12005024
336,12017697
337,11990553
338,11956833
339,11965090
340,11991439
341,11969255
342,12108072
343,14152916
344,12007926
345,12018358
346,14178097
347,14168567
348,11988456
349,14175424
350,14210539
351,12083893
352,12048698
353,14210129
354,14416608
355,12089051
356,14132737
357,14192248
358,14164364
359,11992620
360,12151600
361,11984766
362,14147263
363,14402447
364,11979625
365,11976830
366,12026928
367,14232001
368,12155613
369,12038100
370,14241586
371,14298967
372,11997479
373,11948710
374,12005279
375,14218311
376,11986566
377,11954842
378,11987594
379,14198330
380,12138224
381,14183003
382,11986899
383,11998323
384,11975949
385,12223529
386,11978488
387,12040410
388,14259596
389,11990604
390,11989727
391,14279396
392,12076977
393,11988507
394,14202829
395,12076264
396,14352109
397,12119108
398,11989087
399,11983999
400,12008137
401,12111001
402,11990279
403,11977056
404,12022390
405,14157812
406,14171996
407,14146736
408,14258616
409,12015850
410,11967838
411,12014863
412,14257400
413,14133976
414,14307811
415,12045999
416,14189378
417,12027784
418,11954454
419,11997119
420,14176084
421,11966229
422,14183266
423,12006214
424,14202175
425,14220960
426,11956005
427,12165555
428,11958216
429,11975251
430,11951493
431,11970527
432,12035771
433,11973367
434,12133663
435,11991618
436,14140471
437,11953331
438,14196127
439,12010508
440,11955423
441,14264878
442,12008972
443,11955173
444,14339104
445,11960887
446,14237853
447,12014900
448,11954625
449,14287739
450,12111926
451,11989271
452,14374588
453,12076922
454,11993620
455,12035016
456,12007780
457,11995128
458,12014472
459,14184995
460,12138725
461,11999222
462,11971995
463,14591538
464,12115975
465,11986362
466,11973527
467,11966197
468,11970103
469,14181834
470,12047922
471,12039480
472,11951035
473,11951469
474,11998922
475,11987699
476,12016482
477,11967986
478,11973455
479,12021983
480,11983577
481,11968023
482,11971255
483,14211953
484,12026778
485,11975946
486,12014029
487,11983606
488,14150197
489,11964719
490,11959610
491,12000152
492,12012161
493,14151758
494,11961428
495,11960734
496,11951121
497,12011624
498,11932332
499,14219033
500,11918248
501,14110992
502,11964640
503,11946714
504,11977766
505,11958665
506,11927291
507,12003566
508,11984339
509,14166056
510,14251583
511,12041676
512,12080421
513,11927945
514,11961065
515,14230820
516,12050055
517,14361093
518,11960221
519,14126021
520,11990187
521,11943419
522,12051911
523,11954296
524,14294713
525,12323954
526,12012248
527,14176118
528,14262670
529,12050621
530,14231620
531,12043182
532,12042186
533,14160845
534,12012554
535,12003050
536,14170286
537,11970469
538,12044643
539,11993364
540,14187883
541,11965065
542,14199877
543,14176691
544,12131830
545,11934921
546,11946315
547,14264333
548,12055137
549,14159860
550,11994892
551,14161580
552,11954440
553,14155182
554,12016061
555,12038213
556,14158832
557,11987384
558,11955208
559,12026060
560,14186947
561,12089242
562,14190010
563,14459595
564,14216632
565,12177033
566,14179214
567,12087079
568,14222897
569,12046140
570,12039888
571,12046670
572,11947745
573,11990663
574,11998465
575,14307351
576,14201767
577,12099977
578,11954177
579,11943013
580,12052545
581,11973045
582,12036041
583,14193840
584,14258841
585,11977768
586,11951642
587,11964763
588,11926715
589,11942978
590,12080049
591,14166134
592,12093850
593,14208956
594,12087279
595,11987453
596,12050022
597,11985278
598,12109444
599,12060098
600,11960653
601,11953544
602,12090028
603,14122380
604,11988814
605,12026560
606,14138876
607,12017255
608,11935368
609,14252191
610,12057241
611,12023559
612,11965418
613,14161867
614,14302408
615,11965761
616,11980535
617,11970988
618,11949218
619,11963356
620,11988110
621,11955878
622,11976864
623,11961908
624,11929734
625,14223384
626,11985749
627,14172189
628,11957064
629,11996941
630,11956895
631,11957073
632,14116915
633,14180276
634,14119775
635,11930053
636,11974564
637,11953121
638,14137698
639,14130541
640,12100728
641,12034753
642,14172240
643,14289965
644,11936405
645,11964446
646,11934633
647,14145774
648,12111552
649,14176079
650,12003224
651,11956576
652,11988814
653,11978983
654,11954159
655,12128024
656,11951985
657,12006192
658,14313084
659,14172956
660,11989294
661,11982905
662,11967482
663,14194977
664,12073093
665,14164222
666,11930348
667,11984197
668,11944417
669,12117072
670,12019759
671,14223290
672,12026073
673,11996872
674,14213426
675,12004056
676,14193235
677,12046117
678,14214121
679,14188104
680,11980692
681,11960700
682,14140423
683,12066734
684,14155935
685,11978309
686,11951052
687,11947230
688,11956863
689,11934107
690,11991866
691,11981896
692,14169773
693,14214893
694,11951643
695,11973601
696,14229882
697,12339337
698,14431593
699,11965098
700,11933753
701,14101180
702,14297644
703,11997046
704,14162798
705,12066812
706,14187439
707,12104235
708,12084311
709,14107142
710,14257078
711,11944208
712,14200814
713,11980204
714,14131456
715,12101117
716,12017026
717,14146837
718,11940793
719,14113417
720,11951288
721,12036672
722,14173370
723,12102508
724,11979090
725,11960464
726,11948393
727,11963710
728,11981427
729,11971830
730,14121325
731,14316703
732,14152647
733,14209570
734,14183204
735,12068814
736,11968849
737,14171922
738,14401545
739,11945967
740,11980022
741,14194195
742,11961288
743,11989408
744,14235033
745,11955717
746,14188237
747,14209562
748,14308603
749,14249699
750,12013687
751,12024099
752,14138181
753,12129264
754,12014115
755,14239106
756,12099452
757,11942870
758,12005239
759,14160678
760,12069817
761,14119416
762,11945981
763,11947853
764,11913734
765,14264520
766,12262629
767,12193042
768,12028571
769,11997770
770,12190423
771,11990714
772,11949845
773,12044777
774,11974424
775,12001793
776,14207187
777,12259041
778,12009605
