id,latency[ns]
1,12373326
2,11508082
3,11627216
4,11653184
5,11656810
6,11642683
7,11787424
8,11659683
9,35806067
10,42332445
11,13586479
12,11565011
13,11564828
14,11601786
15,11532229
16,13662519
17,11565519
18,11563435
19,13647703
20,11538473
21,13624446
22,13599951
23,13686540
24,11626956
25,13517374
26,13593182
27,11792490
28,13532236
29,11575488
30,11585398
31,13595051
32,13591003
33,11651656
34,13563443
35,13595423
36,11614562
37,11798949
38,13559280
39,13530279
40,11549214
41,11545000
42,13540744
43,11580066
44,11547668
45,13575020
46,11552919
47,13563073
48,13559037
49,13566334
50,13549834
51,11505848
52,11630791
53,13576514
54,11547135
55,13598364
56,13602230
57,13555712
58,13575438
59,13551972
60,13565405
61,13572395
62,13582365
63,11561621
64,13553286
65,11572868
66,13654411
67,11557199
68,13612755
69,11573958
70,13584412
71,13555349
72,13574880
73,11558903
74,11596993
75,13647077
76,11637660
77,13633815
78,11569349
79,11638764
80,13606591
81,11564548
82,11594572
83,13548752
84,11593640
85,11687379
86,11648462
87,11597711
88,13595465
89,11576293
90,11568347
91,11603862
92,11557368
93,11594940
94,13627680
95,11629934
96,13709426
97,11564626
98,11572584
99,11603677
100,13734937
101,11572841
102,11614686
103,11594731
104,11593468
105,11579653
106,13636390
107,11575057
108,13629192
109,11562607
110,13621280
111,11584979
112,11610820
113,11568997
114,11634062
115,11644147
116,11616523
117,11712348
118,13614516
119,13614165
120,11551532
121,11588100
122,11575928
123,11584522
124,11566691
125,11568202
126,13597424
127,11577576
128,11683242
129,11692036
130,13690917
131,11585362
132,11753031
133,13596542
134,11565682
135,11852685
136,11553142
137,13557471
138,13569620
139,11566562
140,11861823
141,11581048
142,13569451
143,11550280
144,11601034
145,11671469
146,11598759
147,13626577
148,11550188
149,11590858
150,11598491
151,11576717
152,11570017
153,11588183
154,11576751
155,11656467
156,11624035
157,13678709
158,13611174
159,11568696
160,13635193
161,13563007
162,13696640
163,11584947
164,11589654
165,11601842
166,13688677
167,11590490
168,11619853
169,11587164
170,11594177
171,13637278
172,13701445
173,11563643
174,11573096
175,11591045
176,13596798
177,11557990
178,11602947
179,11602506
180,13582772
181,13591768
182,11676395
183,13647005
184,13628522
185,11570786
186,13603412
187,13643056
188,13523814
189,11580256
190,11615225
191,11569584
192,11676863
193,11615673
194,13627705
195,11584962
196,11575902
197,11600160
198,11601038
199,11613575
200,13632636
201,11574050
202,13743457
203,11585377
204,13624234
205,13579871
206,11588130
207,11625576
208,13641467
209,11559733
210,11636139
211,11613876
212,11678952
213,13626618
214,11548487
215,11589415
216,13615235
217,13626471
218,11589584
219,11648301
220,11588132
221,11670984
222,13673727
223,11614144
224,13539894
225,11570716
226,13526336
227,11746916
228,11581107
229,13612315
230,13621238
231,13643508
232,13695397
233,11572052
234,11595245
235,11607753
236,11800857
237,11608494
238,11603687
239,11595607
240,13645739
241,13604715
242,11555127
243,13660383
244,11575618
245,11595821
246,13510618
247,14249504
248,14366423
249,12071813
250,13628167
251,11644859
252,13636894
253,13619459
254,11564953
255,13629291
256,13618933
257,13668685
258,11569451
259,13549130
260,11591606
261,13730606
262,13523219
263,11543494
264,13600541
265,11574122
266,13588120
267,13565807
268,13718849
269,13563903
270,11601111
271,11614960
272,13615577
273,11573002
274,11594958
275,13598111
276,11560993
277,13566094
278,11697189
279,11590677
280,11591192
281,11593415
282,11563452
283,13652890
284,13622168
285,11589305
286,13569068
287,13636668
288,11663485
289,13575128
290,11546525
291,13657663
292,13647321
293,13731776
294,13572640
295,13643585
